"maeaea","one","一","https://ilrdc.tw/tow/2022/audio/word/32/01_01.wav"
"madho’a","two","二","https://ilrdc.tw/tow/2022/audio/word/32/01_02.wav"
"matolro","three","三","https://ilrdc.tw/tow/2022/audio/word/32/01_03.wav"
"ma’epate","four","四","https://ilrdc.tw/tow/2022/audio/word/32/01_04.wav"
"malrima","five","五","https://ilrdc.tw/tow/2022/audio/word/32/01_05.wav"
"maeneme","six","六","https://ilrdc.tw/tow/2022/audio/word/32/01_06.wav"
"mapito","seven","七","https://ilrdc.tw/tow/2022/audio/word/32/01_07.wav"
"mavalro","eight","八","https://ilrdc.tw/tow/2022/audio/word/32/01_08.wav"
"mavangate","nine","九","https://ilrdc.tw/tow/2022/audio/word/32/01_09.wav"
"mamangele","ten","十","https://ilrdc.tw/tow/2022/audio/word/32/01_10.wav"
"mamangele la kaea","eleven","十一","https://ilrdc.tw/tow/2022/audio/word/32/01_11.wav"
"mamangele la kadho’a","twelve","十二","https://ilrdc.tw/tow/2022/audio/word/32/01_12.wav"
"mamangele la katolro","thirteen","十三","https://ilrdc.tw/tow/2022/audio/word/32/01_13.wav"
"mamangele la ka’epate","fourteen","十四","https://ilrdc.tw/tow/2022/audio/word/32/01_14.wav"
"mamangele la kalrima","fifteen","十五","https://ilrdc.tw/tow/2022/audio/word/32/01_15.wav"
"mamangele la kaeneme","sixteen","十六","https://ilrdc.tw/tow/2022/audio/word/32/01_16.wav"
"mamangele la kapito","seventeen","十七","https://ilrdc.tw/tow/2022/audio/word/32/01_17.wav"
"mamangele la kavalro","eighteen","十八","https://ilrdc.tw/tow/2022/audio/word/32/01_18.wav"
"mamangele la kavangate","nineteen","十九","https://ilrdc.tw/tow/2022/audio/word/32/01_19.wav"
"mamapo’ale","twenty","二十  ","https://ilrdc.tw/tow/2022/audio/word/32/01_20.wav"
"mamapo’ale la kaea","twenty one","二十一","https://ilrdc.tw/tow/2022/audio/word/32/01_21.wav"
"mamapo’ale la kadho’a","twenty two","二十二","https://ilrdc.tw/tow/2022/audio/word/32/01_22.wav"
"mamapo’ale la katolro","twenty three","二十三","https://ilrdc.tw/tow/2022/audio/word/32/01_23.wav"
"mamapo’ale la ka’epate","twenty four","二十四","https://ilrdc.tw/tow/2022/audio/word/32/01_24.wav"
"mamapo’ale la kalrima","twenty five","二十五","https://ilrdc.tw/tow/2022/audio/word/32/01_25.wav"
"mamatolrolo","thirty","三十","https://ilrdc.tw/tow/2022/audio/word/32/01_26.wav"
"mamatolrolo la kaea","thirty one","三十一","https://ilrdc.tw/tow/2022/audio/word/32/01_27.wav"
"mama’epatele","forty","四十","https://ilrdc.tw/tow/2022/audio/word/32/01_28.wav"
"mamalrimale","fifty","五十","https://ilrdc.tw/tow/2022/audio/word/32/01_29.wav"
"mamanemele","sixty","六十","https://ilrdc.tw/tow/2022/audio/word/32/01_30.wav"
"mamapitolo","seventy","七十","https://ilrdc.tw/tow/2022/audio/word/32/01_31.wav"
"mamavalrolo","eighty","八十","https://ilrdc.tw/tow/2022/audio/word/32/01_32.wav"
"mamavangate","ninety","九十","https://ilrdc.tw/tow/2022/audio/word/32/01_33.wav"
"idhai","hundred","百","https://ilrdc.tw/tow/2022/audio/word/32/01_34.wav"
"maeaea idhai","one hundred","一百","https://ilrdc.tw/tow/2022/audio/word/32/01_35.wav"
"madho’a idhai","two hundred","兩百","https://ilrdc.tw/tow/2022/audio/word/32/01_36.wav"
"maeaea kodholo","one thousand","一千","https://ilrdc.tw/tow/2022/audio/word/32/01_37.wav"
"dhoma","some","一些","https://ilrdc.tw/tow/2022/audio/word/32/01_38.wav"
"’oale","once","一次","https://ilrdc.tw/tow/2022/audio/word/32/01_39.wav"
"maeaea vacinganae","bunch","一串(專指香蕉)","https://ilrdc.tw/tow/2022/audio/word/32/01_40.wav"
"ma’apicongo","kind","區分、劃分","https://ilrdc.tw/tow/2022/audio/word/32/01_41.wav"
"mokalidho’a","pair","一雙","https://ilrdc.tw/tow/2022/audio/word/32/01_42.wav"
"poelre","entire","全部","https://ilrdc.tw/tow/2022/audio/word/32/01_43.wav"
"masii’i","a little bit","一點點","https://ilrdc.tw/tow/2022/audio/word/32/01_44.wav"
" ’oovecahe","half","一半","https://ilrdc.tw/tow/2022/audio/word/32/01_45.wav"
"imiya’e","you","你 ","https://ilrdc.tw/tow/2022/audio/word/32/02_01.wav"
"ilrae","I","我","https://ilrdc.tw/tow/2022/audio/word/32/02_02.wav"
"ine","he","他","https://ilrdc.tw/tow/2022/audio/word/32/02_03.wav"
"inome","you guys","你們","https://ilrdc.tw/tow/2022/audio/word/32/02_04.wav"
"iname","us","我們","https://ilrdc.tw/tow/2022/audio/word/32/02_05.wav"
"analo","they","他們","https://ilrdc.tw/tow/2022/audio/word/32/02_06.wav"
"nome","yours","你們的","https://ilrdc.tw/tow/2022/audio/word/32/02_07.wav"
"nai","our","我們的","https://ilrdc.tw/tow/2022/audio/word/32/02_08.wav"
"lini","their","他們的","https://ilrdc.tw/tow/2022/audio/word/32/02_09.wav"
"’o","your","你的","https://ilrdc.tw/tow/2022/audio/word/32/02_10.wav"
"li","mine","我的","https://ilrdc.tw/tow/2022/audio/word/32/02_11.wav"
"ni","his","他的","https://ilrdc.tw/tow/2022/audio/word/32/02_12.wav"
"nai","we (excluded)","我們(排除式)","https://ilrdc.tw/tow/2022/audio/word/32/02_13.wav"
"imite","let’s (inclusive)","咱們(包含式)","https://ilrdc.tw/tow/2022/audio/word/32/02_14.wav"
"ta","ours","咱們的","https://ilrdc.tw/tow/2022/audio/word/32/02_15.wav"
"ana ","that","那個","https://ilrdc.tw/tow/2022/audio/word/32/02_16.wav"
"’ina","this one","這個","https://ilrdc.tw/tow/2022/audio/word/32/02_17.wav"
"’inaai","here","這裡","https://ilrdc.tw/tow/2022/audio/word/32/02_18.wav"
"aanai","there","那裡","https://ilrdc.tw/tow/2022/audio/word/32/02_19.wav"
"ti’a ’ina","(like) this","(像)這樣","https://ilrdc.tw/tow/2022/audio/word/32/02_20.wav"
"mapini","how much","多少","https://ilrdc.tw/tow/2022/audio/word/32/03_01.wav"
"kaanaeni","what","什麼","https://ilrdc.tw/tow/2022/audio/word/32/03_02.wav"
"amokoani","how","如何","https://ilrdc.tw/tow/2022/audio/word/32/03_03.wav"
"kala’omae","when (not happening)","何時(未發生)","https://ilrdc.tw/tow/2022/audio/word/32/03_04.wav"
"aangai","who","誰","https://ilrdc.tw/tow/2022/audio/word/32/03_05.wav"
"omaedha","which one","哪一個","https://ilrdc.tw/tow/2022/audio/word/32/03_06.wav"
"aikiedha","where","哪裡","https://ilrdc.tw/tow/2022/audio/word/32/03_07.wav"
"aagnai kiyanii’ae","Whose is it?","是誰的","https://ilrdc.tw/tow/2022/audio/word/32/03_08.wav"
"apokoa(’o)","what","怎麼(你)","https://ilrdc.tw/tow/2022/audio/word/32/03_09.wav"
"otahapi","how much","多少(歲)","https://ilrdc.tw/tow/2022/audio/word/32/03_10.wav"
"mapi","how much (degree size)"," 多少(程度大小)","https://ilrdc.tw/tow/2022/audio/word/32/03_11.wav"
"omaedha","where","什麼地方","https://ilrdc.tw/tow/2022/audio/word/32/03_12.wav"
"kala’omaengadha","when (has happened)","何時(已發生)","https://ilrdc.tw/tow/2022/audio/word/32/03_13.wav"
"kani","why","為什麼","https://ilrdc.tw/tow/2022/audio/word/32/03_14.wav"
"ama","dad","爸爸","https://ilrdc.tw/tow/2022/audio/word/32/04_01.wav"
"ina","mom","媽媽","https://ilrdc.tw/tow/2022/audio/word/32/04_02.wav"
"kadhalra’a pa’atakataka","cousins","堂、表兄弟姐妹","https://ilrdc.tw/tow/2022/audio/word/32/04_03.wav"
"omoko ","male elder (grandfather; father-in-law)","男性長輩(祖父；外公；岳父)通稱","https://ilrdc.tw/tow/2022/audio/word/32/04_04.wav"
"omoko ","female elder (grandmother; mother-in-law)","女性長輩(祖母；外婆；岳母)通稱","https://ilrdc.tw/tow/2022/audio/word/32/04_05.wav"
"palrapalra","relative","親戚","https://ilrdc.tw/tow/2022/audio/word/32/04_06.wav"
"lamengae","spouse","配偶","https://ilrdc.tw/tow/2022/audio/word/32/04_07.wav"
"taoaeni lalakeli","daughter’s husband","女婿","https://ilrdc.tw/tow/2022/audio/word/32/04_08.wav"
"sakadha’ane","wife’s brother","舅子","https://ilrdc.tw/tow/2022/audio/word/32/04_09.wav"
"sakadha’ane","sister-in-law","弟媳","https://ilrdc.tw/tow/2022/audio/word/32/04_10.wav"
"sakadha’ane","older brother’s wife","嫂嫂","https://ilrdc.tw/tow/2022/audio/word/32/04_11.wav"
"sihihili","daughter-in-law","媳婦","https://ilrdc.tw/tow/2022/audio/word/32/04_12.wav"
"ahane","grandchild","孫子/孫女","https://ilrdc.tw/tow/2022/audio/word/32/04_13.wav"
"pa’apalange","husband and wife","夫妻","https://ilrdc.tw/tow/2022/audio/word/32/04_14.wav"
"kiili","husband","夫妻(通稱)","https://ilrdc.tw/tow/2022/audio/word/32/04_15.wav"
"madha’ananae","in-law","姻親","https://ilrdc.tw/tow/2022/audio/word/32/04_16.wav"
"pa’atakataka","sibling","兄弟姊妹","https://ilrdc.tw/tow/2022/audio/word/32/04_17.wav"
"taka","brother","兄長","https://ilrdc.tw/tow/2022/audio/word/32/04_18.wav"
"taka","brother and sister","(哥哥；姊姊)通稱","https://ilrdc.tw/tow/2022/audio/word/32/04_19.wav"
"taka ’avai","older sister","姊姊","https://ilrdc.tw/tow/2022/audio/word/32/04_20.wav"
"taka ’aolai","older brother","哥哥","https://ilrdc.tw/tow/2022/audio/word/32/04_21.wav"
" ’adhi","brother and sister","(弟弟；妹妹)通稱","https://ilrdc.tw/tow/2022/audio/word/32/04_22.wav"
"’adhi ’aolai","younger brother","弟弟","https://ilrdc.tw/tow/2022/audio/word/32/04_23.wav"
"’adhi ’avai","younger sister","妹妹","https://ilrdc.tw/tow/2022/audio/word/32/04_24.wav"
"amake","uncle","(伯父；叔叔；舅舅)通稱","https://ilrdc.tw/tow/2022/audio/word/32/04_25.wav"
"inake","aunt","(伯母；嬸嬸；舅母)通稱  ","https://ilrdc.tw/tow/2022/audio/word/32/04_26.wav"
"alrace","name","名字","https://ilrdc.tw/tow/2022/audio/word/32/05_01.wav"
"’aolai","boy","男孩","https://ilrdc.tw/tow/2022/audio/word/32/05_02.wav"
"’avai","girl","女孩","https://ilrdc.tw/tow/2022/audio/word/32/05_03.wav"
"ivoko","friend","朋友","https://ilrdc.tw/tow/2022/audio/word/32/05_04.wav"
"lroolai ","child","孩童","https://ilrdc.tw/tow/2022/audio/word/32/05_05.wav"
"tomotomo","elderly people","老人","https://ilrdc.tw/tow/2022/audio/word/32/05_06.wav"
"’avai","female","女性","https://ilrdc.tw/tow/2022/audio/word/32/05_07.wav"
"’aolai","male","男性","https://ilrdc.tw/tow/2022/audio/word/32/05_08.wav"
"ocao","people","人","https://ilrdc.tw/tow/2022/audio/word/32/05_09.wav"
"taposavo’ovo’oe","doctor","醫生","https://ilrdc.tw/tow/2022/audio/word/32/05_10.wav"
"sinsi","teacher","老師","https://ilrdc.tw/tow/2022/audio/word/32/05_11.wav"
"valra","enemy","敵人","https://ilrdc.tw/tow/2022/audio/word/32/05_12.wav"
"caha’e","sir","長官","https://ilrdc.tw/tow/2022/audio/word/32/05_13.wav"
"takolra ocao","hooliganism","流氓","https://ilrdc.tw/tow/2022/audio/word/32/05_14.wav"
"’aomo","police","警察","https://ilrdc.tw/tow/2022/audio/word/32/05_15.wav"
"pingpo zogo","ethnic group (Taiwan), "plain tribes","平埔族","https://ilrdc.tw/tow/2022/audio/word/32/05_16.wav"
"haka ocao","Hakka people","客家人","https://ilrdc.tw/tow/2022/audio/word/32/05_17.wav"
"kociyo singsi","principal","校長","https://ilrdc.tw/tow/2022/audio/word/32/05_18.wav"
"pakisa","Min Nan (Taiwanese)","閩南人","https://ilrdc.tw/tow/2022/audio/word/32/05_19.wav"
"savahe","young people","青年","https://ilrdc.tw/tow/2022/audio/word/32/05_20.wav"
"senho","(spiritual) father","神父","https://ilrdc.tw/tow/2022/audio/word/32/05_21.wav"
"siyoni","sister","修女","https://ilrdc.tw/tow/2022/audio/word/32/05_22.wav"
"ciokoko","mainlander","外省人","https://ilrdc.tw/tow/2022/audio/word/32/05_23.wav"
"valrovalro","miss","小姐","https://ilrdc.tw/tow/2022/audio/word/32/05_24.wav"
"vanidho","student","學生","https://ilrdc.tw/tow/2022/audio/word/32/05_25.wav"
"calringa","ear","耳朵","https://ilrdc.tw/tow/2022/audio/word/32/06_01.wav"
"dhalroae","thigh","大腿","https://ilrdc.tw/tow/2022/audio/word/32/06_02.wav"
"lringao","eye","眼睛","https://ilrdc.tw/tow/2022/audio/word/32/06_03.wav"
"maca","face","臉","https://ilrdc.tw/tow/2022/audio/word/32/06_04.wav"
"ngodhoi","mouth","嘴巴","https://ilrdc.tw/tow/2022/audio/word/32/06_05.wav"
"cokonoho","head","頭","https://ilrdc.tw/tow/2022/audio/word/32/06_06.wav"
"loka","fingernail","指甲","https://ilrdc.tw/tow/2022/audio/word/32/06_07.wav"
"alrima","hand","手","https://ilrdc.tw/tow/2022/audio/word/32/06_08.wav"
"votolro’o","body","身體","https://ilrdc.tw/tow/2022/audio/word/32/06_09.wav"
"ngongo’o","nose","鼻子","https://ilrdc.tw/tow/2022/audio/word/32/06_10.wav"
"okoko","foot","腳","https://ilrdc.tw/tow/2022/audio/word/32/06_11.wav"
"ali’i","teeth","牙齒","https://ilrdc.tw/tow/2022/audio/word/32/06_12.wav"
"iyo’o","hair","頭髮","https://ilrdc.tw/tow/2022/audio/word/32/06_13.wav"
"ehai","blood","血","https://ilrdc.tw/tow/2022/audio/word/32/06_14.wav"
"lroho","meat","肉","https://ilrdc.tw/tow/2022/audio/word/32/06_15.wav"
"taponoe","forehead","額頭","https://ilrdc.tw/tow/2022/audio/word/32/06_16.wav"
"vahange","belly","肚子","https://ilrdc.tw/tow/2022/audio/word/32/06_17.wav"
"soso","breast","乳房","https://ilrdc.tw/tow/2022/audio/word/32/06_18.wav"
"tavosovosae","calf","小腿肚","https://ilrdc.tw/tow/2022/audio/word/32/06_19.wav"
"aliyadhangae","shoulder","肩膀","https://ilrdc.tw/tow/2022/audio/word/32/06_20.wav"
"vasingi","chin","下巴","https://ilrdc.tw/tow/2022/audio/word/32/06_21.wav"
"dhelrehe","back","背部","https://ilrdc.tw/tow/2022/audio/word/32/06_22.wav"
"picingi","skin","皮","https://ilrdc.tw/tow/2022/audio/word/32/06_23.wav"
"toko’o","thoracic cavity","胸腔","https://ilrdc.tw/tow/2022/audio/word/32/06_24.wav"
"’elrele (kahimadhehe)","male genitalia","男性生殖器(睪丸)","https://ilrdc.tw/tow/2022/audio/word/32/06_25.wav"
"ngece’e","female genitalia","女性生殖器","https://ilrdc.tw/tow/2022/audio/word/32/06_26.wav"
"pahacongae","lung","肺","https://ilrdc.tw/tow/2022/audio/word/32/06_27.wav"
"tetene","heart","心臟","https://ilrdc.tw/tow/2022/audio/word/32/06_28.wav"
"poko","elbow","手肘","https://ilrdc.tw/tow/2022/audio/word/32/06_29.wav"
"ngalrai","saliva","口水","https://ilrdc.tw/tow/2022/audio/word/32/06_30.wav"
"sahao","knee","膝蓋","https://ilrdc.tw/tow/2022/audio/word/32/06_31.wav"
"takaconga’ae","wound","傷口","https://ilrdc.tw/tow/2022/audio/word/32/06_32.wav"
"vicoka","stomach","胃","https://ilrdc.tw/tow/2022/audio/word/32/06_33.wav"
"asai","liver","肝臟","https://ilrdc.tw/tow/2022/audio/word/32/06_34.wav"
"so’olo ","phlegm","痰","https://ilrdc.tw/tow/2022/audio/word/32/06_35.wav"
"dha’olro","goiter","甲狀腺腫","https://ilrdc.tw/tow/2022/audio/word/32/06_36.wav"
"’ima’a","grease","油脂","https://ilrdc.tw/tow/2022/audio/word/32/06_37.wav"
"vihoa","rib","肋骨","https://ilrdc.tw/tow/2022/audio/word/32/06_38.wav"
"paho","gallbladder","膽囊","https://ilrdc.tw/tow/2022/audio/word/32/06_39.wav"
"tomo","thumb","拇指","https://ilrdc.tw/tow/2022/audio/word/32/06_40.wav"
"colo’olrae","throat","喉嚨","https://ilrdc.tw/tow/2022/audio/word/32/06_41.wav"
"lridhame","tongue","舌頭","https://ilrdc.tw/tow/2022/audio/word/32/06_42.wav"
"ici","waist","腰部","https://ilrdc.tw/tow/2022/audio/word/32/06_43.wav"
"hamoco","finger","手指","https://ilrdc.tw/tow/2022/audio/word/32/06_44.wav"
"talicovongae ali’i","front tooth","門牙","https://ilrdc.tw/tow/2022/audio/word/32/06_45.wav"
"lromecehae","sweat","汗水","https://ilrdc.tw/tow/2022/audio/word/32/06_46.wav"
"lre’e","neck","脖子","https://ilrdc.tw/tow/2022/audio/word/32/06_47.wav"
"veke","nasal mucus","鼻涕","https://ilrdc.tw/tow/2022/audio/word/32/06_48.wav"
"tahelrehelrehelrae","joint","關節","https://ilrdc.tw/tow/2022/audio/word/32/06_49.wav"
"apedhe","buttocks","臀部","https://ilrdc.tw/tow/2022/audio/word/32/06_50.wav"
"kapalre","the sole of the foot","腳掌","https://ilrdc.tw/tow/2022/audio/word/32/06_51.wav"
"lre’e","neck","頸子","https://ilrdc.tw/tow/2022/audio/word/32/06_52.wav"
"taekehae","armpit","腋窩","https://ilrdc.tw/tow/2022/audio/word/32/06_53.wav"
"pedhe’e","kidney","腎臟","https://ilrdc.tw/tow/2022/audio/word/32/06_54.wav"
"motomoto","lip","嘴唇","https://ilrdc.tw/tow/2022/audio/word/32/06_55.wav"
"ovale","fur","毛","https://ilrdc.tw/tow/2022/audio/word/32/06_56.wav"
"’iko","tail","尾巴","https://ilrdc.tw/tow/2022/audio/word/32/07_01.wav"
"ove’eke","pig","豬","https://ilrdc.tw/tow/2022/audio/word/32/07_02.wav"
"ta’olro","dog","狗","https://ilrdc.tw/tow/2022/audio/word/32/07_03.wav"
"kii’i","sheep","羊","https://ilrdc.tw/tow/2022/audio/word/32/07_04.wav"
"ngiyao","cat","貓","https://ilrdc.tw/tow/2022/audio/word/32/07_05.wav"
"aalrame","bird","鳥","https://ilrdc.tw/tow/2022/audio/word/32/07_06.wav"
"ka’ange","fish","魚","https://ilrdc.tw/tow/2022/audio/word/32/07_07.wav"
"tahokoko","chicken","雞","https://ilrdc.tw/tow/2022/audio/word/32/07_08.wav"
"mavohoko","monkey","猴子","https://ilrdc.tw/tow/2022/audio/word/32/07_09.wav"
"noange","cattle","牛","https://ilrdc.tw/tow/2022/audio/word/32/07_10.wav"
"a’ata’atange","mice (collectively)","老鼠(統稱)","https://ilrdc.tw/tow/2022/audio/word/32/07_11.wav"
"kohapange","frog","青蛙","https://ilrdc.tw/tow/2022/audio/word/32/07_12.wav"
"ko’o","owl","貓頭鷹","https://ilrdc.tw/tow/2022/audio/word/32/07_13.wav"
"kaahaha","pangolin (manis pentadactylata)","穿山甲","https://ilrdc.tw/tow/2022/audio/word/32/07_14.wav"
"vavoi","boar","山豬","https://ilrdc.tw/tow/2022/audio/word/32/07_15.wav"
"ponai","feral pigeon","野鴿子","https://ilrdc.tw/tow/2022/audio/word/32/07_16.wav"
"’ekai","insect (collectively)","蟲(統稱)","https://ilrdc.tw/tow/2022/audio/word/32/07_17.wav"
"toko","turtle","烏龜","https://ilrdc.tw/tow/2022/audio/word/32/07_18.wav"
"’olra’a","snake","蛇","https://ilrdc.tw/tow/2022/audio/word/32/07_19.wav"
