"kingal","one","一","https://ilrdc.tw/tow/2022/audio/word/33/01_01.wav"
"dha","two","二","https://ilrdc.tw/tow/2022/audio/word/33/01_02.wav"
"tru","three","三","https://ilrdc.tw/tow/2022/audio/word/33/01_03.wav"
"spat","four","四","https://ilrdc.tw/tow/2022/audio/word/33/01_04.wav"
"rima","five","五","https://ilrdc.tw/tow/2022/audio/word/33/01_05.wav"
"mataru","six","六","https://ilrdc.tw/tow/2022/audio/word/33/01_06.wav"
"empitu","seven","七","https://ilrdc.tw/tow/2022/audio/word/33/01_07.wav"
"maspat","eight","八","https://ilrdc.tw/tow/2022/audio/word/33/01_08.wav"
"mngari","nine","九","https://ilrdc.tw/tow/2022/audio/word/33/01_09.wav"
"maxal","ten","十","https://ilrdc.tw/tow/2022/audio/word/33/01_10.wav"
"maxal kingal","eleven","十一","https://ilrdc.tw/tow/2022/audio/word/33/01_11.wav"
"maxal dha","twelve","十二","https://ilrdc.tw/tow/2022/audio/word/33/01_12.wav"
"maxal tru","thirteen","十三","https://ilrdc.tw/tow/2022/audio/word/33/01_13.wav"
"maxal spat","fourteen","十四","https://ilrdc.tw/tow/2022/audio/word/33/01_14.wav"
"maxal rima","fifteen","十五","https://ilrdc.tw/tow/2022/audio/word/33/01_15.wav"
"maxal mataru","sixteen","十六","https://ilrdc.tw/tow/2022/audio/word/33/01_16.wav"
"maxal empitu","seventeen","十七","https://ilrdc.tw/tow/2022/audio/word/33/01_17.wav"
"maxal maspat","eighteen","十八","https://ilrdc.tw/tow/2022/audio/word/33/01_18.wav"
"maxal mngari","nineteen","十九","https://ilrdc.tw/tow/2022/audio/word/33/01_19.wav"
"empusal","twenty","二十  ","https://ilrdc.tw/tow/2022/audio/word/33/01_20.wav"
"empusal kingal","twenty one","二十一","https://ilrdc.tw/tow/2022/audio/word/33/01_21.wav"
"empusal dha","twenty two","二十二","https://ilrdc.tw/tow/2022/audio/word/33/01_22.wav"
"empusal tru","twenty three","二十三","https://ilrdc.tw/tow/2022/audio/word/33/01_23.wav"
"empusal spat","twenty four","二十四","https://ilrdc.tw/tow/2022/audio/word/33/01_24.wav"
"empusal rima","twenty five","二十五","https://ilrdc.tw/tow/2022/audio/word/33/01_25.wav"
"mtrul","thirty","三十","https://ilrdc.tw/tow/2022/audio/word/33/01_26.wav"
"mtrul kingal","thirty one","三十一","https://ilrdc.tw/tow/2022/audio/word/33/01_27.wav"
"mspatul","forty","四十","https://ilrdc.tw/tow/2022/audio/word/33/01_28.wav"
"mrimal","fifty","五十","https://ilrdc.tw/tow/2022/audio/word/33/01_29.wav"
"mataru kmxalan","sixty","六十","https://ilrdc.tw/tow/2022/audio/word/33/01_30.wav"
"empitu kmxalan","seventy","七十","https://ilrdc.tw/tow/2022/audio/word/33/01_31.wav"
"maspat kmxalan","eighty","八十","https://ilrdc.tw/tow/2022/audio/word/33/01_32.wav"
"mngari kmxalan","ninety","九十","https://ilrdc.tw/tow/2022/audio/word/33/01_33.wav"
"kbkuy","hundred","百","https://ilrdc.tw/tow/2022/audio/word/33/01_34.wav"
"kingal kbkuy","one hundred","一百","https://ilrdc.tw/tow/2022/audio/word/33/01_35.wav"
"dha kbkuy","two hundred","兩百","https://ilrdc.tw/tow/2022/audio/word/33/01_36.wav"
"maxal kbkuy","one thousand","一千","https://ilrdc.tw/tow/2022/audio/word/33/01_37.wav"
"cicih / hari","some","一些","https://ilrdc.tw/tow/2022/audio/word/33/01_38.wav"
"pxal","once","一次","https://ilrdc.tw/tow/2022/audio/word/33/01_39.wav"
"lnhgan","bunch","串","https://ilrdc.tw/tow/2022/audio/word/33/01_40.wav"
"klgan","kind","種類","https://ilrdc.tw/tow/2022/audio/word/33/01_41.wav"
"embbais","pair","一雙","https://ilrdc.tw/tow/2022/audio/word/33/01_42.wav"
"kana","entire","全部","https://ilrdc.tw/tow/2022/audio/word/33/01_43.wav"
"cicih /cikuh/cipuq","a little bit","一點點","https://ilrdc.tw/tow/2022/audio/word/33/01_44.wav"
"smka","half","一半","https://ilrdc.tw/tow/2022/audio/word/33/01_45.wav"
"isu","you","你 ","https://ilrdc.tw/tow/2022/audio/word/33/02_01.wav"
"yaku","I","我","https://ilrdc.tw/tow/2022/audio/word/33/02_02.wav"
"hiya","he","他","https://ilrdc.tw/tow/2022/audio/word/33/02_03.wav"
"yamu","you guys","你們","https://ilrdc.tw/tow/2022/audio/word/33/02_04.wav"
"yami","us","我們","https://ilrdc.tw/tow/2022/audio/word/33/02_05.wav"
"dhiya","they","他們","https://ilrdc.tw/tow/2022/audio/word/33/02_06.wav"
"nnamu","yours","你們的","https://ilrdc.tw/tow/2022/audio/word/33/02_07.wav"
"nami","our","我們的","https://ilrdc.tw/tow/2022/audio/word/33/02_08.wav"
"endhiya","their","他們的","https://ilrdc.tw/tow/2022/audio/word/33/02_09.wav"
"nisu","your","你的","https://ilrdc.tw/tow/2022/audio/word/33/02_10.wav"
"naku","mine","我的","https://ilrdc.tw/tow/2022/audio/word/33/02_11.wav"
"nhiya","his","他的","https://ilrdc.tw/tow/2022/audio/word/33/02_12.wav"
"yami","we (excluded)","我們(排除式)","https://ilrdc.tw/tow/2022/audio/word/33/02_13.wav"
"ita","let’s (inclusive)","咱們(包含式)","https://ilrdc.tw/tow/2022/audio/word/33/02_14.wav"
"nnita","ours","咱們的","https://ilrdc.tw/tow/2022/audio/word/33/02_15.wav"
"gaga","that","那個","https://ilrdc.tw/tow/2022/audio/word/33/02_16.wav"
"nii","this one","這個","https://ilrdc.tw/tow/2022/audio/word/33/02_17.wav"
"hini","here","這裡","https://ilrdc.tw/tow/2022/audio/word/33/02_18.wav"
"hiya","there","那裡","https://ilrdc.tw/tow/2022/audio/word/33/02_19.wav"
"kiya ni","(like) this","因此","https://ilrdc.tw/tow/2022/audio/word/33/02_20.wav"
"khnu","how much","多少","https://ilrdc.tw/tow/2022/audio/word/33/03_01.wav"
"manu","what","什麼","https://ilrdc.tw/tow/2022/audio/word/33/03_02.wav"
"huya","how","如何","https://ilrdc.tw/tow/2022/audio/word/33/03_03.wav"
"knuwan","when (not happening)","何時","https://ilrdc.tw/tow/2022/audio/word/33/03_04.wav"
"ima","who","誰","https://ilrdc.tw/tow/2022/audio/word/33/03_05.wav"
"tgeinu","which one","哪一個","https://ilrdc.tw/tow/2022/audio/word/33/03_06.wav"
"inu","where","哪裡","https://ilrdc.tw/tow/2022/audio/word/33/03_07.wav"
"nnima","Whose is it?","是誰的","https://ilrdc.tw/tow/2022/audio/word/33/03_08.wav"
"hmnuya","what","怎麼了","https://ilrdc.tw/tow/2022/audio/word/33/03_09.wav"
"piya","how much","多少(歲；物)","https://ilrdc.tw/tow/2022/audio/word/33/03_10.wav"
"khnu","how much (degree size)","多少(程度大小)","https://ilrdc.tw/tow/2022/audio/word/33/03_11.wav"
"quri inu","where","哪裡","https://ilrdc.tw/tow/2022/audio/word/33/03_12.wav"
"sknuwan","when (has happened)","何時過","https://ilrdc.tw/tow/2022/audio/word/33/03_13.wav"
"hmuya","why","為什麼","https://ilrdc.tw/tow/2022/audio/word/33/03_14.wav"
