"saya","one","一","https://ilrdc.tw/tow/2022/audio/word/38/01_01.wav"
"druwaya","two","二","https://ilrdc.tw/tow/2022/audio/word/38/01_02.wav"
"teluwa(tuluwa)","three","三","https://ilrdc.tw/tow/2022/audio/word/38/01_03.wav"
"pata","four","四","https://ilrdc.tw/tow/2022/audio/word/38/01_04.wav"
"lruwatra","five","五","https://ilrdc.tw/tow/2022/audio/word/38/01_05.wav"
"nenema","six","六","https://ilrdc.tw/tow/2022/audio/word/38/01_06.wav"
"pituwa","seven","七","https://ilrdc.tw/tow/2022/audio/word/38/01_07.wav"
"waluwa","eight","八","https://ilrdc.tw/tow/2022/audio/word/38/01_08.wav"
"waiwaya","nine","九","https://ilrdc.tw/tow/2022/audio/word/38/01_09.wav"
"muketrep","ten","十","https://ilrdc.tw/tow/2022/audio/word/38/01_10.wav"
"muketrep misama dra saya","eleven","十一","https://ilrdc.tw/tow/2022/audio/word/38/01_11.wav"
"muketrep misama dra druwaya","twelve","十二","https://ilrdc.tw/tow/2022/audio/word/38/01_12.wav"
"muketrep misama dra teluwa(tuluwa)","thirteen","十三","https://ilrdc.tw/tow/2022/audio/word/38/01_13.wav"
"muketrep misama dra pata","fourteen","十四","https://ilrdc.tw/tow/2022/audio/word/38/01_14.wav"
"muketrep misama dra lruwatra","fifteen","十五","https://ilrdc.tw/tow/2022/audio/word/38/01_15.wav"
"muketrep misama dra nenema","sixteen","十六","https://ilrdc.tw/tow/2022/audio/word/38/01_16.wav"
"muketrep misama dra pituwa","seventeen","十七","https://ilrdc.tw/tow/2022/audio/word/38/01_17.wav"
"muketrep misama dra waluwa","eighteen","十八","https://ilrdc.tw/tow/2022/audio/word/38/01_18.wav"
"muketrep misama dra waiwaya","nineteen","十九","https://ilrdc.tw/tow/2022/audio/word/38/01_19.wav"
"makabetraan","twenty","二十","https://ilrdc.tw/tow/2022/audio/word/38/01_20.wav"
"makabetraan misama dra saya","twenty one","二十一","https://ilrdc.tw/tow/2022/audio/word/38/01_21.wav"
"makabetraan misama dra druwaya","twenty two","二十二","https://ilrdc.tw/tow/2022/audio/word/38/01_22.wav"
"makabetraan misama dra teluwa(tuluwa)","twenty three","二十三","https://ilrdc.tw/tow/2022/audio/word/38/01_23.wav"
"makabetraan misama dra pata","twenty four","二十四","https://ilrdc.tw/tow/2022/audio/word/38/01_24.wav"
"makabetraan misama dra lruwatra ","twenty five","二十五","https://ilrdc.tw/tow/2022/audio/word/38/01_25.wav"
"makatelun","thirty","三十","https://ilrdc.tw/tow/2022/audio/word/38/01_26.wav"
"makatelun misama dra saya","thirty one","三十一","https://ilrdc.tw/tow/2022/audio/word/38/01_27.wav"
"makapetelr","forty","四十","https://ilrdc.tw/tow/2022/audio/word/38/01_28.wav"
"makalruwatr","fifty","五十","https://ilrdc.tw/tow/2022/audio/word/38/01_29.wav"
"makanemen","sixty","六十","https://ilrdc.tw/tow/2022/audio/word/38/01_30.wav"
"makapitu","seventy","七十","https://ilrdc.tw/tow/2022/audio/word/38/01_31.wav"
"makawalu","eighty","八十","https://ilrdc.tw/tow/2022/audio/word/38/01_32.wav"
"makaiwa","ninety","九十","https://ilrdc.tw/tow/2022/audio/word/38/01_33.wav"
"leman","hundred","百","https://ilrdc.tw/tow/2022/audio/word/38/01_34.wav"
"saleman(saya leman)","one hundred","一百","https://ilrdc.tw/tow/2022/audio/word/38/01_35.wav"
"druwaya leman","two hundred","兩百","https://ilrdc.tw/tow/2022/audio/word/38/01_36.wav"
"sakudrulr","one thousand","一千","https://ilrdc.tw/tow/2022/audio/word/38/01_37.wav"
"saima","very few","很少","https://ilrdc.tw/tow/2022/audio/word/38/01_38.wav"
"pariyasalr","once","一次","https://ilrdc.tw/tow/2022/audio/word/38/01_39.wav"
"sapangal","bunch","一串","https://ilrdc.tw/tow/2022/audio/word/38/01_40.wav"
"nirekameniyan","kind","種類","https://ilrdc.tw/tow/2022/audio/word/38/01_41.wav"
"mareetreb","pair","一雙","https://ilrdc.tw/tow/2022/audio/word/38/01_42.wav"
"peniya","entire","全部","https://ilrdc.tw/tow/2022/audio/word/38/01_43.wav"
"saima","a little bit","一點點","https://ilrdc.tw/tow/2022/audio/word/38/01_44.wav"
"parekadruwa","half","一半","https://ilrdc.tw/tow/2022/audio/word/38/01_45.wav"
"yu","you","你 ","https://ilrdc.tw/tow/2022/audio/word/38/02_01.wav"
"kuyku","I","我","https://ilrdc.tw/tow/2022/audio/word/38/02_02.wav"
"taytaw","he","他","https://ilrdc.tw/tow/2022/audio/word/38/02_03.wav"
"mu","you guys","你們","https://ilrdc.tw/tow/2022/audio/word/38/02_04.wav"
"mi","us","我們","https://ilrdc.tw/tow/2022/audio/word/38/02_05.wav"
" nadrunu","they","他們","https://ilrdc.tw/tow/2022/audio/word/38/02_06.wav"
"nanmu","yours","你們的","https://ilrdc.tw/tow/2022/audio/word/38/02_07.wav"
"naniyam","our","我們的","https://ilrdc.tw/tow/2022/audio/word/38/02_08.wav"
"nantaw kanadru","their","他們的","https://ilrdc.tw/tow/2022/audio/word/38/02_09.wav"
"nanu","your","你的","https://ilrdc.tw/tow/2022/audio/word/38/02_10.wav"
"nanku","mine","我的","https://ilrdc.tw/tow/2022/audio/word/38/02_11.wav"
"nantu","his","他的","https://ilrdc.tw/tow/2022/audio/word/38/02_12.wav"
"mimi","we (excluded)","我們(排除式)","https://ilrdc.tw/tow/2022/audio/word/38/02_13.wav"
"tayta","we (inclusive)","我們(包含式)","https://ilrdc.tw/tow/2022/audio/word/38/02_14.wav"
"nanta","ours","我們的(咱們的)","https://ilrdc.tw/tow/2022/audio/word/38/02_15.wav"
"idrunu","that","那個","https://ilrdc.tw/tow/2022/audio/word/38/02_16.wav"
"idrini","this one","這個","https://ilrdc.tw/tow/2022/audio/word/38/02_17.wav"
"kadrini","here","這裡","https://ilrdc.tw/tow/2022/audio/word/38/02_18.wav"
"kadriyu","there","那裡","https://ilrdc.tw/tow/2022/audio/word/38/02_19.wav"
"kemadrini","(like) this","(像)這樣","https://ilrdc.tw/tow/2022/audio/word/38/02_20.wav"
"samaya","how much","多少","https://ilrdc.tw/tow/2022/audio/word/38/03_01.wav"
"a manay","what","什麼","https://ilrdc.tw/tow/2022/audio/word/38/03_02.wav"
"kemuda","what","怎麼","https://ilrdc.tw/tow/2022/audio/word/38/03_03.wav"
"an asuwa","when (not happening)","何時(未發生)","https://ilrdc.tw/tow/2022/audio/word/38/03_04.wav"
"i manay","who","誰","https://ilrdc.tw/tow/2022/audio/word/38/03_05.wav"
"na isuwa","which one","哪一個","https://ilrdc.tw/tow/2022/audio/word/38/03_06.wav"
"isuwa","Where? Where?","哪裡；何處","https://ilrdc.tw/tow/2022/audio/word/38/03_07.wav"
"nantaw kan manay","Whose is it?","是誰的","https://ilrdc.tw/tow/2022/audio/word/38/03_08.wav"
"makuda","what","怎麼","https://ilrdc.tw/tow/2022/audio/word/38/03_09.wav"
"munuma","how much","多少(歲；物)","https://ilrdc.tw/tow/2022/audio/word/38/03_10.wav"
"kemudakuda tu ika......","how much (degree size)"," 多少(程度大小)","https://ilrdc.tw/tow/2022/audio/word/38/03_11.wav"
"isuwa","where","什麼地方","https://ilrdc.tw/tow/2022/audio/word/38/03_12.wav"
"a asuwa","when (has happened)","何時(已發生)","https://ilrdc.tw/tow/2022/audio/word/38/03_13.wav"
