"sa; saya","one","一","https://ilrdc.tw/tow/2022/audio/word/40/01_01.wav"
"zuwa; zuwaya","two","二","https://ilrdc.tw/tow/2022/audio/word/40/01_02.wav"
"telu; teluwa","three","三","https://ilrdc.tw/tow/2022/audio/word/40/01_03.wav"
"pat; pata","four","四","https://ilrdc.tw/tow/2022/audio/word/40/01_04.wav"
"lima; lruwatra","five","五","https://ilrdc.tw/tow/2022/audio/word/40/01_05.wav"
"enem; nanema","six","六","https://ilrdc.tw/tow/2022/audio/word/40/01_06.wav"
"pitu; pituwa ","seven","七","https://ilrdc.tw/tow/2022/audio/word/40/01_07.wav"
"walu; waluwa","eight","八","https://ilrdc.tw/tow/2022/audio/word/40/01_08.wav"
"iwa; iwaya","nine","九","https://ilrdc.tw/tow/2022/audio/word/40/01_09.wav"
"pulu’; muketrep","ten","十","https://ilrdc.tw/tow/2022/audio/word/40/01_10.wav"
"pulu’ sa; muketrep misama’ za saya","eleven","十一","https://ilrdc.tw/tow/2022/audio/word/40/01_11.wav"
"pulu’ zuwa","twelve","十二","https://ilrdc.tw/tow/2022/audio/word/40/01_12.wav"
"pulu’ telu","thirteen","十三","https://ilrdc.tw/tow/2022/audio/word/40/01_13.wav"
"pulu’ pat","fourteen","十四","https://ilrdc.tw/tow/2022/audio/word/40/01_14.wav"
"pulu’ lima","fifteen","十五","https://ilrdc.tw/tow/2022/audio/word/40/01_15.wav"
"pulu’ enem","sixteen","十六","https://ilrdc.tw/tow/2022/audio/word/40/01_16.wav"
"pulu’ pitu","seventeen","十七","https://ilrdc.tw/tow/2022/audio/word/40/01_17.wav"
"pulu’ walu","eighteen","十八","https://ilrdc.tw/tow/2022/audio/word/40/01_18.wav"
"pulu’ iwa","nineteen","十九","https://ilrdc.tw/tow/2022/audio/word/40/01_19.wav"
"zuwa pulu’; makavtra’an ","twenty","二十  ","https://ilrdc.tw/tow/2022/audio/word/40/01_20.wav"
"zuwa pulu’ sa ","twenty one","二十一","https://ilrdc.tw/tow/2022/audio/word/40/01_21.wav"
"zuwa pulu’ zuwa","twenty two","二十二","https://ilrdc.tw/tow/2022/audio/word/40/01_22.wav"
"zuwa pulu’ telu ","twenty three","二十三","https://ilrdc.tw/tow/2022/audio/word/40/01_23.wav"
"zuwa pulu’ pat ","twenty four","二十四","https://ilrdc.tw/tow/2022/audio/word/40/01_24.wav"
"zuwa pulu’ lima","twenty five","二十五","https://ilrdc.tw/tow/2022/audio/word/40/01_25.wav"
"telu pulu’; makatelun","thirty","三十","https://ilrdc.tw/tow/2022/audio/word/40/01_26.wav"
"telu pulu’ sa","thirty one","三十一","https://ilrdc.tw/tow/2022/audio/word/40/01_27.wav"
"pat pulu’; makapetelr","forty","四十","https://ilrdc.tw/tow/2022/audio/word/40/01_28.wav"
"lima pulu’; makalruwatr","fifty","五十","https://ilrdc.tw/tow/2022/audio/word/40/01_29.wav"
"enem pulu’; makanemen","sixty","六十","https://ilrdc.tw/tow/2022/audio/word/40/01_30.wav"
"pitu pulu’; makapitulr","seventy","七十","https://ilrdc.tw/tow/2022/audio/word/40/01_31.wav"
"walu pulu’; makawalun","eighty","八十","https://ilrdc.tw/tow/2022/audio/word/40/01_32.wav"
