"asa","one","一","https://ilrdc.tw/tow/2022/audio/word/42/01_01.wav"
"adoa","two","二","https://ilrdc.tw/tow/2022/audio/word/42/01_02.wav"
"atlo","three","三","https://ilrdc.tw/tow/2022/audio/word/42/01_03.wav"
"apat","four","四","https://ilrdc.tw/tow/2022/audio/word/42/01_04.wav"
"alima","five","五","https://ilrdc.tw/tow/2022/audio/word/42/01_05.wav"
"anem","six","六","https://ilrdc.tw/tow/2022/audio/word/42/01_06.wav"
"apito","seven","七","https://ilrdc.tw/tow/2022/audio/word/42/01_07.wav"
"awao","eight","八","https://ilrdc.tw/tow/2022/audio/word/42/01_08.wav"
"asiyam","nine","九","https://ilrdc.tw/tow/2022/audio/word/42/01_09.wav"
"asa ngernan","ten","十","https://ilrdc.tw/tow/2022/audio/word/42/01_10.wav"
"asa so ikaroa","eleven","十一","https://ilrdc.tw/tow/2022/audio/word/42/01_11.wav"
"adoa so ikaroa","twelve","十二","https://ilrdc.tw/tow/2022/audio/word/42/01_12.wav"
"atlo so ikaroa","thirteen","十三","https://ilrdc.tw/tow/2022/audio/word/42/01_13.wav"
"apat so ikaroa","fourteen","十四","https://ilrdc.tw/tow/2022/audio/word/42/01_14.wav"
"alima so ikaroa","fifteen","十五","https://ilrdc.tw/tow/2022/audio/word/42/01_15.wav"
"anem so ikaroa","sixteen","十六","https://ilrdc.tw/tow/2022/audio/word/42/01_16.wav"
"apito so ikaroa","seventeen","十七","https://ilrdc.tw/tow/2022/audio/word/42/01_17.wav"
"awao so ikaroa","eighteen","十八","https://ilrdc.tw/tow/2022/audio/word/42/01_18.wav"
"asiyam  so ikaroa","nineteen","十九","https://ilrdc.tw/tow/2022/audio/word/42/01_19.wav"
"adoa a ngernan","twenty","二十  ","https://ilrdc.tw/tow/2022/audio/word/42/01_20.wav"
"asa o ikasikatlo na a ngernan","twenty one","二十一","https://ilrdc.tw/tow/2022/audio/word/42/01_21.wav"
"adoa o ikasikatlo na a ngernan","twenty two","二十二","https://ilrdc.tw/tow/2022/audio/word/42/01_22.wav"
"atlo o ikasikatlo na a ngernan","twenty three","二十三","https://ilrdc.tw/tow/2022/audio/word/42/01_23.wav"
"apat o ikasikatlo na a ngernan","twenty four","二十四","https://ilrdc.tw/tow/2022/audio/word/42/01_24.wav"
