"cacay","one","一","https://ilrdc.tw/tow/2022/audio/word/43/01_01.wav"
"tusa","two","二","https://ilrdc.tw/tow/2022/audio/word/43/01_02.wav"
"tulu","three","三","https://ilrdc.tw/tow/2022/audio/word/43/01_03.wav"
"sepat","four","四","https://ilrdc.tw/tow/2022/audio/word/43/01_04.wav"
"lima","five","五","https://ilrdc.tw/tow/2022/audio/word/43/01_05.wav"
"enem","six","六","https://ilrdc.tw/tow/2022/audio/word/43/01_06.wav"
"pitu","seven","七","https://ilrdc.tw/tow/2022/audio/word/43/01_07.wav"
"walu","eight","八","https://ilrdc.tw/tow/2022/audio/word/43/01_08.wav"
"siwa","nine","九","https://ilrdc.tw/tow/2022/audio/word/43/01_09.wav"
"cacay a bataan","ten","十","https://ilrdc.tw/tow/2022/audio/word/43/01_10.wav"
"sabaw cacay","eleven","十一","https://ilrdc.tw/tow/2022/audio/word/43/01_11.wav"
"sabaw tusa","twelve","十二","https://ilrdc.tw/tow/2022/audio/word/43/01_12.wav"
"sabaw tulu","thirteen","十三","https://ilrdc.tw/tow/2022/audio/word/43/01_13.wav"
"sabaw sepat","fourteen","十四","https://ilrdc.tw/tow/2022/audio/word/43/01_14.wav"
"sabaw lima","fifteen","十五","https://ilrdc.tw/tow/2022/audio/word/43/01_15.wav"
"sabaw enem","sixteen","十六","https://ilrdc.tw/tow/2022/audio/word/43/01_16.wav"
"sabaw pitu","seventeen","十七","https://ilrdc.tw/tow/2022/audio/word/43/01_17.wav"
"sabaw walu","eighteen","十八","https://ilrdc.tw/tow/2022/audio/word/43/01_18.wav"
"sabaw siwa","nineteen","十九","https://ilrdc.tw/tow/2022/audio/word/43/01_19.wav"
"tusa a bataan","twenty","二十  ","https://ilrdc.tw/tow/2022/audio/word/43/01_20.wav"
"tusa bataan izaw(idaw) ku cacay","twenty one","二十一","https://ilrdc.tw/tow/2022/audio/word/43/01_21.wav"
"tusa bataan izaw(idaw) ku tusa","twenty two","二十二","https://ilrdc.tw/tow/2022/audio/word/43/01_22.wav"
"tusa bataan izaw(idaw) ku tulu","twenty three","二十三","https://ilrdc.tw/tow/2022/audio/word/43/01_23.wav"
"tusa bataan izaw(idaw) ku sepat","twenty four","二十四","https://ilrdc.tw/tow/2022/audio/word/43/01_24.wav"
"tusa bataan izaw(idaw) ku lima","twenty five","二十五","https://ilrdc.tw/tow/2022/audio/word/43/01_25.wav"
"tulu a bataan","thirty","三十","https://ilrdc.tw/tow/2022/audio/word/43/01_26.wav"
"tulu bataan izaw(idaw) ku cacay","thirty one","三十一","https://ilrdc.tw/tow/2022/audio/word/43/01_27.wav"
"sepat a bataan","forty","四十","https://ilrdc.tw/tow/2022/audio/word/43/01_28.wav"
"lima a bataan","fifty","五十","https://ilrdc.tw/tow/2022/audio/word/43/01_29.wav"
"enem a bataan","sixty","六十","https://ilrdc.tw/tow/2022/audio/word/43/01_30.wav"
"pitu a bataan","seventy","七十","https://ilrdc.tw/tow/2022/audio/word/43/01_31.wav"
"walu a bataan","eighty","八十","https://ilrdc.tw/tow/2022/audio/word/43/01_32.wav"
"siwa a bataan","ninety","九十","https://ilrdc.tw/tow/2022/audio/word/43/01_33.wav"
"lasubu ","hundred","百","https://ilrdc.tw/tow/2022/audio/word/43/01_34.wav"
