"Initu haw kita, ta! Malingatu tu kita.","Hello everyone. Here we go.","大家好。我們開始了。","https://web.klokah.tw/text/sound/26928/440458.mp3"
"Katemireng! Mitaung!"," Please stand up! Salute!","請起立! 敬禮!","https://web.klokah.tw/text/sound/26928/440459.mp3"
"Kapah haw kisu pasevana’ay."," Hello.","老師好。","https://web.klokah.tw/text/sound/26928/440460.mp3"
"Kamaru’."," Please sit down.","請坐下。","https://web.klokah.tw/text/sound/26928/440461.mp3"
"Kapah haw kamu alumanay! I nipicudad nu mita anini a remiad, a pasevana’ kaku i tamuwan tu ngangan nu kakaenan nu Pangcah.","Hello everyone. Today, I am going to teach you how to say the Ami language for food.","大家好。今天老師要教大家食物的阿美語怎麼說。","https://web.klokah.tw/text/sound/26928/440462.mp3"
"Mavana’ tu haw kisu a mitengil tu suwal nu pasevana’ay?"," Do you understand what the teacher says?","你聽得懂老師的話嗎?","https://web.klokah.tw/text/sound/26928/440463.mp3"
"Caay kava:na’ kaku a mitengil tu suwal nu misu pasevana’ay, kapah tu haw a kinacacay aca a miliyaw a semuwal?"," I don’t understand. Can you repeat it again?","老師，我聽不懂。可以再說一次好嗎?","https://web.klokah.tw/text/sound/26928/440464.mp3"
"Caay pakatengil kaku, kapa:h tu haw a satataangen atu:di?","I can’t hear you, can you speak louder?","我聽不到，可以大聲一點嗎","https://web.klokah.tw/text/sound/26928/472979.mp3"
"Pimelawi itini! Duduen ku nipiasip nu maku.","Look here, please! Repeat after me.","請看這裡! 跟著我唸一遍。","https://web.klokah.tw/text/sound/26928/440466.mp3"
"Hay! Kapah ku niasip nu misu.","It’s very well read.","唸得很好。","https://web.klokah.tw/text/sound/26928/440467.mp3"
"Kakinacacay aca a miasip, satataangen atudi.","Read it again. Please speak louder.","再唸一次。請大聲一點。","https://web.klokah.tw/text/sound/26928/440468.mp3"
"Terep han, akaa kasemuwal.","Please be quiet. Don’t talk.","請安靜。不要說話。","https://web.klokah.tw/text/sound/26928/440469.mp3"
"Patahekalen ku cudad."," Please take out your textbook.","請把課本拿出來。","https://web.klokah.tw/text/sound/26928/440470.mp3"
"Hay, pasevana’ay."," Yes, sir.","是的，老師。","https://web.klokah.tw/text/sound/26928/440471.mp3"
"Pasadaken ku sapisurit nu misu."," Please take out your pen.","請把筆拿出來。","https://web.klokah.tw/text/sound/26928/440472.mp3"
"Pasevana’ay! Mapawan kaku a mikerid tu sapisurit nu maku."," I forgot to bring my pen.","老師，我忘了帶筆。","https://web.klokah.tw/text/sound/26928/440473.mp3"
"Patahkalen ku savuric."," Please take out the eraser.","請把橡皮擦拿出來。","https://web.klokah.tw/text/sound/26928/440474.mp3"
"Pasevana’ay, mapawan kaku a mikerid tu savuric."," I forgot to bring my eraser.","老師，我忘了帶橡皮擦。","https://web.klokah.tw/text/sound/26928/440475.mp3"
"Picaliwi tu savuric nu teparay nu misu."," Please borrow erasers from your classmates.","請跟旁邊同學借橡皮擦。","https://web.klokah.tw/text/sound/26928/440476.mp3"
"Pacaliwi kaku tu savuric nu misu."," Can I borrow your eraser?","你的橡皮擦借我好嗎?","https://web.klokah.tw/text/sound/26928/440477.mp3"
"Maherek tu ku nipicudad nu mita.","Class is over.","我們下課了。","https://web.klokah.tw/text/sound/26928/440478.mp3"
"Tangasa itini ku nipinanam nu mita, rumaaw tu a lipayan a malalitemuh.","Class dismissed, see you next week.","我們就上到這邊，下週再見。","https://web.klokah.tw/text/sound/26928/440479.mp3"
"Cima saw kisu?"," Who are you?","你是誰?","https://web.klokah.tw/text/sound/26929/440480.mp3"
"Ci Tumay kaku.","I’m Tumay.","我是Tumay。","https://web.klokah.tw/text/sound/26929/440481.mp3"
"Cima saw kisu?"," Who are you?","你是誰?","https://web.klokah.tw/text/sound/26929/440482.mp3"
"U wawa ni Marang kaku, ci Tumay ku ngangan nu maku."," I’m Marang’s son, my name is Tumay.","我是Marang的兒子，我叫Tumay。","https://web.klokah.tw/text/sound/26929/440483.mp3"
"Cima saw kisu?"," Who are you?","你是誰?","https://web.klokah.tw/text/sound/26929/440484.mp3"
"U micudaday ni Luuh kaku, ci Tumay ku ngangan nu maku,"," I am a student of Luuh, my name is Tumay.","我是Luuh的學生，我叫Tumay。","https://web.klokah.tw/text/sound/26929/440485.mp3"
"Maan han saw ku ngangan nu misu?"," What’s your name?","你的名字是什麼?","https://web.klokah.tw/text/sound/26929/440486.mp3"
"Ci Tumay han ku ngangan nu maku."," My name is Tumay.","我的名字是Tumay。","https://web.klokah.tw/text/sound/26929/440487.mp3"
"Cima han saw ku ngangan ni ama isu."," What’s your father’s name?","你爸爸的名字是什麼?","https://web.klokah.tw/text/sound/26929/440488.mp3"
"Ci Marang han ku ngangan ni ama aku."," My dad’s name is Marang.","我爸爸的名字是Marang。","https://web.klokah.tw/text/sound/26929/440489.mp3"
"Ci Kilang cira."," He’s Kilang.","他是Kilang。","https://web.klokah.tw/text/sound/26929/466895.mp3"
"U vavainayan a kaka nu maku cira, ci Kilang han ku ngangan nira."," He’s my brother, his name is Kilang.","他是我的哥哥，他叫Kilang。","https://web.klokah.tw/text/sound/26929/440491.mp3"
