"lawkah cimu kahabaag! manaringay ta’ la."," Please stand up! Salute the teacher!","請起立! 向老師敬禮!","https://web.klokah.tw/text/sound/27012/443202.mp3"
"ca’rux! tubunani i papasibaq!"," Please stand up! Salute!","請起立! 敬禮!","https://web.klokah.tw/text/sound/27012/443203.mp3"
"lawkah su’ papasibaq!"," Hello.","老師好。","https://web.klokah.tw/text/sound/27012/443204.mp3"
"tahunak."," Please sit down.","請坐下。","https://web.klokah.tw/text/sound/27012/443205.mp3"
"tikuw papasibaq mu icimu kisa’ ga, nanuwan san ku nananiqun.","Today the teacher is going to teach you how to talk about food.","今天老師要教大家食物的泰雅語怎麼說。","https://web.klokah.tw/text/sound/27012/443206.mp3"
"baqun su’ kayi’ ni papasibaq quw?"," Do you understand what the teacher says?","你聽得懂老師的話嗎?","https://web.klokah.tw/text/sound/27012/443207.mp3"
"papasibaq, ini’ mu baqi. pakabalayq su’ kumaal lawwiy cu qutux quw?"," I don’t understand. Can you repeat it again?","老師，我不懂。您可以再說一次嗎?","https://web.klokah.tw/text/sound/27012/443208.mp3"
"ini’ mu pungi, karahuwal tikay ku kayi’ su’ quw?","I can’t hear you, can you speak louder?","我聽不到，您講大聲一點好嗎?","https://web.klokah.tw/text/sound/27012/443209.mp3"
"kitaal i runi, galgiy kuwing i lumpuw cu qutux.","Look here, please! Repeat after me.","請看這裡! 跟著我唸一遍。","https://web.klokah.tw/text/sound/27012/443210.mp3"
"yani! balayq cubalay ku linpuw mamu.","Yes! You have read it very well.","好！你們唸得很好。","https://web.klokah.tw/text/sound/27012/443211.mp3"
"lpuw lawwiy cu qutux, karahuwal ku hanaang.","Read it again. Please speak louder.","再唸一次。請大聲一點。","https://web.klokah.tw/text/sound/27012/443212.mp3"
"ikiyang! laxi ku sangaquwaq!","Please be quiet. Don’t talk.","請安靜。不要說話。","https://web.klokah.tw/text/sound/27012/443213.mp3"
"agal ku ruwas."," Please take out your textbook.","請把課本拿出來。","https://web.klokah.tw/text/sound/27012/443214.mp3"
"uwal, papasibaq."," Yes, sir.","是的，老師。","https://web.klokah.tw/text/sound/27012/443215.mp3"
"agal ku papateq."," Please take out your pen.","請把筆拿出來。","https://web.klokah.tw/text/sound/27012/443216.mp3"
"papasibaq, ungian mu maras ku papateq la."," I forgot to bring my pen.","老師，我忘了帶筆。","https://web.klokah.tw/text/sound/27012/443217.mp3"
"agal ku papawng cu pinateq."," Please take out the eraser.","請把橡皮擦拿出來。","https://web.klokah.tw/text/sound/27012/443218.mp3"
"papasibaq, ungian mu maras ku papawng cu pinateq la."," I forgot to bring my eraser.","老師，我忘了帶橡皮擦。","https://web.klokah.tw/text/sound/27012/443219.mp3"
"kabawx cuku bays su’ cu papawng cu pinateq."," Please borrow erasers from your classmates.","請跟旁邊同學借橡皮擦。","https://web.klokah.tw/text/sound/27012/443220.mp3"
"kabaxay mu ku papawng cu pinateq su’ quw?"," Can I borrow your eraser?","借我橡皮擦好嗎?","https://web.klokah.tw/text/sound/27012/443221.mp3"
"muhungiqay ta’ la.","Class is over.","我們下課了。","https://web.klokah.tw/text/sound/27012/443222.mp3"
"pasikiaw ta’ i runi makibaq han, makitalay ta’ lawwiy i casan.","Class dismissed, see you tomorrow.","我們就先學習到這邊，明天見。","https://web.klokah.tw/text/sound/27012/443223.mp3"
"ima’ ralu’ su’?"," What is your name?","你叫什麼名字？","https://web.klokah.tw/text/sound/27013/443224.mp3"
"ralu’ mu ga Lawsing na Yangah.","","我是Lawsing na Yangah。","https://web.klokah.tw/text/sound/27013/443225.mp3"
"ima’ su’?"," Who are you?","你是誰?","https://web.klokah.tw/text/sound/27013/443226.mp3"
"ulaqi’ kuwing ni Payan, ralu’ mu ga Hayung.","I’m Payan’s son, my name is Hayung.","我是Payan的兒子，我叫Hayung。","https://web.klokah.tw/text/sound/27013/443227.mp3"
"ima’ su’?"," Who are you?","你是誰?","https://web.klokah.tw/text/sound/27013/443228.mp3"
"Sayun a ralu’ mu, pasibaqan kuwing ni papasibaq Tayax."," My name is Sayun and I’m a student at Tayax.","我叫Sayun，我是Tayax的學生。","https://web.klokah.tw/text/sound/27013/443229.mp3"
"lawkah yaba’, yaya’ quw?"," How is mom and dad?","爸爸、媽媽好嗎？","https://web.klokah.tw/text/sound/27013/443230.mp3"
