"lokah cimu qabax. tgaring ta lay.","Hello everyone. Here we go.","大家好。我們開始了。","https://web.klokah.tw/text/sound/27036/443986.mp3"
"tuliq tmatuk tunux mamu."," Please stand up! Salute!","請起立! 敬禮!","https://web.klokah.tw/text/sound/27036/443987.mp3"
"sesiy lokah."," Hello.","老師好。","https://web.klokah.tw/text/sound/27036/443988.mp3"
"tama."," Please sit down.","請坐下。","https://web.klokah.tw/text/sound/27036/443989.mp3"
"lokah cimu qabax. kisa ga, sbaqun cimu kmayan ke na nniqun na Tayal qani.","Hello everyone. Today I am going to teach you how to say food in Thai.","大家好。今天老師要教大家食物的泰雅語怎麼說。","https://web.klokah.tw/text/sound/27036/443990.mp3"
"baqun mamu mung ke na sesiy ga."," Do you understand what the teacher says?","你聽得懂老師的話嗎?","https://web.klokah.tw/text/sound/27036/443991.mp3"
"sesiy, ini mu kbaqi mung. ana su kmayan min qutux loyi."," I don’t understand. Can you repeat it again?","老師，我不懂。可以再說一次嗎?","https://web.klokah.tw/text/sound/27036/443992.mp3"
"ini mu pungi ke su, tyaba hayi kmayan ke su ga?"," I can’t hear you, can you speak louder?","我聽不到，可以大聲一點嗎?","https://web.klokah.tw/text/sound/27036/443993.mp3"
"ktayux cqani! glux kingan kmayan min qutux.","Look here, please! Repeat after me.","請看這裡! 跟著我唸一遍。","https://web.klokah.tw/text/sound/27036/443994.mp3"
"blaq calay qa lpxan mamu.","It’s very well read.","唸得很好。","https://web.klokah.tw/text/sound/27036/443995.mp3"
"lpux min qutux loyi. tyaba hayi ke mamu.","Read it again. Please speak louder.","再唸一次。請大聲一點。","https://web.klokah.tw/text/sound/27036/443996.mp3"
"ta kcyang. laxi kayan.","Please be quiet. Don’t talk.","請安靜。不要說話。","https://web.klokah.tw/text/sound/27036/443997.mp3"
"agan qa biru pqwasan mamu."," Please take out your textbook.","請把課本拿出來。","https://web.klokah.tw/text/sound/27036/443998.mp3"
"uya, sesiy."," Yes, sir.","是的，老師。","https://web.klokah.tw/text/sound/27036/443999.mp3"
"agan enpit mamu."," Please take out your pen.","請把筆拿出來。","https://web.klokah.tw/text/sound/27036/444000.mp3"
"sesiy, wal mu kngyan maray enpit mu la."," I forgot to bring my pen.","老師，我忘了帶筆。","https://web.klokah.tw/text/sound/27036/444001.mp3"
"agan ccom mamu."," Please take out the eraser.","請把橡皮擦拿出來。","https://web.klokah.tw/text/sound/27036/444002.mp3"
"sesiy, wal mu kngyan maray ccom mu la."," I forgot to bring my eraser.","老師，我忘了帶橡皮擦。","https://web.klokah.tw/text/sound/27036/444003.mp3"
"ksiyux cikay ccom qa seto su."," Please borrow erasers from your classmates.","請跟旁邊同學借橡皮擦。","https://web.klokah.tw/text/sound/27036/444004.mp3"
"ksyugay ta cikay ccom su ga?"," Can I borrow your eraser?","借我橡皮擦好嗎?","https://web.klokah.tw/text/sound/27036/444005.mp3"
"hngaw ta mqwas biru la.","Class is over.","我們下課了。","https://web.klokah.tw/text/sound/27036/444006.mp3"
"tqbaq ta ski cqai ha, tqbaqay ta babaw nya la.","Class dismissed, see you next week.","我們就上到這邊，下次再見。","https://web.klokah.tw/text/sound/27036/444007.mp3"
"ima isu?"," Who are you?","你是誰?","https://web.klokah.tw/text/sound/27037/444008.mp3"
"kingan ga Kacu.","","我是Kacu。","https://web.klokah.tw/text/sound/27037/444009.mp3"
"ima isu?"," Who are you?","你是誰?","https://web.klokah.tw/text/sound/27037/444010.mp3"
"kinngan ga laqi ni Maray, Kacu lalu mu."," I am the son of Maray, and my name is Kacu.","我是Maray的兒子，我叫Kacu。","https://web.klokah.tw/text/sound/27037/444011.mp3"
"ima isu?"," Who are you?","你是誰?","https://web.klokah.tw/text/sound/27037/444012.mp3"
"kinngan ga seto ni Maray, Kacu lalu mu."," I am a student in Maray, my name is Kacu.","我是Maray的學生，我叫Kacu。","https://web.klokah.tw/text/sound/27037/444013.mp3"
"ima lalu su?"," What’s your name?","你的名字是什麼?","https://web.klokah.tw/text/sound/27037/444014.mp3"
"Kacu lalu mu."," My name is Kacu.","我的名字是Kacu。","https://web.klokah.tw/text/sound/27037/444015.mp3"
"ima lalu yaba su?"," What’s your father’s name?","你爸爸的名字是什麼?","https://web.klokah.tw/text/sound/27037/444016.mp3"
"Masing lalu yaba mu."," My father’s name is Masing.","我爸爸的名字是Masing。","https://web.klokah.tw/text/sound/27037/444017.mp3"
"ima qa hiya?"," Who is he?","他是誰?","https://web.klokah.tw/text/sound/27037/444018.mp3"
"hiya ga Kuras.","He’s Kuras.","他是Kuras。","https://web.klokah.tw/text/sound/27037/466915.mp3"
"hiya ga, qbsuyal mu mlikuy, Kuras lalu nya."," He is my brother, his name is Kuras.","他是我的哥哥，他叫Kuras。","https://web.klokah.tw/text/sound/27037/444019.mp3"
"ima lalu nya hiya?"," What’s his name?","他的名字是什麼?","https://web.klokah.tw/text/sound/27037/444020.mp3"
"lalu nya ga Kuras."," His name is Kuras.","他的名字是Kuras。","https://web.klokah.tw/text/sound/27037/444021.mp3"
"Maray lalu nya ku?"," Is his name Maray?","他的名字是Maray嗎?","https://web.klokah.tw/text/sound/27037/444022.mp3"
"uya, Maray lalu nya."," Yes, his name is Maray.","是，他的名字是Maray。","https://web.klokah.tw/text/sound/27037/444023.mp3"
"Masing lalu nya ku?"," Is his name Masing?","他的名字是Masing嗎?","https://web.klokah.tw/text/sound/27037/444024.mp3"
"iyat, Kuras lalu nya.","No, his name is Kuras.","不是，他的名字是Kuras。","https://web.klokah.tw/text/sound/27037/466916.mp3"
"ima cquliq qaca hiya?"," Who is that guy?","那個人是誰?","https://web.klokah.tw/text/sound/27037/444025.mp3"
"hiya ga Pisuy. Yata mu hiya."," She’s Pisuy. she’s my aunt.","她是Pisuy。她是我的阿姨。","https://web.klokah.tw/text/sound/27037/444026.mp3"
"ima cquliq qaca hiya?"," Who is that guy?","那個人是誰?","https://web.klokah.tw/text/sound/27037/444027.mp3"
"hiya ga rangi mu, Lomuy lalu nya."," She is my friend and her name is Lomuy.","她是我的朋友，她的名字是Lomuy。","https://web.klokah.tw/text/sound/27037/444028.mp3"
"pisa kawas su la?"," How old are you?","你今年幾歲?","https://web.klokah.tw/text/sound/27037/444029.mp3"
"mpux kawas mu la."," I am 10 years old.","我今年10歲。","https://web.klokah.tw/text/sound/27037/444030.mp3"
"pisa kawas nya la?"," How old is he?","他今年幾歲?","https://web.klokah.tw/text/sound/27037/444031.mp3"
