"Malu namu kana ho? Prading ta di.","Hello everyone. Here we go.","大家好。我們開始了。","https://web.klokah.tw/text/sound/27179/447082.mp3"
"Heyu! Thmuku!"," Please stand up! Salute!","請起立! 敬禮!","https://web.klokah.tw/text/sound/27179/447083.mp3"
"Mptgesa malu."," Hello.","老師好。","https://web.klokah.tw/text/sound/27179/447084.mp3"
"sndamac su."," Hello.","老師好。","https://web.klokah.tw/text/sound/27179/475196.mp3"
"Tloong."," Please sit down.","請坐下。","https://web.klokah.tw/text/sound/27179/447085.mp3"
"sndamc namu,tgsaun maku kari Seediq so ppukun.","Hello everyone. Today I am going to teach you how to say food in Sederik.","大家好。今天老師要教大家食物的賽德克語怎麼說。","https://web.klokah.tw/text/sound/27179/447086.mp3"
"Klaun su mbahang kari mtgesa?"," Do you understand what the teacher says?","你聽得懂老師的話嗎?","https://web.klokah.tw/text/sound/27179/447087.mp3"
"Ini mu klai mptgesa, rengo texan dungan ho?"," I don’t understand. Can you repeat it again?","老師，我不懂。可以再說一次嗎?","https://web.klokah.tw/text/sound/27179/447088.mp3"
"Ini ku qbahang, kparu hari rmengo ho?"," I can’t hear you, can you speak louder?","我聽不到，可以大聲一點嗎?","https://web.klokah.tw/text/sound/27179/447089.mp3"
"Qita hini, snegun kenan smepu rmengo.","Look here, please! Repeat after me.","請看這裡! 跟著我唸一遍。","https://web.klokah.tw/text/sound/27179/447090.mp3"
"Malu bale smnepu muuyas namu.","It’s very well read.","唸得很好。","https://web.klokah.tw/text/sound/27179/447091.mp3"
"Sepu muuyas texan, kparu heri hrenang.","Read it again. Please speak louder.","再唸一次。請大聲一點。","https://web.klokah.tw/text/sound/27179/447092.mp3"
"Kmelux, iya squwaq","Please be quiet. Don’t talk.","請安靜。不要說話。","https://web.klokah.tw/text/sound/27179/447093.mp3"
"Ngali baro patis namu."," Please take out your textbook.","請把課本拿出來。","https://web.klokah.tw/text/sound/27179/447094.mp3"
"Un, mptgesa."," Yes, sir.","是的，老師。","https://web.klokah.tw/text/sound/27179/447095.mp3"
"Angal baro ppatis namu."," Please take out your pen.","請把筆拿出來。","https://web.klokah.tw/text/sound/27179/447096.mp3"
"Mptgesa, cmhungi ku madis ppatis da."," I forgot to bring my pen.","老師，我忘了帶筆。","https://web.klokah.tw/text/sound/27179/447097.mp3"
"Angal baro ka sserus namu."," Please take out the eraser.","請把橡皮擦拿出來。","https://web.klokah.tw/text/sound/27179/447098.mp3"
"Mptgesa, cmhungi ku madis sserus da."," I forgot to bring my eraser.","老師，我忘了帶橡皮擦。","https://web.klokah.tw/text/sound/27179/447099.mp3"
