"Kana ita mnswayi, prajing ta da.","Hello everyone. Here we go.","大家好。我們開始了。","https://web.klokah.tw/text/sound/27191/447474.mp3"
"Hiyug kana! Thmuku!"," Please stand up! Salute!","請起立! 敬禮!","https://web.klokah.tw/text/sound/27191/447475.mp3"
"Embiyax su hug? Emptgsa"," Hello.","老師好。","https://web.klokah.tw/text/sound/27191/447476.mp3"
"Tluung."," Please sit down.","請坐下。","https://web.klokah.tw/text/sound/27191/447477.mp3"
"Kana laqi,. jiyax sayang ptgsa ku munan shuya rmngaw kari Seejiq ka uuqun.","Hello everyone. Today I am going to teach you how to say food in Sederik.","大家好。今天老師要教大家食物的賽德克語怎麼說。","https://web.klokah.tw/text/sound/27191/447478.mp3"
"Klaun namu qmbahang kari emptgsa hug?"," Do you understand what the teacher says?","你聽得懂老師的話嗎?","https://web.klokah.tw/text/sound/27191/447479.mp3"
"Emptgsa, ini mu klai qmbahang. Tduwa su emkingal rmngaw duri hug?"," I don’t understand. Can you repeat it again?","老師，我聽不懂。您可以再說一次嗎?","https://web.klokah.tw/text/sound/27191/447480.mp3"
"Ini mu qbhangi, kparu hari ka hnang su hug?"," I can’t hear you, can you speak louder?","我聽不到，您講大聲一點好嗎?","https://web.klokah.tw/text/sound/27191/447481.mp3"
"Qita hini! Purug knan txal duri.","Look here, please! Repeat after me.","請看這裡! 跟著我唸一遍。","https://web.klokah.tw/text/sound/27191/447482.mp3"
"Kiya! Malu balay ka snpug su.","Yes! You read that very well.","好！你唸得很好。","https://web.klokah.tw/text/sound/27191/447483.mp3"
"Spug txal duri Kparu hari ka hnang.","Read it again. Please speak louder.","再唸一次。請大聲一點。","https://web.klokah.tw/text/sound/27191/447484.mp3"
"Iya squwaq!","Don’t talk.","不要說話。","https://web.klokah.tw/text/sound/27191/447485.mp3"
"Ngali ka patas."," Please take out your textbook.","請把課本拿出來。","https://web.klokah.tw/text/sound/27191/447486.mp3"
"Iq wa! Emptgsa."," Yes, sir.","是的，老師。","https://web.klokah.tw/text/sound/27191/447487.mp3"
"Ngali ka ppatas."," Please take out your pen.","請把筆拿出來。","https://web.klokah.tw/text/sound/27191/447488.mp3"
"Emptgsa, wada ku smhungi madas ppatas da."," I forgot to bring my pen.","老師，我忘了帶筆。","https://web.klokah.tw/text/sound/27191/447489.mp3"
