"Miqumicang. na kitngain ata.","Hello everyone. Here we go.","大家好。我們開始了。","https://web.klokah.tw/text/sound/27203/447866.mp3"
"Minduldula! mincuqdunga!"," Please stand up! Salute!","請起立! 敬禮!","https://web.klokah.tw/text/sound/27203/447867.mp3"
"Miqumicang tataqu’."," Hello.","老師好。","https://web.klokah.tw/text/sound/27203/447868.mp3"
"Mulungqu’a."," Please sit down.","請坐下。","https://web.klokah.tw/text/sound/27203/447869.mp3"
"Miqumicang nataqu’an zaku amu haipi palicia it tukau’un malasbunun bazbaz ca kakaunun."," Hello everyone. Today, I am going to teach you how to say the Bunun language for food.","大家好。今天老師要教大家食物的布農語怎麼說。","https://web.klokah.tw/text/sound/27203/447870.mp3"
"Maqanciap asu tan’a ki sinbazbaz is tataqu?"," Do you understand what the teacher says?","你聽得懂老師的話嗎?","https://web.klokah.tw/text/sound/27203/447871.mp3"
"Nii caak maqanciap ti tukua asu. Maqtu mauqnang bazbaz."," I don’t understand. Can you repeat it again?","老師，我不懂。可以再說一次嗎?","https://web.klokah.tw/text/sound/27203/447872.mp3"
"Nii azak tan’a. Maqtu tatqaitun tukuc ca qalinga?"," I can’t hear you, can you speak louder?","我聽不到，可以大聲一點嗎?","https://web.klokah.tw/text/sound/27203/447873.mp3"
"Sadu’a dii! Lancana zakun bazbaz."," Look here, please! Repeat after me.","請看這裡! 跟著我唸一遍。","https://web.klokah.tw/text/sound/27203/447874.mp3"
"Uu, macial ca sinbazbaz."," It’s very well read.","唸得很好。","https://web.klokah.tw/text/sound/27203/447875.mp3"
"Mauqna’ang bazbaz. Tatqaiti tukuc ca qalinga."," Read it again. Please speak louder.","再唸一次。請大聲一點。","https://web.klokah.tw/text/sound/27203/447876.mp3"
"Malmiminga. Ka’a tu babazbaz."," Please be quiet. Don’t talk.","請安靜。不要說話。","https://web.klokah.tw/text/sound/27203/447877.mp3"
"Sitasali ca haqail."," Please take out your textbook.","請把課本拿出來。","https://web.klokah.tw/text/sound/27203/447878.mp3"
"Uu,tataqu’."," Yes, sir.","是的，老師。","https://web.klokah.tw/text/sound/27203/447879.mp3"
"Sitasali ca ispapatas."," Please take out your pen.","請把筆拿出來。","https://web.klokah.tw/text/sound/27203/447880.mp3"
"Tataqu’, minpungul azak madas is ispapatas."," I forgot to bring my pen.","老師，我忘了帶筆。","https://web.klokah.tw/text/sound/27203/447881.mp3"
"Sitasali ca isqaqaisqais."," Please take out the eraser.","請把橡皮擦拿出來。","https://web.klokah.tw/text/sound/27203/447882.mp3"
"Tataqu’, minpungul azak madas is isqaqaisqais."," I forgot to bring my eraser.","老師，我忘了帶橡皮擦。","https://web.klokah.tw/text/sound/27203/447883.mp3"
"Simula ha’an taszangan suu ki isqaqaisqais."," Please borrow erasers from your classmates.","請跟旁邊同學借橡皮擦。","https://web.klokah.tw/text/sound/27203/447884.mp3"
