"Mihumisang amin kidngabin kata.","Hello everyone. Here we go.","大家好。我們開始了。","https://web.klokah.tw/text/sound/27251/449434.mp3"
"Minduldula, pisauk."," Please stand up! Salute!","請起立! 敬禮!","https://web.klokah.tw/text/sound/27251/449435.mp3"
"Mihumisang, masnanava."," Hello.","老師好。","https://web.klokah.tw/text/sound/27251/449436.mp3"
"Malunguhua."," Please sit down.","請坐下。","https://web.klokah.tw/text/sound/27251/449437.mp3"
"Mihumisang aip, tu hanian masnanava hai namasnava mu tukuna kakanunnan malus Bunun tupa?","Hello everyone. Today I’m going to teach you how to say Bunun food.","大家好。今天老師要教大家食物的布農語怎麼說。","https://web.klokah.tw/text/sound/27251/449438.mp3"
"Adu ithal kamu masnanava tu halinga ha?"," Do you understand what the teacher says?","你聽得懂老師的話嗎?","https://web.klokah.tw/text/sound/27251/449439.mp3"
"Masnanava, nisaikin ithal, adu mahtuang muhna tupa?"," I don’t understand. Can you repeat it again?","老師，我不懂。可以再說一次嗎?","https://web.klokah.tw/text/sound/27251/449440.mp3"
"Nisaikin utazan, adu mahtu pidaingun halinga tupa?"," I can’t hear you, can you speak louder?","我聽不到，可以大聲一點嗎?","https://web.klokah.tw/text/sound/27251/449441.mp3"
"Saduadi silili zaku musa’n tupa.","Look here, please! Repeat after me.","請看這裡! 跟著我唸一遍。","https://web.klokah.tw/text/sound/27251/449442.mp3"
"Masialmu a sinpalinutu.","It’s very well read.","唸得很好。","https://web.klokah.tw/text/sound/27251/449443.mp3"
"Muhnang tupa tu musa’n, pimadaingi halinga.","Read it again. Please speak louder.","再唸一次。請大聲一點。","https://web.klokah.tw/text/sound/27251/449444.mp3"
"Matunungsiva katu palinutu.","Please be quiet. Don’t talk.","請安靜。不要說話。","https://web.klokah.tw/text/sound/27251/449445.mp3"
"Pinsumava imutu patasan ahil."," Please take out your textbook.","請把課本拿出來。","https://web.klokah.tw/text/sound/27251/449446.mp3"
"Ung masnanava."," Yes, sir.","是的，老師。","https://web.klokah.tw/text/sound/27251/449447.mp3"
"Pinsumava imu ispapatas."," Please take out your pen.","請把筆拿出來。","https://web.klokah.tw/text/sound/27251/449448.mp3"
"Masnanava sipungulik madas ispapatas."," I forgot to bring my pen.","老師，我忘了帶筆。","https://web.klokah.tw/text/sound/27251/449449.mp3"
"Pinsumava imu ishahaishais."," Please take out the eraser.","請把橡皮擦拿出來。","https://web.klokah.tw/text/sound/27251/449450.mp3"
"Masnanava sipiungulik madas ishahaishais."," I forgot to bring my eraser.","老師，我忘了帶橡皮擦。","https://web.klokah.tw/text/sound/27251/449451.mp3"
"Simula ishahaishais sia ngalantu taskunan."," Please borrow erasers from your classmates.","請跟旁邊同學借橡皮擦。","https://web.klokah.tw/text/sound/27251/449452.mp3"
"Adu mahtuas mapasimul zaku ishahaishais ha?"," Can I borrow your eraser?","借我橡皮擦好嗎?","https://web.klokah.tw/text/sound/27251/449453.mp3"
"Palka nahtungin ta isnavan aip.","Class is over.","我們下課了。","https://web.klokah.tw/text/sound/27251/449454.mp3"
"Panhaincin ta aip isnavan, napasaduta muhnin tu islunghuan.","Class dismissed, see you next week.","我們就上到這裡，下週再見。","https://web.klokah.tw/text/sound/27251/474260.mp3"
"Kasiman kasu? Sima kasu?"," Who are you?","你是誰?","https://web.klokah.tw/text/sound/27252/449456.mp3"
"Aziman saikin. Saikin hai Aziman.","","我是Aziman。","https://web.klokah.tw/text/sound/27252/449457.mp3"
"Sima kasu?"," Who are you?","你是誰?","https://web.klokah.tw/text/sound/27252/449458.mp3"
"Saikin hai is Aziman tu uvaz tupaun saikin tu Talum."," I am Aziman's son, and my name is Talum.","我是Aziman的兒子，我叫Talum。","https://web.klokah.tw/text/sound/27252/449459.mp3"
"Sima kasu? Kasiman kasu?"," Who are you?","你是誰?","https://web.klokah.tw/text/sound/27252/449460.mp3"
"Saikin hai Aziman tu isnanavan tupaun tu Vilian."," I am a student in Aziman, my name is Vilian.","我是Aziman的學生，我叫Vilian。","https://web.klokah.tw/text/sound/27252/449461.mp3"
"Sima su a ngan?"," What's your name?","你的名字是什麼?","https://web.klokah.tw/text/sound/27252/449462.mp3"
"Inak ngan hai tupaun tu Alang.","My name is Alang.","我的名字是Alang。","https://web.klokah.tw/text/sound/27252/449463.mp3"
"Tukun isu tama ngan?"," What's your father's name?","你爸爸的名字是什麼?","https://web.klokah.tw/text/sound/27252/449464.mp3"
"Inak tama tu ngan hai tupaun tu Talum."," My dad's name is Dalum.","我爸爸的名字是Talum。","https://web.klokah.tw/text/sound/27252/449465.mp3"
"Sima saia?"," Who is he?","他是誰?","https://web.klokah.tw/text/sound/27252/449466.mp3"
"Saia hai Vilian.","He's Vilian.","他是Vilian。","https://web.klokah.tw/text/sound/27252/466959.mp3"
"Saia hai inaktu tuhasnanaz. Tupaun saia tu Anu.","He is my brother, his name is Anu.","他是我的哥哥，他叫Anu。","https://web.klokah.tw/text/sound/27252/449467.mp3"
"Tukun saicia ngan?"," What's his name?","他的名字是什麼?","https://web.klokah.tw/text/sound/27252/449468.mp3"
"Isaicia ngan hai tupaun tu Alang."," His name is Alang.","他的名字是Alang。","https://web.klokah.tw/text/sound/27252/449469.mp3"
"Adu tupaun saia tu Alang?"," Is his name Alang?","他的名字是Alang嗎?","https://web.klokah.tw/text/sound/27252/449470.mp3"
"Ung saia hai Alang.","Yes, his name is Alang.","是，他的名字是Alang。","https://web.klokah.tw/text/sound/27252/449471.mp3"
"Adu isaicia ngan hai Umas?"," Is his name Umas?","他的名字是Umas嗎?","https://web.klokah.tw/text/sound/27252/449472.mp3"
"Ni isaicia ngan hai Alang.","No, his name is Alang.","不是，他的名字是Alang。","https://web.klokah.tw/text/sound/27252/466960.mp3"
"Simaa’s bununa?"," Who is that guy?","那個人是誰?","https://web.klokah.tw/text/sound/27252/449473.mp3"
"Aping saia inaktu pancinaun."," She's Aping. she's my aunt.","她是Aping。她是我的阿姨。","https://web.klokah.tw/text/sound/27252/449474.mp3"
"Simaa’s bununa?"," Who is that guy?","那個人是誰?","https://web.klokah.tw/text/sound/27252/449475.mp3"
"Saia hai inaktu kaviaz, tupaun saia tu Ali.","She is my friend, her name is Ali. *[Imoy] Please change the names of women of all races.","她是我的朋友，她的名字是Ali。","https://web.klokah.tw/text/sound/27252/449476.mp3"
"Punpin su hamisan?"," How old are you?","你今年幾歲?","https://web.klokah.tw/text/sound/27252/449477.mp3"
"Punmasanin inak hamisan."," I am 10 years old.","我今年10歲。","https://web.klokah.tw/text/sound/27252/449478.mp3"
"Pin saicia aip hamisan?"," How old is he?","他今年幾歲?","https://web.klokah.tw/text/sound/27252/449479.mp3"
"Pun masa’n han dusa in saicia hamisan."," He is 12 years old.","他今年12歲。","https://web.klokah.tw/text/sound/27252/449480.mp3"
"Punpin su tama aip hamisan?"," How old is your father?","你爸爸今年幾歲?","https://web.klokah.tw/text/sound/27252/449481.mp3"
"Inak tama hai punmaimaunin aip hamisan."," My father is 50 years old.","我爸爸今年50歲。","https://web.klokah.tw/text/sound/27252/449482.mp3"
"Papia kamu tastulumah tai-sisa’n?"," How many brothers and sisters do you have?","你有幾個兄弟姊妹?","https://web.klokah.tw/text/sound/27252/449483.mp3"
"Aiza inak dusa tuhas nanaz pingaz, tasa naubapingaz."," I have two brothers and sisters and one younger brother and sister.","我有兩個兄姐，一個弟妹。","https://web.klokah.tw/text/sound/27252/449484.mp3"
"Adu aizanas tuhas nanaz?"," Do you have a brother?","你有哥哥嗎?","https://web.klokah.tw/text/sound/27252/449485.mp3"
"Ukan saikin tuhas nanaz."," I don't have a brother.","我沒有哥哥。","https://web.klokah.tw/text/sound/27252/449486.mp3"
"Papia kamu bunun tastu lumah?"," How many people are in your family?","你們家有幾個人?","https://web.klokah.tw/text/sound/27252/449487.mp3"
"Aizan kaimin tastulumah pad bunun."," There are four of us in our family.","我們家有4個人。","https://web.klokah.tw/text/sound/27252/449488.mp3"
