"djvadjavay a mapuljat, patagilj anga itjen a kitulu.","Hello everyone. Let’s start the lesson.","大家好。我們開始上課了。","https://web.klokah.tw/text/sound/27263/449826.mp3"
"pai gacalji a mapuljat paka kicungali.","","請起立!敬禮!","https://web.klokah.tw/text/sound/27263/449827.mp3"
"djavadjavay sinsi."," Hello.","老師好。","https://web.klokah.tw/text/sound/27263/449828.mp3"
"qiladju."," Please sit down.","請坐下。","https://web.klokah.tw/text/sound/27263/449829.mp3"
"djavadjavay a mapuljat, tucu uri temulu ti sinsi ta nakakanen a pinaiwanan.","Hello everyone. Today I am going to teach you how to say food in Paiwanese.","大家好。今天老師要教大家食物的東排灣語怎麼說。","https://web.klokah.tw/text/sound/27263/480594.mp3"
"nasepualang anga sun tu anemamaya ti sinsi?"," Do you understand what the teacher says?","你聽得懂老師的話嗎?","https://web.klokah.tw/text/sound/27263/449831.mp3"
"sinsi maqati sun a mumalj a puita, ini anan aken nasepualan."," I don’t understand. Can you repeat it again?","老師，我不懂。可以再說一次嗎?","https://web.klokah.tw/text/sound/27263/449832.mp3"
"pacunu a pasa maza! kaciuri a kisupu.","Look here, please! Repeat after me.","請看這裡! 跟著我唸一遍。","https://web.klokah.tw/text/sound/27263/449834.mp3"
"bulay angata a su kinisupuan.","It’s very well read.","唸得很好。","https://web.klokah.tw/text/sound/27263/449835.mp3"
"mumalju anan a puita, sa papezangalu nukisupu sun.","Read it again. Please speak louder.","再唸一次。請大聲一點。","https://web.klokah.tw/text/sound/27263/449836.mp3"
"maliceng maya kiljavaran.","Please be quiet. Don’t talk.","請安靜。不要說話。","https://web.klokah.tw/text/sound/27263/480595.mp3"
"alapu a su sapitj."," Please take out your textbook.","請把課本拿出來。","https://web.klokah.tw/text/sound/27263/449838.mp3"
"ui sinsi."," Yes, sir.","是的，老師。","https://web.klokah.tw/text/sound/27263/449839.mp3"
"sinsi, na maadjuq a ku inpic."," I forgot to bring my pen.","老師，我忘了帶筆。","https://web.klokah.tw/text/sound/27263/449841.mp3"
"alapu a su siquliqulip."," Please take out the eraser.","請把橡皮擦拿出來。","https://web.klokah.tw/text/sound/27263/449842.mp3"
"sinsi na maadjuq a ku siquliqulip."," I forgot to bring my eraser.","老師，我忘了帶橡皮擦。","https://web.klokah.tw/text/sound/27263/449843.mp3"
