"Embiyax namu kana? prajing ta da!","Hello everyone. Here we go.","大家好。我們開始了。","https://web.klokah.tw/text/sound/27383/453746.mp3"
"Hiyug! thmuku!"," Please stand up! Salute!","請起立! 敬禮!","https://web.klokah.tw/text/sound/27383/453747.mp3"
"Embiyax su, mtgsa!"," Hello.","老師好。","https://web.klokah.tw/text/sound/27383/453748.mp3"
"Tluung!"," Please sit down.","請坐下。","https://web.klokah.tw/text/sound/27383/453749.mp3"
"Embiyax namu kana? emptgsa ku quri uqun Truku ka sayang."," Hello everyone. Today I am going to teach you how to say food in Telugu.","大家好。今天老師要教大家食物的太魯閣語怎麼說。","https://web.klokah.tw/text/sound/27383/453750.mp3"
"Mkla su qmbahang ka kari mu hug?"," Do you understand what the teacher says?","你聽得懂老師的話嗎?","https://web.klokah.tw/text/sound/27383/453751.mp3"
"Mtgsa,ini ku kla.rngaw pxal duri hug?"," I don’t understand. Can you repeat it again?","老師，我不懂。可以再說一次嗎?","https://web.klokah.tw/text/sound/27383/453752.mp3"
"Ini ku qbahang, paru hari hnang su rmngaw hug?"," I can’t hear you, can you speak louder?","我聽不到，可以大聲一點嗎?","https://web.klokah.tw/text/sound/27383/453753.mp3"
"Qita hini,purug knan spug pxal.","Look here, please! Repeat after me.","請看這裡! 跟著我唸一遍。","https://web.klokah.tw/text/sound/27383/453754.mp3"
"Malu bi ka snpgan su.","It’s very well read.","唸得很好。","https://web.klokah.tw/text/sound/27383/453755.mp3"
"Spug pxal duri.paru hari hnang su.","Read it again. Please speak louder.","再唸一次。請大聲一點。","https://web.klokah.tw/text/sound/27383/453756.mp3"
"Kmlux hug? iya squwaq.","Please be quiet. Don’t talk.","請安靜。不要說話。","https://web.klokah.tw/text/sound/27383/453757.mp3"
"Angal patas namu hug?"," Please take out your textbook.","請把課本拿出來。","https://web.klokah.tw/text/sound/27383/453758.mp3"
"Iq wah! mtgsa."," Yes, sir.","是的，老師。","https://web.klokah.tw/text/sound/27383/453759.mp3"
"Angal ppatas namu."," Please take out your pen.","請把筆拿出來。","https://web.klokah.tw/text/sound/27383/453760.mp3"
"Mtgsa, smhungi ku madas ppatas da."," I forgot to bring my pen.","老師，我忘了帶筆。","https://web.klokah.tw/text/sound/27383/453761.mp3"
"Angal ssrus."," Please take out the eraser.","請把橡皮擦拿出來。","https://web.klokah.tw/text/sound/27383/453762.mp3"
"Mtgsa, smhungi ku madas ssrus da."," I forgot to bring my eraser.","老師，我忘了帶橡皮擦。","https://web.klokah.tw/text/sound/27383/453763.mp3"
"Siyuk kiyig mnseupu matas sunan ka ssrus."," Please borrow erasers from your classmates.","請跟旁邊同學借橡皮擦。","https://web.klokah.tw/text/sound/27383/453764.mp3"
"Siyuki ta ssrus su hug?"," Can I borrow your eraser?","借我橡皮擦好嗎?","https://web.klokah.tw/text/sound/27383/453765.mp3"
"Sangay ta da.","Class is over.","我們下課了。","https://web.klokah.tw/text/sound/27383/453766.mp3"
"Bitaq hini ka slhayan ta han,strung ta babaw sngayan duri.","Class dismissed, see you next week.","我們就上到這邊，下週再見。","https://web.klokah.tw/text/sound/27383/453767.mp3"
"Ima su ka isu hug?"," Who are you?","你是誰?","https://web.klokah.tw/text/sound/27384/453768.mp3"
"Yaku o Pawan.","","我是Pawan。","https://web.klokah.tw/text/sound/27384/453769.mp3"
"Ima su ka isu?"," Who are you?","你是誰?","https://web.klokah.tw/text/sound/27384/453770.mp3"
"Laqi ku Lbak ka yaku, Yudaw ka hangan mu."," I am the son of Lbak, and my name is Yudaw.","我是Lbak的兒子，我叫Yudaw。","https://web.klokah.tw/text/sound/27384/453771.mp3"
"Ima su ka isu hug?"," Who are you?","你是誰?","https://web.klokah.tw/text/sound/27384/453772.mp3"
"Laqi ku empatas Mowna ka yaku, Ubus ka hangan mu."," I am a student in Mowna, my name is Ubus.","我是Mowna的學生，我叫Ubus。","https://web.klokah.tw/text/sound/27384/453773.mp3"
"Ima ka hangan su?"," What’s your name?","你的名字是什麼?","https://web.klokah.tw/text/sound/27384/453774.mp3"
"Jiru ka hangan mu."," My name is Jiru.","我的名字是Jiru。","https://web.klokah.tw/text/sound/27384/453775.mp3"
"Ima hangan na ka tama su?"," What’s your father’s name?","你爸爸的名字是什麼?","https://web.klokah.tw/text/sound/27384/453776.mp3"
"Lowking ka hangan tama mu."," My father’s name is Lowking.","我爸爸的名字是Lowking。","https://web.klokah.tw/text/sound/27384/453777.mp3"
"Ima ka hiya hug?"," Who is he?","他是誰?","https://web.klokah.tw/text/sound/27384/453778.mp3"
"Wilang ka hiya.","He’s Wilang.","他是Wilang。","https://web.klokah.tw/text/sound/27384/466970.mp3"
"Qbsuran mu snaw ka hiya, Awi ka hangan na."," He is my brother, his name is Awi.","他是我的哥哥，他叫Awi。","https://web.klokah.tw/text/sound/27384/453779.mp3"
"Ima hangan na ka hiya?"," What’s his name?","他的名字是什麼?","https://web.klokah.tw/text/sound/27384/453780.mp3"
"Taing hangan na ka hiya."," His name is Taing.","他的名字是Taing。","https://web.klokah.tw/text/sound/27384/453781.mp3"
"Pawan ka hangan na hug?"," Is his name Pawan?","他的名字是Pawan嗎?","https://web.klokah.tw/text/sound/27384/453782.mp3"
"Kiya o, Pawan ka hangan na.."," Yes, his name is Pawan.","是，他的名字是Pawan。","https://web.klokah.tw/text/sound/27384/453783.mp3"
"Watan ka hangan na hug?"," Is his name Watan?","他的名字是Watan嗎?","https://web.klokah.tw/text/sound/27384/453784.mp3"
"Aji, Pisaw ka hangan na.","No, his name is Pisaw.","不是，他的名字是Pisaw。","https://web.klokah.tw/text/sound/27384/466971.mp3"
"Ima ka seejiq gaga?"," Who is that guy?","那個人是誰?","https://web.klokah.tw/text/sound/27384/453785.mp3"
"Ipay ka hiya. Kuyuh qbsuran bubu mu."," She’s Ipay. she’s my aunt.","她是Ipay。她是我的阿姨。","https://web.klokah.tw/text/sound/27384/453786.mp3"
"Ima ka seejiq gaga?"," Who is that guy?","那個人是誰?","https://web.klokah.tw/text/sound/27384/453787.mp3"
"Lupung mu ka hiya, Lituk ka hangan na."," She is my friend and her name is Lituk.","她是我的朋友，她的名字是Lituk。","https://web.klokah.tw/text/sound/27384/453788.mp3"
"Piya hngkwasan su ka hngkawas sayang?"," How old are you?","你今年幾歲?","https://web.klokah.tw/text/sound/27384/453789.mp3"
"Maxal hngkwasan mu ka yaku."," I am 10 years old.","我今年10歲。","https://web.klokah.tw/text/sound/27384/453790.mp3"
"Piya hngkwasan na sayang ka hiya?"," How old is he?","他今年幾歲?","https://web.klokah.tw/text/sound/27384/453791.mp3"
"Maxal dha hngkwasan na ka hiya."," He is 12 years old.","他今年12歲。","https://web.klokah.tw/text/sound/27384/453792.mp3"
"Piya hngkwasan na ka tama su?"," How old is your father?","你爸爸今年幾歲?","https://web.klokah.tw/text/sound/27384/453793.mp3"
"Mrimal hngkwasan na ka tama mu."," My father is 50 years old.","我爸爸今年50歲。","https://web.klokah.tw/text/sound/27384/453794.mp3"
"Piya mnswayi su ka isu?"," How many brothers and sisters do you have?","你有幾個兄弟姊妹?","https://web.klokah.tw/text/sound/27384/453795.mp3"
"Dha ka qbsuran mu ni kingal ka swayi mu."," I have two brothers and sisters and one younger brother and sister.","我有兩個兄姐，一個弟妹。","https://web.klokah.tw/text/sound/27384/453796.mp3"
"Niqan qbsuran su snaw ka isu hug?"," Do you have a brother?","你有哥哥嗎?","https://web.klokah.tw/text/sound/27384/453797.mp3"
"Ungat qbsuran mu snaw ka yaku."," I don’t have a brother.","我沒有哥哥。","https://web.klokah.tw/text/sound/27384/453798.mp3"
"Niqan piya hiyi ka sapah su?"," How many people are in your family?","你們家有幾個人?","https://web.klokah.tw/text/sound/27384/453799.mp3"
"Niqan spat hiyi ka ruwan sapah mu."," There are four of us in our family.","我們家有4個人。","https://web.klokah.tw/text/sound/27384/453800.mp3"
"Gaga su matas inu?"," Where did you study?","你在哪裡讀書?","https://web.klokah.tw/text/sound/27384/453801.mp3"
"Nii ku matas alang Skangki."," I studied in Hualien.","我在花蓮讀書。","https://web.klokah.tw/text/sound/27384/453802.mp3"
"Ima ka hiya?"," Who is he?","他是誰?","https://web.klokah.tw/text/sound/27385/453803.mp3"
"Snaw swayi tama mu ka hiya.","He is my uncle.","他是我的叔叔。","https://web.klokah.tw/text/sound/27385/453804.mp3"
"Manu qpahun na ka snaw qbsuran bubu su?"," What does your uncle do for a living?","你的舅舅從事什麼工作?","https://web.klokah.tw/text/sound/27385/453805.mp3"
"Knsat ka hiya."," He's a cop.","他是警察。","https://web.klokah.tw/text/sound/27385/453806.mp3"
"Ima ka seejiq gaga?"," Who is that guy?","那個人是誰?","https://web.klokah.tw/text/sound/27385/453807.mp3"
"Qbsuran mu kuyuh ka hiya."," She's my sister.","她是我的姊姊。","https://web.klokah.tw/text/sound/27385/453808.mp3"
"Niqan qpahun na ka qbsuran su kuyuh hug?"," Does your sister have a job?","你的姊姊有工作嗎?","https://web.klokah.tw/text/sound/27385/453809.mp3"
"Gaga qmpah sapah spuhan ka hiya."," She works in a hospital.","她在醫院上班。","https://web.klokah.tw/text/sound/27385/453810.mp3"
"Mnswayi ka dhiya hug?"," Are they brothers and sisters?","他們兩個人是兄弟姐妹嗎?","https://web.klokah.tw/text/sound/27385/453811.mp3"
"Uxay, lupung ka dhiya."," No, they are friends.","不是，他們是朋友。","https://web.klokah.tw/text/sound/27385/453812.mp3"
"Seejiq su Tmpusu ka isu hug?"," Are you Aboriginal?","你是原住民嗎?","https://web.klokah.tw/text/sound/27385/453813.mp3"
"Kiya o, Seejiq ku Truku ka yaku."," Yes, I'm from the Taroko tribe.","是，我是太魯閣族的。","https://web.klokah.tw/text/sound/27385/453814.mp3"
"Seejiq Tmpusu ka bais su hug?"," Is your spouse Aboriginal?","你的配偶是原住民嗎?","https://web.klokah.tw/text/sound/27385/453815.mp3"
"Iq o, kiya ni seejiq Sbnawan ka hiya."," Yes, but she's Amish.","是，但是她是阿美族的。","https://web.klokah.tw/text/sound/27385/453816.mp3"
"Takar bi ka tama su hug?"," Is your father very tall?","你的爸爸很高嗎?","https://web.klokah.tw/text/sound/27385/453817.mp3"
"Kiya, takar bi kana ka kingal ruwan sapah nami."," Yes, we are all very tall.","對，我們全家都很高。","https://web.klokah.tw/text/sound/27385/453818.mp3"
"Gaga matas ka swayi su kuyuh dhug?"," Does your sister go to school?","你的妹妹上學了嗎?","https://web.klokah.tw/text/sound/27385/453819.mp3"
"Kiya, gaga matas da."," Yes, she went to school.","是，她上學了。","https://web.klokah.tw/text/sound/27385/453820.mp3"
"Mkla rmngaw kari Truku ka swayi su hug?"," Do your siblings speak the language?","你的弟妹會說族語嗎?","https://web.klokah.tw/text/sound/27385/453821.mp3"
"Kiya o,mkla rmngaw kari Truku ka dhiya."," Yes, they speak the ethnic language.","是，他們會說族語。","https://web.klokah.tw/text/sound/27385/453822.mp3"
"Piya ka mnswayi su?"," How many brothers and sisters do you have?","你有幾個兄弟姐妹?","https://web.klokah.tw/text/sound/27385/453823.mp3"
"Niqan tru ka mnswayi mu."," I have three brothers and sisters.","我有三個兄弟姐妹。","https://web.klokah.tw/text/sound/27385/453824.mp3"
