"inabayan! mungesalra ta!","Hello everyone! Here we go.","大家好！我們開始了。","https://web.klokah.tw/text/sound/27443/455706.mp3"
"karetigir driya! sungal!"," Please stand up! Salute!","請起立! 敬禮!","https://web.klokah.tw/text/sound/27443/455707.mp3"
"sinsi, inabayan!"," Hello.","老師好。","https://web.klokah.tw/text/sound/27443/455708.mp3"
"katengadraw lra!"," Please sit down.","請坐下。","https://web.klokah.tw/text/sound/27443/455709.mp3"
"inabayan! garem i palaladam ku kanmu dra kemuda ta temarapuyuma marengay kana akanan."," Hello everyone. Today I am going to teach you how to say food in Puyuma.","大家好。今天老師要教大家食物的南王卑南語怎麼說。","https://web.klokah.tw/text/sound/27443/455710.mp3"
"malradram yu kilrengaw kananku nirengayan?"," Do you understand what the teacher says?","你聽得懂老師的話嗎?","https://web.klokah.tw/text/sound/27443/455711.mp3"
"sinsi, adri ku malradram. karuwa yu masalr marengay?"," I don’t understand. Can you repeat it again?","老師，我不懂。可以再說一次嗎?","https://web.klokah.tw/text/sound/27443/455712.mp3"
"adri ku kilrengaw. karuwa yu kematrina driya?"," I can’t hear you, can you speak louder?","我聽不到，可以大聲一點嗎?","https://web.klokah.tw/text/sound/27443/455713.mp3"
"nauwi driya kadri! kurenangi ku emaip pariyasalr.","Look here, please! Repeat after me.","請看這裡! 跟著我唸一遍。","https://web.klokah.tw/text/sound/27443/455714.mp3"
"inaba nu inaipan.","You read it very well.","你唸得很好。","https://web.klokah.tw/text/sound/27443/455715.mp3"
"asalr driya maip. katrinayu driya.","Read it again. Please speak louder.","再唸一次。請大聲一點。","https://web.klokah.tw/text/sound/27443/455716.mp3"
"sasamengan! adri rarengay.","Please be quiet. Don’t talk.","請安靜。不要說話。","https://web.klokah.tw/text/sound/27443/455717.mp3"
"pupatraranu driya na tilin."," Please take out your textbook.","請把課本拿出來。","https://web.klokah.tw/text/sound/27443/455718.mp3"
"sinsi, aiwa!"," Yes, sir.","是的，老師。","https://web.klokah.tw/text/sound/27443/455719.mp3"
"pupatraranu driya na tratruri."," Please take out your pen.","請把筆拿出來。","https://web.klokah.tw/text/sound/27443/455720.mp3"
"sinsi, abalu ku kemasu dra tratruri."," I forgot to bring my pen.","老師，我忘了帶筆。","https://web.klokah.tw/text/sound/27443/455721.mp3"
"pupatraranu driya na iyasaus."," Please take out the eraser.","請把橡皮擦拿出來。","https://web.klokah.tw/text/sound/27443/455722.mp3"
"sinsi, abalu ku kemasu dra iyasaus."," I forgot to bring my eraser.","老師，我忘了帶橡皮擦。","https://web.klokah.tw/text/sound/27443/455723.mp3"
"kibulas driya kan tu iyasaus kana risarisan i saninin."," Please borrow erasers from your classmates.","請跟旁邊同學借橡皮擦。","https://web.klokah.tw/text/sound/27443/455724.mp3"
"pabulasi ku driya dra iyasaus. maw?"," Can I borrow your eraser?","借我橡皮擦好嗎?","https://web.klokah.tw/text/sound/27443/455725.mp3"
"talaulep ta lra.","Class is over.","我們下課了。","https://web.klokah.tw/text/sound/27443/455726.mp3"
"ta palruwanay temakesi kadrini. marepanauwa ta driya an masalr liyusan.","Class dismissed, see you next week.","我們就上到這邊，下週再見。","https://web.klokah.tw/text/sound/27443/455727.mp3"
"imanay yu?"," Who are you?","你是誰?","https://web.klokah.tw/text/sound/27444/455728.mp3"
"i Uratr ku.","","我是Uratr。","https://web.klokah.tw/text/sound/27444/455729.mp3"
"imanay yu?"," Who are you?","你是誰?","https://web.klokah.tw/text/sound/27444/455730.mp3"
"tu walrak ku kan Maywan. i Sikaw ku ngalad."," I am the son of Maywan, my name is Sikaw.","我是Maywan的兒子，我叫Sikaw。","https://web.klokah.tw/text/sound/27444/455731.mp3"
"imanay yu?"," Who are you?","你是誰?","https://web.klokah.tw/text/sound/27444/455732.mp3"
"tu temakakesi ku kan Senayan. i Semalaw ku ngalad."," I am a student of Senayan, and my name is Semalaw.","我是Senayan的學生，我叫Semalaw。","https://web.klokah.tw/text/sound/27444/455733.mp3"
"i manay nu ngalad?"," What's your name?","你的名字是什麼?","https://web.klokah.tw/text/sound/27444/455734.mp3"
"i Masaw ku ngalad.","My name is Masaw.","我的名字是Masaw。","https://web.klokah.tw/text/sound/27444/455735.mp3"
"i manay tu ngalad kan temama?"," What's your father's name?","你爸爸的名字是什麼?","https://web.klokah.tw/text/sound/27444/455736.mp3"
"i Malray tu ngalad kan namalri."," My dad's name is Malray.","我爸爸的名字是Malray。","https://web.klokah.tw/text/sound/27444/455737.mp3"
"i manay taytaw?"," Who is he?","他是誰?","https://web.klokah.tw/text/sound/27444/455738.mp3"
"i Kumeng taytaw."," He's Kumeng.","他是Kumeng。","https://web.klokah.tw/text/sound/27444/466980.mp3"
"i baelri na mainayan taytaw. i Kumeng tu ngalad."," He's my brother, his name is Kumeng.","他是我的哥哥，他叫Kumeng。","https://web.klokah.tw/text/sound/27444/455739.mp3"
"i manay tu ngalad?"," What's his name?","他的名字是什麼?","https://web.klokah.tw/text/sound/27444/455740.mp3"
"i Kumeng tu ngalad."," His name is Kumeng.","他的名字是Kumeng。","https://web.klokah.tw/text/sound/27444/455741.mp3"
"i Malray tu ngalad?"," Is his name Malray?","他的名字是Malray嗎?","https://web.klokah.tw/text/sound/27444/455742.mp3"
"aiwa! i Malray tu ngalad."," Yes, his name is Malray.","是，他的名字是Malray。","https://web.klokah.tw/text/sound/27444/455743.mp3"
"i Malray tu ngalad?"," Is his name Malray?","他的名字是Malray嗎?","https://web.klokah.tw/text/sound/27444/455744.mp3"
"amelri, i Kumeng tu ngalad.","No, his name is Kumeng.","不是，他的名字是Kumeng。","https://web.klokah.tw/text/sound/27444/466981.mp3"
"i manay idriyu na trau?"," Who is that guy?","那個人是誰?","https://web.klokah.tw/text/sound/27444/455745.mp3"
"i Akunay taytaw. amau i mulri na babayan."," She's Akunay. she's my grandmother.","她是Akunay。她是我的祖母。","https://web.klokah.tw/text/sound/27444/455746.mp3"
