"’inavayan mapiya! putehaya ta lra.","Hello everyone. Here we go.","大家好。我們開始了。","https://web.klokah.tw/text/sound/27455/456098.mp3"
"alra katikeriz! sungal!"," Please stand up! Salute!","請起立! 敬禮!","https://web.klokah.tw/text/sound/27455/456099.mp3"
"’inavayan sinsi."," Hello.","老師好。","https://web.klokah.tw/text/sound/27455/456100.mp3"
"alra kayan."," Please sit down.","請坐下。","https://web.klokah.tw/text/sound/27455/456101.mp3"
"’inavayan mapiya! i sinsi harem mu uri panaanadam kanta na akanen nanta piningaiyan na pinuyumayan mu kemuda ta marengay.","Hello everyone. Today, I am going to teach you how to say the Pinuyumayan language for food.","大家好。今天老師要教大家食物的卑南語怎麼說。","https://web.klokah.tw/text/sound/27455/456102.mp3"
"sayhu u kinger za tu ngai ni sinsi?"," Do you understand what the teacher says?","你聽得懂老師的話嗎?","https://web.klokah.tw/text/sound/27455/456103.mp3"
"sinsi, ma’ulid ku. karuwa u ziya marengay parasan?"," I don’t understand. Can you repeat it again?","老師，我不懂。可以再說一次嗎?","https://web.klokah.tw/text/sound/27455/456104.mp3"
"’azi ku kinger, kararuwa u kematamuni?"," I can’t hear you, can you speak louder?","我聽不到，可以大聲一點嗎?","https://web.klokah.tw/text/sound/27455/456105.mp3"
"alra na’u kani! iturusi ku miyup parasan.","Look here, please! Repeat after me.","請看這裡! 跟著我唸一遍。","https://web.klokah.tw/text/sound/27455/456106.mp3"
"’inava nu iayup.","It’s very well read.","唸得很好。","https://web.klokah.tw/text/sound/27455/456107.mp3"
"asalru miyup parasan zi katamuniyu.","Read it again. Louder.","再唸一次。大聲一點。","https://web.klokah.tw/text/sound/27455/456108.mp3"
"alra parapengan. amanan na vuri’awan.","Please be quiet. Don’t talk.","請安靜。不要說話。","https://web.klokah.tw/text/sound/27455/456109.mp3"
"alra pupanayu nanmu valray."," Please take out your textbooks.","請把你們的課本拿出來。","https://web.klokah.tw/text/sound/27455/456110.mp3"
"ai, sinsi."," Yes, sir.","是的，老師。","https://web.klokah.tw/text/sound/27455/456111.mp3"
"alra pupanayu nanmu tratruli."," Please take out your pens.","請把你們的筆拿出來。","https://web.klokah.tw/text/sound/27455/456112.mp3"
"sinsi, malalup ku mada za tratruli."," I forgot to bring my pen.","老師，我忘了帶筆。","https://web.klokah.tw/text/sound/27455/456113.mp3"
"alra pupanayu nanmu aivas."," Please take out your erasers.","請把你們的橡皮擦拿出來。","https://web.klokah.tw/text/sound/27455/456114.mp3"
"sinsi, malalup ku mada za aivas."," I forgot to bring my eraser.","老師，我忘了帶橡皮擦。","https://web.klokah.tw/text/sound/27455/456115.mp3"
"alra kivulas kananu ’avalr za aivas."," Please borrow erasers from your classmates.","請跟旁邊同學借橡皮擦。","https://web.klokah.tw/text/sound/27455/456116.mp3"
"pavulasay ku za aivas mu?"," Can I borrow your eraser?","借我橡皮擦好嗎?","https://web.klokah.tw/text/sound/27455/456117.mp3"
"katalaulepan lra zi temalaulepa ta.","Let’s take a break after class.","下課了我們休息吧。","https://web.klokah.tw/text/sound/27455/456118.mp3"
"ta palruwanay kani, zi nu masalr na liyusan marepana’uwa ta lra.","Class dismissed, see you next week.","我們就上到這邊，下週再見。","https://web.klokah.tw/text/sound/27455/456119.mp3"
"i eman u?"," Who are you?","你是誰?","https://web.klokah.tw/text/sound/27456/456120.mp3"
"i Uyang ku.","","我是Uyang。","https://web.klokah.tw/text/sound/27456/456121.mp3"
"i eman u?"," Who are you?","你是誰?","https://web.klokah.tw/text/sound/27456/456122.mp3"
"tu alrak ku ni Arimek. i Malikaw ku."," I am the son of Alimek, and my name is Malikaw.","我是Alimek的兒子，我叫Malikaw。","https://web.klokah.tw/text/sound/27456/456123.mp3"
"i eman u?"," Who are you?","你是誰?","https://web.klokah.tw/text/sound/27456/456124.mp3"
"tu temakakesi ku ni Umang. i Adraw ku."," I am a student in Umang, my name is Adraw.","我是Umang的學生，我叫Adraw。","https://web.klokah.tw/text/sound/27456/456125.mp3"
"i eman nanu ngadan?"," What’s your name?","你的名字是什麼?","https://web.klokah.tw/text/sound/27456/456126.mp3"
"i Takasi aku ngadan."," My name is Takasi.","我的名字是Takasi。","https://web.klokah.tw/text/sound/27456/456127.mp3"
"i eman tu ngadan ni temama?"," What’s your father’s name?","你爸爸的名字是什麼?","https://web.klokah.tw/text/sound/27456/456128.mp3"
"i Pilang tu ngadan ni malri."," My father’s name is Pilang.","我爸爸的名字是Pilang。","https://web.klokah.tw/text/sound/27456/456129.mp3"
"i eman intaw?"," Who is he?","他是誰?","https://web.klokah.tw/text/sound/27456/456130.mp3"
"intaw mu maw i Uling.","He’s Uling.","他是Uling。","https://web.klokah.tw/text/sound/27456/466983.mp3"
"i intaw mu maw i valri, i Tanuvak tu ngadan."," He is my brother, and his name is Tanuvak.","他是我的哥哥，他的名字叫Tanuvak.","https://web.klokah.tw/text/sound/27456/456131.mp3"
"i intaw mu i eman tu ngadan?"," What’s his name?","他呢叫什麼名字?","https://web.klokah.tw/text/sound/27456/456132.mp3"
"tu ngadan mu maw i Ciming."," His name is Ciming.","他的名字是Ciming。","https://web.klokah.tw/text/sound/27456/456133.mp3"
"maw i Ciming tu ngadan?"," Is his name Ciming?","他的名字是Ciming嗎?","https://web.klokah.tw/text/sound/27456/456134.mp3"
"ai, i Ciming tu ngadan."," Yes, his name is Ciming.","是，他的名字是Ciming。","https://web.klokah.tw/text/sound/27456/456135.mp3"
"tu ngadan maw i Marikaw?"," Was his name Marikaw?","他的名字是Marikaw嗎?","https://web.klokah.tw/text/sound/27456/456136.mp3"
"melri, i Risem tu ngadan.","No, his name is Risem.","不是，他的名字是Risem。","https://web.klokah.tw/text/sound/27456/466984.mp3"
"i eman iziyu na trau?"," Who is that guy?","那個人是誰?","https://web.klokah.tw/text/sound/27456/456137.mp3"
"aina ku kanintaw, na maralrak kani nani. i Panay tu ngadan."," She’s Panay. she’s my aunt.","她是Panay。她是我的阿姨。","https://web.klokah.tw/text/sound/27456/456138.mp3"
"i eman iziyu na trau?"," Who is that guy?","那個人是誰?","https://web.klokah.tw/text/sound/27456/456139.mp3"
"intaw mu maw i ngidalri, i Imay tu ngadan."," She is my friend, her name is Imay.","她是我的朋友，她的名字是Imay。","https://web.klokah.tw/text/sound/27456/456140.mp3"
"pidaya nu ’ami harem?"," How old are you?","你今年幾歲?","https://web.klokah.tw/text/sound/27456/456141.mp3"
