"kokey kamo, papoen tana.","Hello everyone. Here we go.","大家好。我們開始了。","https://web.klokah.tw/text/sound/27491/457274.mp3"
"tanek kamo!"," Please stand up! Salute!","請起立! 敬禮!","https://web.klokah.tw/text/sound/27491/457275.mp3"
"akokey a sinsi namen."," Hello.","老師好。","https://web.klokah.tw/text/sound/27491/457276.mp3"
"lisna kamo."," Please sit down.","請坐下。","https://web.klokah.tw/text/sound/27491/457277.mp3"
"akokey kamo, o ko ipanci sicyarow ya ciriciring no tao am, kanekanen."," Hello everyone. Today I’m going to teach you how to say food in Tao.","大家好。今天老師要教大家食物的達悟語怎麼說。","https://web.klokah.tw/text/sound/27491/457278.mp3"
"mo katenngan ko ipanci?"," Do you understand what I’m saying?","你聽得懂我的話嗎?","https://web.klokah.tw/text/sound/27491/457279.mp3"
"ko jiatenngi, apya ipisa mo pa ipanci?"," I don’t understand. Can you repeat it?","我不懂。可以再說一次嗎?","https://web.klokah.tw/text/sound/27491/457280.mp3"
"makaciak ka, ta ko jia mizing?"," I can’t hear you, can you speak louder?","我聽不到，可以大聲一點嗎?","https://web.klokah.tw/text/sound/27491/457281.mp3"
"cita do jia! tobwohen mo o ciring ko.","Look here, please! Repeat after me.","請看這裡! 跟著我唸一遍。","https://web.klokah.tw/text/sound/27491/457282.mp3"
"yapiya mo nivilangan.","It’s very well read.","唸得很好。","https://web.klokah.tw/text/sound/27491/457283.mp3"
"ipisa pa,makaciak ka.","Read it again. Please speak louder.","再唸一次。請大聲一點。","https://web.klokah.tw/text/sound/27491/457284.mp3"
"ji kamo manilo.","Please be quiet. Don’t talk.","請安靜。不要說話。","https://web.klokah.tw/text/sound/27491/457285.mp3"
"ahap o vakong mo."," Please take out your textbook.","請把課本拿出來。","https://web.klokah.tw/text/sound/27491/457286.mp3"
"noon apen ko."," Yes.","是的。","https://web.klokah.tw/text/sound/27491/457287.mp3"
"ahap o ipeyvatvatek mo."," Please take out your pen.","請把筆拿出來。","https://web.klokah.tw/text/sound/27491/457288.mp3"
"ko nikahamangan o ipeyvatvatek ko."," I forgot to bring my pen.","我忘了帶筆。","https://web.klokah.tw/text/sound/27491/457289.mp3"
"ahapen mo o ipangongopas."," Please take out the eraser.","請把橡皮擦拿出來。","https://web.klokah.tw/text/sound/27491/457290.mp3"
"ko nikahamangan o ipangongopas ko."," I forgot to bring my eraser.","我忘了帶橡皮擦。","https://web.klokah.tw/text/sound/27491/457291.mp3"
"vood pa do katangked mo o ipangongopas na."," Please borrow erasers from your classmates.","請跟旁邊同學借橡皮擦。","https://web.klokah.tw/text/sound/27491/457292.mp3"
"vooden ko pa o ipangongopas mo an?"," Can I borrow your eraser?","借我橡皮擦好嗎?","https://web.klokah.tw/text/sound/27491/457293.mp3"
"meywalam tamo pa.","Class is over.","我們下課了。","https://web.klokah.tw/text/sound/27491/457294.mp3"
"maminda do jia o pacinanaoan niyo.","Class dismissed.","你們就上到這邊。","https://web.klokah.tw/text/sound/27491/457295.mp3"
"sino ka?"," Who are you?","你是誰?","https://web.klokah.tw/text/sound/27492/457296.mp3"
"Si Masarey ko.","","我是Si Masarey。","https://web.klokah.tw/text/sound/27492/457297.mp3"
"sino ka?"," Who are you?","你是誰?","https://web.klokah.tw/text/sound/27492/457298.mp3"
"yaken am, si Masarey ko, anak nyaman Somakey.","I am the son of syaman Somakey, my name is si Masarey.","我是syaman Somakey的兒子，我叫si Masarey。","https://web.klokah.tw/text/sound/27492/457299.mp3"
"sino ka?"," Who are you?","你是誰?","https://web.klokah.tw/text/sound/27492/457300.mp3"
"si Masarey ko, yamnanao jiyaken am, syaman Mateneng.","I am a student of syaman Matenen, my name is si Msarey.","我是syaman Matenen的學生，我叫si Msarey。","https://web.klokah.tw/text/sound/27492/457301.mp3"
"sino o ngaran mo?"," What’s your name?","你的名字是什麼?","https://web.klokah.tw/text/sound/27492/457302.mp3"
"O ngaran ko am, si Masarey.","My name is si Msarey.","我的名字是si Msarey。","https://web.klokah.tw/text/sound/27492/457303.mp3"
"sino ngaran ni ama mo?"," What’s your father’s name?","你爸爸的名字是什麼?","https://web.klokah.tw/text/sound/27492/457304.mp3"
"ngaran ni ama am, syaman Somakey."," My father’s name is Syaman somakey.","我爸爸的名字是Syaman somakey.","https://web.klokah.tw/text/sound/27492/457305.mp3"
"sino ito?"," Who is he?","他是誰?","https://web.klokah.tw/text/sound/27492/457306.mp3"
"si Matopos."," He was si Matopo.","他是si Matopo。","https://web.klokah.tw/text/sound/27492/466992.mp3"
"si kaka ko ori. si Matopos."," He’s my brother, his name is si Matopo.","他是我的哥哥，他叫si Matopos。","https://web.klokah.tw/text/sound/27492/457307.mp3"
"sino o ngaran na?"," What’s his name?","他的名字是什麼?","https://web.klokah.tw/text/sound/27492/457308.mp3"
"o ngaran na am, si Matopos."," His name is si Matopo.","他的名字是si Matopos。","https://web.klokah.tw/text/sound/27492/457309.mp3"
"o ngaran na am, si Monot?"," His name is, si Manaik.","他的名字是, si Monot嗎?","https://web.klokah.tw/text/sound/27492/457310.mp3"
"nonan, ngaran na si Manaik."," Yes, his name is si Manaik.","是，他的名字是 si Manaik。","https://web.klokah.tw/text/sound/27492/457311.mp3"
