"mahica tu. malingatu tu kita.","Hello everyone. Here we go.","大家好。我們開始了。","https://web.klokah.tw/text/sound/27503/457666.mp3"
"na tizenga! mibaung!"," Please stand up! Salute!","請起立! 敬禮!","https://web.klokah.tw/text/sound/27503/457667.mp3"
"saydan mahica tu."," Hello.","老師好。","https://web.klokah.tw/text/sound/27503/457668.mp3"
"na enenga."," Please sit down.","請坐下。","https://web.klokah.tw/text/sound/27503/457669.mp3"
"mahica tu. ayza a demiad pasubana’ ku saydan titaan tu kakanan hicahan nu Sakizaya musakamu."," Hello everyone. Today I am going to teach you how to speak Sechlaiah for food.","大家好。今天老師要教大家食物的撒奇萊雅語怎麼說。","https://web.klokah.tw/text/sound/27503/457670.mp3"
"matineng mitengil tu kamu nu saydan kisu?"," Do you understand what the teacher says?","你聽得懂老師的話嗎?","https://web.klokah.tw/text/sound/27503/457671.mp3"
"saydan, caay katineng mitengil kaku. taneng muliyaw aca musakamu?"," I don’t understand. Can you repeat it again?","老師，我不懂。可以再說一次嗎?","https://web.klokah.tw/text/sound/27503/457672.mp3"
"caay pakatengil kaku, satabakien ku ngiha’?"," I can’t hear you, can you speak louder?","我聽不到，可以大聲一點嗎?","https://web.klokah.tw/text/sound/27503/457673.mp3"
"na azihen tini! kilulen ku nipiasip aku.","Look here, please! Repeat after me.","請看這裡! 跟著我唸一遍。","https://web.klokah.tw/text/sound/27503/457674.mp3"
"kapah ku nipiasip.","It’s very well read.","唸得很好。","https://web.klokah.tw/text/sound/27503/457675.mp3"
"muliyaw aca. satabakien ku ngiha’.","Read it again. Please speak louder.","再唸一次。請大聲一點。","https://web.klokah.tw/text/sound/27503/457676.mp3"
"satezep han. amana pisakamu.","Please be quiet. Don’t talk.","請安靜。不要說話。","https://web.klokah.tw/text/sound/27503/457677.mp3"
"patahkalen ku cudad."," Please take out your textbook.","請把課本拿出來。","https://web.klokah.tw/text/sound/27503/457678.mp3"
"hang, saydan."," Yes, sir.","是的，老師。","https://web.klokah.tw/text/sound/27503/457679.mp3"
"patahkalen ku sapisulit."," Please take out your pen.","請把筆拿出來。","https://web.klokah.tw/text/sound/27503/457680.mp3"
"saydan, katawalan aku miala ku sapisulit."," I forgot to bring my pen.","老師，我忘了帶筆。","https://web.klokah.tw/text/sound/27503/457681.mp3"
"patahkalen ku sabulic."," Please take out the eraser.","請把橡皮擦拿出來。","https://web.klokah.tw/text/sound/27503/457682.mp3"
"saydan, makatawal aku miala ku sabulic."," I forgot to bring my eraser.","老師，我忘了帶橡皮擦。","https://web.klokah.tw/text/sound/27503/457683.mp3"
"caliwen ku i tepalay a kaput tu sabulic."," Please borrow erasers from your classmates.","請跟旁邊同學借橡皮擦。","https://web.klokah.tw/text/sound/27503/457684.mp3"
"pacaliwen kaku tu sabulic kapah haw?"," Can I borrow your eraser?","借我橡皮擦好嗎?","https://web.klokah.tw/text/sound/27503/457685.mp3"
"mihibang tu kita.","Class is over.","我們下課了。","https://web.klokah.tw/text/sound/27503/457686.mp3"
"hayni tu kita, ayaw tu a lipay masasuazih.","Class dismissed, see you next week.","我們就上到這邊，下週再見。","https://web.klokah.tw/text/sound/27503/457687.mp3"
"cima kisu?"," Who are you?","你是誰?","https://web.klokah.tw/text/sound/27504/457688.mp3"
"ci Kumud kaku.","","我是Kumud。","https://web.klokah.tw/text/sound/27504/457689.mp3"
"cima kisu?"," Who are you?","你是誰?","https://web.klokah.tw/text/sound/27504/457690.mp3"
"u wawa ni Mayaw kaku ci Bukah kaku."," I am the son of Mayaw, and my name is Bukah.","我是Mayaw的兒子，我叫Bukah。","https://web.klokah.tw/text/sound/27504/457691.mp3"
"cima kisu?"," Who are you?","你是誰?","https://web.klokah.tw/text/sound/27504/457692.mp3"
"u micudaday ni Kasuy kaku, ci Bukah ku ngangan aku.","I am a student in Kasuy, my name is Bukah.","我是Kasuy的學生，我叫Bukah。","https://web.klokah.tw/text/sound/27504/457693.mp3"
"cima ku ngangan nu misu?"," What’s your name?","你的名字是什麼?","https://web.klokah.tw/text/sound/27504/457694.mp3"
"ci Angaw ku ngangan aku."," My name is Angaw.","我的名字是Angaw。","https://web.klokah.tw/text/sound/27504/457695.mp3"
"cima ku ngangan ni ama isu?"," What’s your father’s name?","你爸爸的名字是什麼?","https://web.klokah.tw/text/sound/27504/457696.mp3"
"ci Namuh ku ngangan ni ama aku.","My father’s name is Namuh.","我爸爸的名字是Namuh。","https://web.klokah.tw/text/sound/27504/457697.mp3"
"cima ci niza?"," Who is he?","他是誰?","https://web.klokah.tw/text/sound/27504/457698.mp3"
"ci Mayaw ciniza.","He’s mayaw.","他是Mayaw。","https://web.klokah.tw/text/sound/27504/466932.mp3"
"u kaka aku ciniza ci Bakah ku ngangan niza."," He’s my brother, his name is Bakah.","他是我的哥哥，他叫Bakah。","https://web.klokah.tw/text/sound/27504/457699.mp3"
"cima ku ngangan niza?"," What’s his name?","他的名字是什麼?","https://web.klokah.tw/text/sound/27504/457700.mp3"
"ci Ba’tu ku ngangan niza."," His name is Ba’tu.","他的名字是Ba’tu。","https://web.klokah.tw/text/sound/27504/457701.mp3"
"ci Kumud ku ngangan niza haw?"," Is his name Kumud?","他的名字是Kumud嗎?","https://web.klokah.tw/text/sound/27504/457702.mp3"
"hang, ci Kumud ku ngangan niza."," Yes, his name is Kumud.","是，他的名字是Kumud。","https://web.klokah.tw/text/sound/27504/457703.mp3"
"ci Mayaw ku ngangan niza haw?"," Is his name Mayaw?","他的名字是Mayaw嗎?","https://web.klokah.tw/text/sound/27504/457704.mp3"
"cayay, ci Kulas ku ngangan niza.","No, his name is Kulas.","不是，他的名字是Kulas。","https://web.klokah.tw/text/sound/27504/466933.mp3"
"cima kuyza a tademaw?"," Who is that guy?","那個人是誰?","https://web.klokah.tw/text/sound/27504/457705.mp3"
"ci Tipis ciniza. u bai aku ciniza."," She’s Tipis. she’s my aunt.","她是Tipis。她是我的阿姨。","https://web.klokah.tw/text/sound/27504/457706.mp3"
"cima kuyza a tademaw?"," Who is that guy?","那個人是誰?","https://web.klokah.tw/text/sound/27504/457707.mp3"
"u cabay aku ci niza, ci Siku ku ngangan niza."," She is my friend and her name is Siku.","她是我的朋友，她的名字是Siku。","https://web.klokah.tw/text/sound/27504/457708.mp3"
"pina ku mihcaan isu?"," How old are you?","你今年幾歲?","https://web.klokah.tw/text/sound/27504/473026.mp3"
"cacay a bataan ku mihcaan aku ayza."," I am 10 years old.","我今年10歲。","https://web.klokah.tw/text/sound/27504/457710.mp3"
"pina ku mihcaan niza ayza."," How old is he?","他今年幾歲?","https://web.klokah.tw/text/sound/27504/457711.mp3"
"sabaw tusa ku mihcaan niza ayza."," He is 12 years old.","他今年12歲。","https://web.klokah.tw/text/sound/27504/457712.mp3"
"pina ku mihcaan ni ama isu ayza."," How old is your father?","你爸爸今年幾歲?","https://web.klokah.tw/text/sound/27504/457713.mp3"
"lima a bataan ku mihcaan ni ama aku ayza."," My father is 50 years old.","我爸爸今年50歲。","https://web.klokah.tw/text/sound/27504/457714.mp3"
"papina ku calkakaan isu ?"," How many brothers and sisters do you have?","你有幾個兄弟姊妹?","https://web.klokah.tw/text/sound/27504/457715.mp3"
"tatusa ku calakakaan aku, cacay ku sabama sabana."," I have two brothers and sisters and one younger brother and sister.","我有兩個兄姐，一個弟妹。","https://web.klokah.tw/text/sound/27504/457716.mp3"
