"a sinipapungadan tu “paiwan” a caucau nuaya,","「排灣族」的名稱是經過人類學家的研究而定。","https://web.klokah.tw/text/sound/25127/416578.mp3"
"mavan azua sinikingkingkiu tua maretimalji a caucau a mareka hakasi a napenetj, seljudjen anga a na tjaivilivililj.","是一個排灣部落名稱（屏東縣瑪家鄉排灣村）。","https://web.klokah.tw/text/sound/25127/416584.mp3"
"qau “paiwan” ayain anga tjen a kemasizua. sikamasan musalj a kinatjuruvu ta caucau na sekacalisian tucu.","排灣族是原住民族十六族中之第二大族，","https://web.klokah.tw/text/sound/25127/416585.mp3"
"a kinaizuavan nua paiwan a caucau i pasa tjalja navanavaljan ta taiwan.","分佈於台灣南端。","https://web.klokah.tw/text/sound/25127/416586.mp3"
"venecekadan ta kavulungan a gadu, izua pasa kacedas, izua za napasa kaledep.","以大武山為其發源地，並散佈於東、西兩地區：","https://web.klokah.tw/text/sound/25127/416587.mp3"
"i pasa kacedas a paiwan izua matjalimalj a kinaizuanan, i pasa kaledep izua alu a kinaizuanan.","即為現在所稱之「東排灣」與「西排灣」。","https://web.klokah.tw/text/sound/25127/416588.mp3"
"a pinaljavakan nua sekacedas a paiwan a qinaljan, kemasi vililj i valangaw, tjalju aljungic, tjara na maka ljaveljavek.","以現行行政轄區是分佈在屏東縣（瑪家、山地、泰武、來義、春日、獅子、牡丹及滿州）及台東縣（達仁、大武、大麻里、金峰及台東市）兩縣。","https://web.klokah.tw/text/sound/25127/416589.mp3"
"qau izua uta na kemasi kaledep a sema kacedas.","","https://web.klokah.tw/text/sound/25127/416590.mp3"
"timitja a sekacedas a paiwan, pinapungadanan ta “sepaqaluqalu” ayatua savid a namaka lizulizuk a paiwan,","","https://web.klokah.tw/text/sound/25127/416591.mp3"
"mayanga nasetevelj tua tjuruvu maljiya caucauan, sa nasepataud ta na sepuyuma katua na muqami a kakudanan, avan tu sikamaretemalji tua kakudanan i kaledep a sepaiwan.","","https://web.klokah.tw/text/sound/25127/419555.mp3"
"saka nu tja paquliden a pacun izua za pinenetjan angata a kemasicuayan, a pinaka maretimalji a sinikapangaljan tjanuitjen a paiwan, izua za namasan tjalja kudrakudralan qapulu, pinakata “ravar” katua “vuculj”.","傳統族群即有vuculj、ravar。","https://web.klokah.tw/text/sound/25127/416593.mp3"
"qau, a “i vuculj a paiwan” na maqarut anan tu masan liaw a kinaizuanan, izua “paumaumaq, pavuavuaq, tjakuvukuvulj, sabdiq, paqaluqalu, paliljaliljaw……”.","vuculj又有二支系paumaumaq與pavuavuaq。另外又有屬tjakuvukuvulj，sabdik，paqaluqalu，paliljaliljaw。","https://web.klokah.tw/text/sound/25127/416594.mp3"
"saka tucu, pakiciyurenanga tua sisekingan a sengesengan, mavadavaday anga tu masan sepatj a kinaizuanan a sepaiwan, i viri, i navalj, i vecekadan, i kacedas.","如今，為因應族語認證考試，分為四區（北、中、南、東）四種方言別。","https://web.klokah.tw/text/sound/25127/416595.mp3"
"kumalji a namakuda a kinamaretimaljian a kinaizuanan na paiwan, izua za ini a namapavalit sa kinamamavan a kakudanan, mavan a zua pakata “vusam katua mamazangiljan”.","兩地區之文化形式與社會制度相似，有清楚的貴族與平民社會階級，遵循著長嗣繼承的制度，","https://web.klokah.tw/text/sound/25127/416596.mp3"
"avan a sinipukeljang tu kapaiwanan.","這是排灣族最為明顯的特徵。","https://web.klokah.tw/text/sound/25127/416597.mp3"
"qau a i kacedas a sepaiwan nuaya, mavan aicu a i paqaluqalu a sepaiwan, a i maza i pasa valangaw.","然而東部排灣族是我們所謂的paqaluqalu群，","https://web.klokah.tw/text/sound/25127/416598.mp3"
"izua za namaretemalji a pagalju ta sekaledep a paiwan, nasetevelj ta muqami, puyuma katua namapulju a sedrekai.","有受到卑南族、阿美族與些許魯凱族文化的影響。","https://web.klokah.tw/text/sound/25127/416599.mp3"
"sa liaw a namaka ljaveljavek a qinaljan, ljakua kumalji kemuda nuaya, mamamamau a kai katua kakudanan, sinika namasalu tu tadjalanan angata men katua i kaledap a sepaiwan.","但儘管是如此，並不影響我們與西部排灣族之間的關係，也因著語言與文化相同，我們都是同宗的排灣族。","https://web.klokah.tw/text/sound/25127/416600.mp3"
