"mayatucu a qivu aicu a yipasaviri a sepaiwuan, tjiamen tjaivilivililj amen na kamavanan aya.","北排灣族人向來自稱是百步蛇的後代，","https://web.klokah.tw/text/sound/25641/424016.mp3"
"pai tjapacunai aicu a kinavadavadayan kata pinakisumaljian nua yipasaviri a sepaiwuan.","讓我們來了解一下北排灣族這個民族的分群與特色。","https://web.klokah.tw/text/sound/25641/424017.mp3"
"aicu a sepaiwan izua masanmusalj a pangaljan, mavan a sedravar kata sevuculj.","排灣族分為兩個支群：即「拉瓦爾亞族」和「布曹爾亞族」。","https://web.klokah.tw/text/sound/25641/424018.mp3"
"a sedravar virivirian a kinaizuanan, izua setjailjaking, sagaran, cavak, djaljadjaljai, tjukuvulj, parirayan.","「拉瓦爾亞族」居住在排灣族最北端，主要村落在屏東縣三地門鄉的賽嘉、口社、安坡、青山、德文、大社、三地等村。","https://web.klokah.tw/text/sound/25641/424019.mp3"
"a mareka qinaljan na sevuculj izua matjasepatj a pangaljan, paumaumaq, caupupulj, paljizaljizaw, paqaluqalu; mavan a seviry, senavalj, sekacedas, sekaledep.","「布曹爾亞族」可分為四個支群：巴武馬群、查敖保爾群、拍利達利達敖群、巴卡羅群，這四個支群就是今天我們稱的北排灣、中排灣、南排灣和東部排灣。","https://web.klokah.tw/text/sound/25641/424020.mp3"
"aicu a seviry a paumaumaq azua qinaljan pasamaza yi tjimur yi pasanavalj, kata yi pinuimakazayazayan, pinuikulaljucan.","北排灣屬巴武馬群，主要村落在屏東縣三地門鄉、瑪家鄉、泰武鄉。","https://web.klokah.tw/text/sound/25641/424021.mp3"
"aicu a sedravar katua sepaumaumaq mamav a seviry, ljakua izua sika maretimaljian niamadju,","拉瓦爾群與巴武馬群雖然同屬北部排灣，但是他們的文化及風俗習慣卻有一些不同之處，","https://web.klokah.tw/text/sound/25641/424022.mp3"
"nuqivu aicu a sedravar kemasi davalan a nia sevalitan aya, au aicu a sepaumaumaq nuqivu,","如拉瓦爾群的人稱其祖先是來自達瓦蘭，即口社溪南大山溪麓海拔約八百公尺之大社村。","https://web.klokah.tw/text/sound/25641/424023.mp3"
"kemasi kavulungan a niasevalitan aya, izua kemasi padayin aya uta.","而巴武馬群則有的稱祖先來自大武山，也有的稱巴達因是排灣族的起源地，是神明居住的地方，更是排灣族的聖地。","https://web.klokah.tw/text/sound/25641/424024.mp3"
"azua tjaljakudradran a sika maretimaljian na sedravar katua sevuculj, neka nu palisi ta maljeveq na sedravar, kata pitjumaq tua uqaljai a semanvusam a sedravar;","而拉瓦爾群與巴武馬群最大不同點，是拉瓦爾群不舉行五年祭，","https://web.klokah.tw/text/sound/25641/424025.mp3"
"au a sevuculj kana sangasangasan a aljak, yikapu uqaljai yikapu vavayan masanvusam sakamaya qemiladj yi tjumaq.","還有拉瓦爾群行長男繼承，而布曹爾群都行長嗣繼承，不分男不分女，只要是首胎就是家業的繼承人。","https://web.klokah.tw/text/sound/25641/424026.mp3"
"aicu a kacalisiyan imaza yi taivang, izua mantapuluq katu unem a zukuan, namavadavadai/nasepulingetj yimaza yi taivang.","台灣原住民族共有十六族，分散在台灣各地，","https://web.klokah.tw/text/sound/25643/424055.mp3"
"a paiwanzuku tjaljatjuruvuan a yi pinuiakavan a yitua matja alu a qinaljanan, aicu a matja alu a qinaljan, mavan a pinuitjimuran,","排灣族主要分布地區在中央山脈南段，北起武洛溪上游大姆姆山一帶，南到恆春半島，西起隘寮至枋寮一帶，東至太麻里以南地區；人口大多集中在屏東縣八個原住民鄉：三地門鄉、","https://web.klokah.tw/text/sound/25643/424056.mp3"
"pinuimakazayazayaan, pinuikulaljucan, pinuitjaljakavusan, pinuikasugaan, pinuitjuaqaciljayan, pinuisinvaudjanan, pinuimansiuan;","瑪家鄉、泰武鄉、來義鄉、春日鄉、獅子鄉、牡丹鄉、滿州鄉","https://web.klokah.tw/text/sound/25643/424057.mp3"
"kata yimaza yi taitu a pinuiansuan, pinuikaqaluan, pinuitaimalian, pinuikanarungan a matjasepatj a guan.","及台東縣達仁鄉、金峰鄉、太麻里鄉、大武鄉四個原住民鄉。","https://web.klokah.tw/text/sound/25643/424058.mp3"
