"iaku thuini pitu a tilhaz shaunasai lhupilhupishan a taun.","I arrived at school at seven today.","我今天七點到學校。","https://web.klokah.tw/text/sound/34573/538161.mp3"
"amalhupishiza, itiza sa fuifuilh patashan a shinshii munai, lhupilhupishan a shanautuan mzai, “ilhilhi! pashungkitaz!”","It’s time for class , the teacher walked into the classroom, and the monitor said: “Stand up! Salute!”","上課了，老師走進教室，班長說:「起立!敬禮!」","https://web.klokah.tw/text/sound/34573/538162.mp3"
"matunaw malhinuna iamin zain, “shinshii maqitan uhu.”","We said loudly, “Hi, teacher.”","我們大聲的說:「老師好。」","https://web.klokah.tw/text/sound/34573/538163.mp3"
"pinfazaq iamin shinshii tata tusha turu lhupishan a Thau a lalawa ya lhmupish patashan.","In class, the teacher taught us the Thau language of numbers.","上課的時候，老師教我們數字的族語。","https://web.klokah.tw/text/sound/34573/538164.mp3"
"muntal iamin fuifuilh patashan a shinshii malhinuna, maqaquyash iamin tata, tusha, turu lhupishan a quyash.","We followed the teacher to read, we sang the number song.","我們跟著老師唸，我們唱了數字歌。","https://web.klokah.tw/text/sound/34573/538165.mp3"
"mafazaqiza iaku manasha wa Thau a lalawa.","I have learned many Thau languages.","我學會好多族語。","https://web.klokah.tw/text/sound/34573/538166.mp3"
"tatata wa qali malhupish iaku, numa tatata wa qali minfazaq iaku sa Thau a lalawa, afuilh iaku naak a ina tunmaza.","I go to school every day, I learn the Thau language every day, and I want to tell my mother.","我天天上學，我天天學族語，我要講給媽媽聽。","https://web.klokah.tw/text/sound/34573/538167.mp3"
"naak a lhanaz zain Ilash.","My name is Ilash.","我的名字是Ilash。","https://web.klokah.tw/text/sound/34577/538215.mp3"
"naak a ama wa lhanaz zain Umin.","My dad’s name is Umin.","我爸爸的名字是Umin。","https://web.klokah.tw/text/sound/34577/538216.mp3"
"naak a ina wa lhanaz zain Apin.","My mother’s name is Apin.","我媽媽的名字是Apin。","https://web.klokah.tw/text/sound/34577/538217.mp3"
"iaku thuini a kawash makthin a qamishan.","I am 10 years old.","我今年10歲。","https://web.klokah.tw/text/sound/34577/538218.mp3"
"itia naak a tantuqash ayuzi a minlhafut latata, thithu a lhanaz zain Tuba, thithu thuini a kawash makthin tata wa qamishan.","I have a brother, his name is Tuba, he is 11 years old.","我有一個哥哥，他叫Tuba，他今年11歲。","https://web.klokah.tw/text/sound/34577/538219.mp3"
"lhmupish iamin isa tataal a lhupilhupishan a taun.","We study in the same school.","我們在同一間學校讀書。","https://web.klokah.tw/text/sound/34577/538220.mp3"
"madaduu iaku numa naak a tantuqash ayuzi a minlhafut maqaquyash.","Both my brother and I like to sing.","我和哥哥都喜歡唱歌。","https://web.klokah.tw/text/sound/34577/538221.mp3"
"madaduu iaku mrauz, ya pangqaiza wa qali, iamin tata wa taun musuun amutusi mrauz.","I like swimming. During the holidays, our whole family go swimming together.","我喜歡游泳，放假的時候，我們全家會一起去游泳。","https://web.klokah.tw/text/sound/34577/538222.mp3"
"mathuaw iaku mushnaw faqlhu a huruy, shduu iamin musuun maqaquyash numa mrauz.","I love meeting new people, we can sing and swim together.","我喜歡認識新朋友，我們可以一起唱歌和游泳。","https://web.klokah.tw/text/sound/34577/538223.mp3"
"iaku tu Thau a azazak.","I am an Thau child.","我是邵族的小孩。","https://web.klokah.tw/text/sound/34581/538267.mp3"
"naak a taun isai Baraubaw.","Our family lives in Baraubaw.","我們家在日月村伊達邵。","https://web.klokah.tw/text/sound/34581/538268.mp3"
"iamin tata wa taun larima wa thau.","There are five people in our family.","我們家共有五個人。","https://web.klokah.tw/text/sound/34581/538269.mp3"
"itia iamin tata wa taun laturu a minlhafut.","There are three brothers and sisters in our family.","我們家有三個兄弟姊妹。","https://web.klokah.tw/text/sound/34581/538270.mp3"
"miasuun iaku naak a ama, ina, tantuqash ayuzi a minlhafut numa tantuqash binanau’az a minlhafut.","I live with my father, mother, brother and sister.","我跟爸爸、媽媽、哥哥和姊姊住在一起。","https://web.klokah.tw/text/sound/34581/538271.mp3"
"mathuaw marutaw naak a ama, numa maranash naak a ama.","My father is tall and he is a policeman.","我的爸爸很高，我的爸爸是警察。","https://web.klokah.tw/text/sound/34581/538272.mp3"
"mathuaw mashiqarman naak a ina, numa riqariqaz shiz a shinshii naak a ina.","My mother is thin and my mom is a doctor.","我的媽媽很瘦，我的媽媽是醫生。","https://web.klokah.tw/text/sound/34581/538273.mp3"
"naak a ama itaun mashthauthau mat itan ya malhinuna.","My father speaks the ethnic language with us at home.","爸爸在家會和我們說族語。","https://web.klokah.tw/text/sound/34581/538274.mp3"
"iamin amakunakataunan ya pinangqaiza mahnariza wa qali.","We will all go back to the tribe during the summer vacation.","我們暑假都會回部落。","https://web.klokah.tw/text/sound/34581/538275.mp3"
"amusuun iamin smapuk sa bakbaki iaku numa naak a tantuqash a minlhafut.","My brothers and sisters and I will catch frogs together.","我和我的兄姊會一起抓青蛙。","https://web.klokah.tw/text/sound/34581/538276.mp3"
"mathuaw iaku mushnaw tata taun a thau.","I like our family very much.","我很喜歡我們家的人。","https://web.klokah.tw/text/sound/34581/538277.mp3"
"iaku thuini masa naak a ina mutusi kilhnaqualh.","I went out with my mother today.","今天我和我的媽媽出去玩。","https://web.klokah.tw/text/sound/34585/538325.mp3"
"mathuaw dishlum shashanu a qali, qali antu mashimzaw antu mani mahnar, fari mathuaw mahaziwhiw.","The sky is blue during the day, the weather is neither cold nor hot, and the wind is cool.","白天的天空很藍，天氣不冷也不熱，風很涼爽。","https://web.klokah.tw/text/sound/34585/538326.mp3"
"iamin milhungqu ipruq kmaan sa paang, patilhazin naam a buut, mathuaw maqalhuuz.","We ate bread on the grass, the sun was shining on us, and it was very warm.","我們在草地上吃著麵包，陽光灑在身上，非常溫暖。","https://web.klokah.tw/text/sound/34585/538327.mp3"
"saqaziza, qali mingqulhaiza.","In the afternoon, the sky turned red.","下午，天空變紅了。","https://web.klokah.tw/text/sound/34585/538328.mp3"
"makikalhi iaku naak a ina, minu sa qali maqulhaqulha.","I asked my mother why the sky is red.","我問媽媽，為甚麼天空是紅色的。","https://web.klokah.tw/text/sound/34585/538329.mp3"
"ina mzai, amashiraus painan.","Mom said, maybe the typhoon is coming.","媽媽說，可能是要颱風了。","https://web.klokah.tw/text/sound/34585/538330.mp3"
"tanlhuaniza wa qali uka s urum, mu’apawiza sa kilhpuz.","There were no clouds in the sky at night, and the stars came out.","晚上天上沒有雲，星星出來了。","https://web.klokah.tw/text/sound/34585/538331.mp3"
"amushaiza ita mutaun mani.","We were going home too.","我們也要回家了。","https://web.klokah.tw/text/sound/34585/538332.mp3"
