"Mpitu patis hido dehuk ku sapah pyasan ali saya.","I arrived at school at seven today.","我今天七點到學校。","https://web.klokah.tw/text/sound/34669/539659.mp3"
"Prading mpuuyas di, meyah remux sapah ttgsaan ka mptgesa, “Tutuy! Tmhuku!” mesa ka mdudul miyan.","It’s time for class , the teacher walked into the classroom, and the monitor said: “Stand up! Salute!”","上課了，老師走進教室，班長說:「起立!敬禮!」","https://web.klokah.tw/text/sound/34669/539660.mp3"
"Paru ba kari nami mesa, “Sndamac su bale mptgesa.”","We said loudly, “Hi, teacher.”","我們大聲的說:「老師好。」","https://web.klokah.tw/text/sound/34669/539661.mp3"
"Muuyas miyan de, tgsaan nami na kari ssepu ka mptgesa.","In class, the teacher taught us the Seediq language of numbers.","上課的時候，老師教我們數字的族語。","https://web.klokah.tw/text/sound/34669/539662.mp3"
"Smnegul nami mptgesa smepu ma, muuyas nami uyas sspegan.","We followed the teacher to read, we sang the number song.","我們跟著老師唸，我們唱了數字歌。","https://web.klokah.tw/text/sound/34669/539663.mp3"
"Eguw bale ka snlhayan mu kari miyan Seediq.","I have learned many Seediq languages.","我學會好多族語。","https://web.klokah.tw/text/sound/34669/539664.mp3"
"Mosa ku sapah pyasan klaali, smluhe ku kari nami Seediq klaali, saun mu pqbahang bubu mu.","I go to school every day, I learn the Seediq language every day, and I want to tell my mother.","我天天上學，我天天在學校學族語，我要講給媽媽聽。","https://web.klokah.tw/text/sound/34669/539665.mp3"
"Walis Pawan ka ngayan mu yaku.","My name is Walis Pawan.","我的名字是Walis Pawan。","https://web.klokah.tw/text/sound/34673/539713.mp3"
"Pawan Dakis ka ngayan na tama mu.","My dad’s name is Pawan Dakis.","我爸爸的名字是Pawan Dakis。","https://web.klokah.tw/text/sound/34673/539714.mp3"
"Robo Walis ka ngayan na bubu mu.","My mother’s name is Robo Walis.","我媽媽的名字是Robo Walis。","https://web.klokah.tw/text/sound/34673/539715.mp3"
"Maxal ka knkawas mu saya di.","I am 10 years old.","我今年10歲。","https://web.klokah.tw/text/sound/34673/539716.mp3"
"Niqan ku kingal qbsuran rseno ka yaku, Takun ka ngayan na, maxal kingal ka knkawas na saya di.","I have a brother, his name is Takun, he is 11 years old.","我有一個哥哥，他叫Takun，他今年11歲。","https://web.klokah.tw/text/sound/34673/539717.mp3"
"Ga miyan suupu muuyas kingal sapah pyasan.","We study in the same school.","我們在同一間學校讀書。","https://web.klokah.tw/text/sound/34673/539718.mp3"
"Smkuxul nami muuyas uyas kana miyan ka qbsuran mu rseno.","Both my brother and I like to sing.","我和哥哥都喜歡唱歌。","https://web.klokah.tw/text/sound/34673/539719.mp3"
"Smkuxul ku lmanguy ka yaku, mgduru de mosa nami lmanguy kana ka tnsapah mu.","I like swimming. During the holidays, our whole family go swimming together.","我喜歡游泳，放假的時候，我們全家會一起去游泳。","https://web.klokah.tw/text/sound/34673/539720.mp3"
"Smkuxul ku mgkela dangi bgurah ka yaku, suupu miyan mosa muuyas uyas ma lmanguy.","I love meeting new people, we can sing and swim together.","我喜歡認識新朋友，我們可以一起唱歌和游泳。","https://web.klokah.tw/text/sound/34673/539721.mp3"
"Laqi ku Seediq ka yaku.","I am an Seediq child.","我是賽德克族的小孩。","https://web.klokah.tw/text/sound/34677/539765.mp3"
"Ga Mhebu ka sapah mu yaku.","Our family lives in Mhebu.","我們家住在馬赫坡。","https://web.klokah.tw/text/sound/34677/539766.mp3"
"Rima hei kana ka tnsapah miyan.","There are five people in our family.","我們家共有五個人。","https://web.klokah.tw/text/sound/34677/539767.mp3"
"Teru nami kana mtswai.","There are three brothers and sisters in our family.","我們家有三個兄弟姊妹。","https://web.klokah.tw/text/sound/34677/539768.mp3"
"Ga ku suupu meniq tama mu, bubu mu, qbsuran mu rseno ma qbsuran mu mqedil.","I live with my father, mother, brother and sister.","我跟爸爸、媽媽、哥哥和姊姊住在一起。","https://web.klokah.tw/text/sound/34677/539769.mp3"
"Bbaro hnyegan na ka tama mu, kesacu ka heya.","My father is tall and he is a policeman.","我的爸爸很高，我的爸爸是警察。","https://web.klokah.tw/text/sound/34677/539770.mp3"
"Rqeling ka bubu mu, ga mgu-ising ka heya.","My mother is thin and my mom is a doctor.","我的媽媽很瘦，我的媽媽是醫生。","https://web.klokah.tw/text/sound/34677/539771.mp3"
"Rngagun nami na kari Seediq meniq sapah ka tama mu.","My father speaks the ethnic language with us at home.","爸爸在家會和我們說族語。","https://web.klokah.tw/text/sound/34677/539772.mp3"
"Rbagan ka sngayan laqi muuyas de meyah ku alang klaali.","We will all go back to the tribe during the summer vacation.","我們暑假都會回部落。","https://web.klokah.tw/text/sound/34677/539773.mp3"
"Suupu nami mosa qmerac qpatun yami ka qbsuran mu rsemo ma, qbsuran mu mqedil.","My brothers and sisters and I will catch frogs together.","我和兄姊會一起抓青蛙。","https://web.klokah.tw/text/sound/34677/539774.mp3"
"Kuxul mu riyung ka seediq tnsapah mu.","I like our family very much.","我很喜歡我們家的人。","https://web.klokah.tw/text/sound/34677/539775.mp3"
"Maha nami theyaq nganguc yami ka bubu mu ali saya.","I went out with my mother today.","今天我和媽媽要出去玩。","https://web.klokah.tw/text/sound/34681/539823.mp3"
"Mblawa ka karac diyan, ini ktilux ma ini ksekuy, tleetu ka bgihur.","The sky is blue during the day, the weather is neither cold nor hot, and the wind is cool.","白天的天空很藍，天氣不冷也不熱，風很涼爽。","https://web.klokah.tw/text/sound/34681/539824.mp3"
"Mekan nami ppuqun bobo dupi, so sapo ka ledax hido cmebu hei nami, muuxun bale.","We ate bread on the grass, the sun was shining on us, and it was very warm.","我們在草地上吃著麵包，陽光灑在身上，非常溫暖。","https://web.klokah.tw/text/sound/34681/539825.mp3"
"Bbiyan de mgtanah ka karac di.","In the afternoon, the sky turned red.","下午，天空變紅了。","https://web.klokah.tw/text/sound/34681/539826.mp3"
"Smiling ku bubu mu, malux mgtanah ka karac.","I asked my mother why the sky is red.","我問媽媽，為甚麼天空是紅色的。","https://web.klokah.tw/text/sound/34681/539827.mp3"
"Mesa cmiyuk ka bubu mu, “Yaani psbgihur paru.”","Mom said, maybe the typhoon is coming.","媽媽說:「可能是颱風要來了。」","https://web.klokah.tw/text/sound/34681/539828.mp3"
"Uka plabu keeman ka karac baro, pkriyak ka pngerah di.","There were no clouds in the sky at night, and the stars came out.","晚上天上沒有雲，星星出來了。","https://web.klokah.tw/text/sound/34681/539829.mp3"
"Maha nami sapah ka yami duri di.","We were going home too.","我們也要回家了。","https://web.klokah.tw/text/sound/34681/539830.mp3"
"Moda nami eluw ssaan sapah, drunun mu pngerah ka sntangan mu.","On the way home, I made a wish with the stars,","在回家的路上，我跟星星許願。","https://web.klokah.tw/text/sound/34681/539831.mp3"
"Naka ini eyah ka bgihur paru, mkmosa ku theyaq nganguc dungan.","I hope the typhoon doesn't come, I still want to go out to play again.","希望颱風不要來，我還想再出去玩。","https://web.klokah.tw/text/sound/34681/539832.mp3"
"Ga ssiyo sapah mu ka sapah pyasan, mkkesa ku klaali mosa sapah pyasan ma meyah sapah.","My school is next to our house, I walk to school every day, and I also walk home.","我的學校在我們家旁邊，我天天走路去學校，也走路回家。","https://web.klokah.tw/text/sound/34685/539879.mp3"
"Ini kparu ka sapah pyasan nami yami, ini keeguw ka laqi muuyas, mgkela nami kana.","Our school is not big, there are not many students, everyone knows each other.","我們學校不大，沒有很多學生，大家互相認識。","https://web.klokah.tw/text/sound/34685/539880.mp3"
"Mosa msseli caw-cang kana ka laqi muuyas, suupu mtheyaq boru ma, suupu mpprengo.","All the children will gather in the playground, play ball and chat together.","所有小朋友會聚在操場，一起玩球、一起聊天。","https://web.klokah.tw/text/sound/34685/539881.mp3"
"Msuupu theyaq yami ka dmptgesa duri, so hari kingal tnsapah paru ka sapah pyasan.","The teachers also play with us, the school is one big family.","老師們也會和我們一起玩，學校是個大家庭。","https://web.klokah.tw/text/sound/34685/539882.mp3"
"Smkesik miyan klaali ka yami, blequn nami bale smkesik ka sapah ttgsaan.","We have to clean every day, and everyone has to clean the classroom.","我們每天都要打掃，大家要把教室打掃乾淨。","https://web.klokah.tw/text/sound/34685/539883.mp3"
"Mosa smerus bais ka duma ma, mosa smkesi ceka dheran ka duma.","Some people clean the windows, some sweep the floor.","有些人去擦窗戶，有些人去掃地。","https://web.klokah.tw/text/sound/34685/539884.mp3"
