"Iha’an azak pitu’ tatnulan munha’an sipulan.","I arrived at school at seven today.","我今天七點到學校。","https://web.klokah.tw/text/sound/34765/541157.mp3"
"Masipulin, mukumbu’in tataqu’an ca tataqu, tupa ca pancang tu “minduldula, masumsuma.”","It’s time for class , the teacher walked into the classroom, and the monitor said: “Stand up! Salute!”","上課了，老師走進教室，班長說:「起立!敬禮!」","https://web.klokah.tw/text/sound/34765/541158.mp3"
"Matacqait ata bazbaz tupa tu “miqumicang tataqu.”","We said loudly, “Hi, teacher.”","我們大聲的說:「老師好。」","https://web.klokah.tw/text/sound/34765/541159.mp3"
"Uutu masipul tudiip, taqu’an azam tataqu malasbunun masipul is paitasanpia.","In class, the teacher taught us the Bunun language of numbers.","上課的時候，老師教我們數字的族語。","https://web.klokah.tw/text/sound/34765/541160.mp3"
"Malavi azam is tataqu silisili bazbaz, tusasauc azam is paitasanpia.","We followed the teacher to read, we sang the number song.","我們跟著老師唸，我們唱了數字歌。","https://web.klokah.tw/text/sound/34765/541161.mp3"
"Madia’ sala ca pisqancaipunin zaku malasbunun a qalinga.","I have learned many Bunun languages.","我學會好多族語。","https://web.klokah.tw/text/sound/34765/541162.mp3"
"Daqdaqanin azak munsipulan, daqdaqanin azak pisqanciap malasbunun, na isbazbazku patan’a tina.","I go to school every day, I learn the Bunun language every day, and I want to tell my mother.","我天天上學，我天天學族語，我要講給媽媽聽。","https://web.klokah.tw/text/sound/34765/541163.mp3"
"Kaut ca ngaan naak.","My name is Kaut.","我的名字是Kaut。","https://web.klokah.tw/text/sound/34769/541211.mp3"
"Abis ca ngaan it tama naak.","My dad’s name is Abis.","我爸爸的名字是Abis。","https://web.klokah.tw/text/sound/34769/541212.mp3"
"Ival ca nggan it tina naak.","My mother’s name is Ival.","我媽媽的名字是Ival。","https://web.klokah.tw/text/sound/34769/541213.mp3"
"Mac’an ca qamisan naak haip.","I am 10 years old.","我今年10歲。","https://web.klokah.tw/text/sound/34769/541214.mp3"
"Maiza tatini tuqasnanaz naak, tupa’un tu Batu, mac’an qan ta’a ca qamisan cia haip.","I have a brother, his name is Batu, he is 11 years old.","我有一個哥哥，他叫Batu，他今年11歲。","https://web.klokah.tw/text/sound/34769/541215.mp3"
"Maszang ca sipulan naam.","We study in the same school.","我們在同一間學校讀書。","https://web.klokah.tw/text/sound/34769/541216.mp3"
"Asa azak it tuqasnanaz naak tusasauc.","Both my brother and I like to sing.","我和哥哥都喜歡唱歌。","https://web.klokah.tw/text/sound/34769/541217.mp3"
"Asa azak tunhapav, maca mul’uun, na muskun azam tatlumaq tunhapav.","I like swimming. During the holidays, our whole family go swimming together.","我喜歡游泳，放假的時候，我們全家會一起去游泳。","https://web.klokah.tw/text/sound/34769/541218.mp3"
"Asa azak papacqal’ is kaviaz, na maqtu’ azam muskun tusasauc ciin tunhapav.","I love meeting new people, we can sing and swim together.","我喜歡認識新朋友，我們可以一起唱歌和游泳。","https://web.klokah.tw/text/sound/34769/541219.mp3"
"Uva’az azak is Bunun.","I am an Bunun child.","我是布農族的小孩。","https://web.klokah.tw/text/sound/34773/541263.mp3"
"Iha’an Ququaz ca lumaq naak.","Our family lives in Ququaz.","我們家住在曲冰。","https://web.klokah.tw/text/sound/34773/541264.mp3"
"Maiza azam hahima’ tatlumaq.","There are five people in our family.","我們家共有五個人。","https://web.klokah.tw/text/sound/34773/541265.mp3"
"Maiza azam tataau ka maitac’an.","There are three brothers and sisters in our family.","我們家有三個兄弟姊妹。","https://web.klokah.tw/text/sound/34773/541266.mp3"
"Aluskunan azak tama, tina, tuqasnanaz ciin tuqasnau’az.","I live with my father, mother, brother and sister.","我跟爸爸、媽媽、哥哥和姊姊住在一起。","https://web.klokah.tw/text/sound/34773/541267.mp3"
"Malaungkav hala ca tama naak, sasaipuk ca tama naak.","My father is tall and he is a policeman.","我的爸爸很高，我的爸爸是警察。","https://web.klokah.tw/text/sound/34773/541268.mp3"
"Makius ca tina naak, ising ca tina naak.","My mother is thin and my mom is a doctor.","我的媽媽很瘦，我的媽媽是醫生。","https://web.klokah.tw/text/sound/34773/541269.mp3"
"Malasbunun ca tama pababazbaz zamun ca ilumaq.","My father speaks the ethnic language with us at home.","爸爸在家會和我們說族語。","https://web.klokah.tw/text/sound/34773/541270.mp3"
"Maca mul’uun tanabal a mu’amin azam mun’acang.","We will all go back to the tribe during the summer vacation.","我們暑假都會回部落。","https://web.klokah.tw/text/sound/34773/541271.mp3"
"Muskun azak it tuqas naak madamus ciciuq.","My brothers and sisters and I will catch frogs together.","我和兄姊會一起抓青蛙。","https://web.klokah.tw/text/sound/34773/541272.mp3"
"Mantan azak asa salas tatlumaq naam.","I like our family very much.","我很喜歡我們家的人。","https://web.klokah.tw/text/sound/34773/541273.mp3"
