"kasauny pitju milingan a ku sina gakuan.","I arrived at school at seven today.","我今天七點到學校。","https://web.klokah.tw/text/sound/35005/544902.mp3"
"patagilj anga kitulu, ljetaladj anga sinsi sema kiusic, qivu a hanciw:“ gacalju! kicungalu !”","It’s time for class , the teacher walked into the classroom, and the monitor said: “Stand up! Salute!”","上課了，老師走進教室，班長說:「起立!敬禮!」","https://web.klokah.tw/text/sound/35005/544903.mp3"
"gerengi a lukay:“ djavadjavy sinsi.”","We said loudly, “Hi, teacher.”","我們大聲的說:「老師好。」","https://web.klokah.tw/text/sound/35005/544904.mp3"
"a sini tulu na nia sinsi pakata pinaiwanan a semupu","In class, the teacher taught us the Paiwan language of numbers.","上課老師教我們，關於數字的族語。","https://web.klokah.tw/text/sound/35005/544905.mp3"
"timitja kiciuli ta sinsi kisupu, na semenay a men ta semupu a senay.","We followed the teacher to read, we sang the number song.","我們跟著老師唸，我們唱了數字歌。","https://web.klokah.tw/text/sound/35005/544906.mp3"
"liaw anga u kinasaigu a pinaiwanan.","I have learned many Paiwan languages.","我學會好多族語。","https://web.klokah.tw/text/sound/35005/544907.mp3"
"ljemita ta qadaw ma gakku a ken, ljemita ta qadaw kitulutulu tua pinaiwanan, uli kiljavaljang sasi palanda tja kina.","I go to school every day, I learn the Paiwan language every day, and I want to tell my mother.","我天天上學，我天天學族語，我要講給媽媽聽。","https://web.klokah.tw/text/sound/35005/544908.mp3"
"a ku ngadan ti muakay.","My name is muakay.","我的名字是muakay。","https://web.klokah.tw/text/sound/35009/544956.mp3"
"a ngadan na ku kama ti camak.","My dad’s name is camak.","我爸爸的名字是camak。","https://web.klokah.tw/text/sound/35009/544957.mp3"
"a ngadan na ku kina ti savan.","My mother’s name is savan.","我媽媽的名字是savan。","https://web.klokah.tw/text/sound/35009/544958.mp3"
"tucu puluq anga ku cavilj.","I am 10 years old.","我今年10歲。","https://web.klokah.tw/text/sound/35009/544959.mp3"
"izua ku kaka tjavulung a uqaljay, a ngadan nimadju ti buka, tucu puluq sa ita anga cavilj nimadju.","I have a brother, his name is buka, he is 11 years old.","我有一個哥哥，他叫buka，他今年11歲。","https://web.klokah.tw/text/sound/35009/544960.mp3"
"kitulutulu amen itau mamaw a gaku.","We study in the same school.","我們在同一間學校讀書。","https://web.klokah.tw/text/sound/35009/544961.mp3"
"tjengelay semenay ken kata tjavulung a kaka uqaljay.","Both my brother and I like to sing.","我和哥哥都喜歡唱歌。","https://web.klokah.tw/text/sound/35009/544962.mp3"
"tjengelay ken a kemavekav, nu pulavay, tiamen taqumaqanan maciuciul vaik a kemavekav.","I like swimming. During the holidays, our whole family go swimming together.","我喜歡游泳，放假的時候，我們全家會一起去游泳。","https://web.klokah.tw/text/sound/35009/544963.mp3"
"tjengelay ken sekeljang tua atalasi a qali, dikilu amen maciul a semenay kata kemavekav.","I love meeting new people, we can sing and swim together.","我喜歡認識新朋友，我們可以一起唱歌和游泳。","https://web.klokah.tw/text/sound/35009/544964.mp3"
"tiaken na paiwan a aljak.","I am an Paiwan child.","我是排灣族的小孩。","https://web.klokah.tw/text/sound/35013/545008.mp3"
"a nia kinaizuanan imaza i taitu king taren guan a tjuabar mula.","Our family lives in tjuabar.","我們家住在台東縣達仁鄉土坂村。","https://web.klokah.tw/text/sound/35013/545009.mp3"
"malje lima men a taqumaqanan.","There are five people in our family.","我們家共有五個人。","https://web.klokah.tw/text/sound/35013/545010.mp3"
"tiamen taqumaqanan izua ma tjelu a siruvetjek.","There are three brothers and sisters in our family.","我們家有三個兄弟姊妹。","https://web.klokah.tw/text/sound/35013/545011.mp3"
"na matevelj amen kata ku kama, kina, tjavulung a kaka uqaljay kata vavayan.","I live with my father, mother, brother and sister.","我跟爸爸、媽媽、哥哥和姊姊住在一起。","https://web.klokah.tw/text/sound/35013/545012.mp3"
"qaca ku kama, kisace a ku kama.","My father is tall and he is a policeman.","我的爸爸很高，我的爸爸是警察。","https://web.klokah.tw/text/sound/35013/545013.mp3"
"kuljay a ku kina. kuisan a ku kina.","My mother is thin and my mom is a doctor.","我的媽媽很瘦，我的媽媽是醫生。","https://web.klokah.tw/text/sound/35013/545014.mp3"
"nu i tjumaq amen ti kama lukayan na men ta pinaiwanan.","My father speaks the paiwan language with us at home.","爸爸在家會和我們說族語。","https://web.klokah.tw/text/sound/35013/545015.mp3"
"nu kilavay tua kalja zalangezangan ru vaik amen a sema qinaljan.","We will all go back to the tribe during the summer vacation.","我們暑假都會回部落。","https://web.klokah.tw/text/sound/35013/545016.mp3"
"tiaken kata tjavulung a kaka uaqaljay vavayan ru kaciul a djemekep tua ceqel.","My brothers and sisters and I will catch frogs together.","我和兄姊會一起抓青蛙。","https://web.klokah.tw/text/sound/35013/545017.mp3"
"tjengelay a ken tua u taqumaqanan.","I like our family very much.","我喜歡我的家人。","https://web.klokah.tw/text/sound/35013/545018.mp3"
"nu saunay uli vaik amen kivanvan kati kina.","I went out with my mother today.","今天我和媽媽出去玩。","https://web.klokah.tw/text/sound/35017/545066.mp3"
"nu maqadaw cangiangia a kalevelevan, ika ljaljeqel ika semezam tauta, sudjusy a vali.","The sky is blue during the day, the weather is neither cold nor hot, and the wind is cool.","白天的天空很藍，天氣不冷也不熱，風很涼爽。","https://web.klokah.tw/text/sound/35017/545067.mp3"
"na qemiladj amen itua zaleman kemakan ta pang, aza teljare na qadaw pazarezar itua kacavacavan, semeljec aravac.","We ate bread on the grass, the sun was shining on us, and it was very warm.","我們在草地上吃著麵包，陽光照在身上，非常溫暖。","https://web.klokah.tw/text/sound/35017/545068.mp3"
"makakincengelj, masan qudjidjilj a kalevelevan.","In the afternoon, the sky turned red.","下午，天空變紅了。","https://web.klokah.tw/text/sound/35017/545069.mp3"
"ku kivadaqan ti kina, akumaya qudjidjilj a kalevelevan.","I asked my mother why the sky is red.","我問媽媽，為甚麼天空是紅色的。","https://web.klokah.tw/text/sound/35017/545070.mp3"
"aya ti kina, masa uli mangetjez anga buhu.","Mom said, maybe the typhoon is coming.","媽媽說，可能是颱風要來了。","https://web.klokah.tw/text/sound/35017/545071.mp3"
"nuqezemetj neka qerepus i kalevelevan, tjevutanga vitjuqan.","There were no clouds in the sky at night, and the stars came out.","晚上天上沒有雲，星星出來了。","https://web.klokah.tw/text/sound/35017/545072.mp3"
"uli vaik anga men matjumaq tauta.","We were going home too.","我們也要回家了。","https://web.klokah.tw/text/sound/35017/545073.mp3"
"a si vaikan matjumaq a djalan, kipenetj aken tua vitjuqan.","On the way home, I made a wish with the stars,","在回家的路上，我跟星星許願.","https://web.klokah.tw/text/sound/35017/545074.mp3"
"ulja ika mangetjez a buhu, sa vaik anan na ken ljisasaw a kivanvan.","I hope the typhoon doesn't come, I still want to go out to play again.","希望颱風不要來，我還想再出去玩。","https://web.klokah.tw/text/sound/35017/545075.mp3"
"a ku gaku i gidi tua nia umaq, ljemita ta qadaw djemavadjavac aken a magaku, djemavac matjumaq tauta.","My school is next to our house, I walk to school every day, and I also walk home.","我的學校在我們家旁邊，我天天走路去學校，也走路回家。","https://web.klokah.tw/text/sound/35021/545122.mp3"
"ika qaca nia gaku, mapulju a situ, makakeljang a mapuljat.","Our school is not big, there are not many students, everyone knows each other.","我們學校不大，沒有很多學生，大家互相認識。","https://web.klokah.tw/text/sound/35021/545123.mp3"
"mapuljat a qaqunuan rumaqepu i unduzin, maciul a kivanvan ta bulu, maciul a pakatateveravera.","All the children will gather in the playground, play ball and chat together.","所有小朋友會聚在操場，一起玩球、一起聊天。","https://web.klokah.tw/text/sound/35021/545124.mp3"
"a mareka sinsi kiciul tjanuamen a kivanvan, tauta, a gaku matu na mirazek a cemekemekelj.","The teachers also play with us, the school is one big family.","老師們也會和我們一起玩，學校是個大家庭。","https://web.klokah.tw/text/sound/35021/545125.mp3"
"nu ljemita qadaw semuap amen, aza kiusic tja paka suapen a palimasudj.","We have to clean every day, and everyone has to clean the classroom.","我們每天都要打掃，大家要把教室打掃乾淨。","https://web.klokah.tw/text/sound/35021/545126.mp3"
"izua djemuas ta qezung, izua vaik a semuap ta kalavan.","Some people clean the windows, some sweep the floor.","有些人去擦窗戶，有些人去掃地。","https://web.klokah.tw/text/sound/35021/545127.mp3"
