"pitju a tukiyan ka djemaljun aken i kakituluwan a vuaq.","I arrived at school at seven today.","我今天七點到學校。","https://web.klokah.tw/text/sound/35053/545651.mp3"
"patagilj anga kitulu, tjumaq ti sinsi i tatuluan, qivu a nia penuvuluvulung, “gacalju! kisukubi! aya.”","It’s time for class , the teacher walked into the classroom, and the monitor said: “Stand up! Salute!”","上課了，老師走進教室，班長說:「起立!敬禮!」","https://web.klokah.tw/text/sound/35053/545652.mp3"
"pasiqaca amen a qivu ta, “navenala sun sinsi aya amen.”","We said loudly, “Hi, teacher.”","我們大聲的說:「老師好。」","https://web.klokah.tw/text/sound/35053/545653.mp3"
"ka kitulutulu amen, tuluan amen ni sinsi tua supu nua kinacalisianan.","In class, the teacher taught us the paiwan language of numbers.","上課的時候，老師教我們數字的族語。","https://web.klokah.tw/text/sound/35053/545654.mp3"
"kilayng amen tjay sinsi a semupu, semenay amen tua sasupuan a senay.","We followed the teacher to read, we sang the number song.","我們跟著老師唸，我們唱了數字歌。","https://web.klokah.tw/text/sound/35053/545655.mp3"
"liav anga aravac a ku kinacaqu a kinacalisianan.","I have learned many paiwan languages.","我學會好多族語。","https://web.klokah.tw/text/sound/35053/545656.mp3"
"piqadav aken a sema kakituluan, piqadav aken a kicaquan tua kinacalisianan, muri ku siqayvu a palangda tjay kina.","I go to school every day, I learn the paiwan language every day, and I want to tell my mother.","我天天上學，我天天學族語，我要講給媽媽聽。","https://web.klokah.tw/text/sound/35053/545657.mp3"
"a ku ngadan ti Ravaci.","My name is Ravaci.","我的名字是Ravaci。","https://web.klokah.tw/text/sound/35057/545705.mp3"
"a ngadan ni kama ti Karuqu.","My dad’s name is Karuqu.","我爸爸的名字是Karuqu。","https://web.klokah.tw/text/sound/35057/545706.mp3"
"a ngadan ni kina ti Paules.","My mother’s name is Paules.","我媽媽的名字是Paules。","https://web.klokah.tw/text/sound/35057/545707.mp3"
"tucu a cavilj tapuluq anga ku cavilj.","I am 10 years old.","我今年10歲。","https://web.klokah.tw/text/sound/35057/545708.mp3"
"macidilj a ku kaka a uqaljay a tjavulung, ti Qipu a ngadan nimadju, tapuluq katu ita a cavilj nimadju a tucu a cavilj.","I have a brother, his name is Qipu, he is 11 years old.","我有一個哥哥，他叫Qipu，他今年11歲。","https://web.klokah.tw/text/sound/35057/545709.mp3"
"itua taytan a nia supusupuan a kakituluan.","We study in the same school.","我們在同一間學校讀書。","https://web.klokah.tw/text/sound/35057/545710.mp3"
"tiaken kati kaka i Qipu tjengelay amen a semenay.","Both my brother and I like to sing.","我和Qipu哥哥都喜歡唱歌。","https://web.klokah.tw/text/sound/35057/545711.mp3"
"tjengelay aken a ljemanguy, nu i putideq a qadav, tiamen a tacemekeljan vayk amen a maciuciur a ljemanguy.","I like swimming. During the holidays, our whole family go swimming together.","我喜歡游泳，放假的時候，我們全家會一起去游泳。","https://web.klokah.tw/text/sound/35057/545712.mp3"
