"Empitu tuki ka musa ku ptasan sayang.","I arrived at school at seven today.","我今天七點到學校。","https://web.klokah.tw/text/sound/35485/552392.mp3"
"prajing ta matas do, mtmay ruwan ptasan ka mtgsa,rmngaw ka mdudul, “Hiyug! Thmuku!”","It’s time for class , the teacher walked into the classroom, and the monitor said: “Stand up! Salute!”","上課了，老師走進教室，班長說:「起立!敬禮!」","https://web.klokah.tw/text/sound/35485/552393.mp3"
"Paru hnang nami rmngaw, “mtgsa, embiyax su hug.”","We said loudly, “Hi, teacher.”","我們大聲的說:「老師好。」","https://web.klokah.tw/text/sound/35485/552394.mp3"
"Matas siida o, tmgsa mnan sspug kari Truku ka mtgsa.","In class, the teacher taught us the Truku language of numbers.","上課的時候，老師教我們數字的族語。","https://web.klokah.tw/text/sound/35485/552395.mp3"
"Smnegul nami mtgsa smpug, muyas nami uyas sspug.","We followed the teacher to read, we sang the number song.","我們跟著老師唸，我們唱了數字歌。","https://web.klokah.tw/text/sound/35485/552396.mp3"
"Smluhay ku lala bi ka kari ta Truku.","I have learned many Truku languages.","我學會好多族語。","https://web.klokah.tw/text/sound/35485/552397.mp3"
"Musa ku matas kdjiyax, smluhay ku kari ta Truku kdjiyax, rrngaw mu ni pqbhangun mu bubu.","I go to school every day, I learn the Truku language every day, and I want to tell my mother.","我天天上學，我天天學族語，我要講給媽媽聽。","https://web.klokah.tw/text/sound/35485/552398.mp3"
"Ubus ka hangan mu.","My name is Ubus.","我的名字是Ubus。","https://web.klokah.tw/text/sound/35489/552446.mp3"
"Asing ka hangan tama mu.","My dad’s name is Asing.","我爸爸的名字是Asing。","https://web.klokah.tw/text/sound/35489/552447.mp3"
"Ipay ka hangan bubu mu.","My mother’s name is Ipay.","我媽媽的名字是Ipay。","https://web.klokah.tw/text/sound/35489/552448.mp3"
"Maxal hngkwasan ka hngkawas mu sayang.","I am 10 years old.","我今年10歲。","https://web.klokah.tw/text/sound/35489/552449.mp3"
"Niqan kingal qbsuran mu snaw, hangan na o Yudaw, maxal kingal hngkwasan ka hngkawas na sayang.","I have a brother, his name is Yudaw, he is 11 years old.","我有一個哥哥，他叫Yudaw，他今年11歲。","https://web.klokah.tw/text/sound/35489/552450.mp3"
"Seupu nami matas kingal tgbilaq ptasan.","We study in the same school.","我們在同一間學校讀書。","https://web.klokah.tw/text/sound/35489/552451.mp3"
"Smkuxul muyas ka dha nami qbsuran mu snaw.","Both my brother and I like to sing.","我和哥哥都喜歡唱歌。","https://web.klokah.tw/text/sound/35489/552452.mp3"
"Smkuxul ku tmapaq qsiya yayung, msangay siida o, mseupu nami musa tmapaq qsiya yayung ka kana ruwan sapah mu.","I like swimming. During the holidays, our whole family go swimming together.","我喜歡游泳，放假的時候，我們全家會一起去游泳。","https://web.klokah.tw/text/sound/35489/552453.mp3"
"Smkuxul ku mklaan bgurah lupung, saw kiya o, mtduwa nami mseupu muyas ni tmapaq qsiya yayung.","I love meeting new people, we can sing and swim together.","我喜歡認識新朋友，我們可以一起唱歌和游泳。","https://web.klokah.tw/text/sound/35489/552454.mp3"
"Laqi ku seejiq Truku ka yaku, ga mniq Bsngan ka sapah nami.","I am an Truku child.Our family lives in Bsngan.","我是太魯閣族的小孩。我們家住在富世玻士岸。","https://web.klokah.tw/text/sound/35493/552499.mp3"
"Rima hiyi ka ruwan sapah mu.","There are five people in our family.","我們家共有五個人。","https://web.klokah.tw/text/sound/35493/552500.mp3"
"Niqan tru mnswayi ka sapah nami.","There are three brothers and sisters in our family.","我們家有三個兄弟姊妹。","https://web.klokah.tw/text/sound/35493/552501.mp3"
"Niqan tama, bubu, qbsuran mu snaw ni qbsuran mu kuyuh.","I live with my father, mother, brother and sister.","我跟爸爸、媽媽、哥哥和姊姊住在一起。","https://web.klokah.tw/text/sound/35493/552502.mp3"
"Ttakar bi ka tama mu, knsat qpahun na ka tama mu.","My father is tall and he is a policeman.","我的爸爸很高，我的爸爸是警察。","https://web.klokah.tw/text/sound/35493/552503.mp3"
"Hlawax bi ka bubu mu, msapuh qpahun na ka bubu mu.","My mother is thin and she is a doctor.","我的媽媽很瘦，我的媽媽是醫生。","https://web.klokah.tw/text/sound/35493/552504.mp3"
"Tghuy mnan mniq sapah rmngaw kari bubu ka tama mu.","My father speaks the Truku language with us at home.","爸爸在家會和我們說族語。","https://web.klokah.tw/text/sound/35493/552505.mp3"
"Mseupu nami musa alang ka msangay rbagan.","We will all go back to the tribe during the summer vacation.","我們暑假都會回部落。","https://web.klokah.tw/text/sound/35493/552506.mp3"
"Tghuy ku mnswayi mu mseupu nami qrak qpatur.","My brother and sister and I will catch frogs together.","我和兄姊會一起抓青蛙。","https://web.klokah.tw/text/sound/35493/552507.mp3"
"Smkuxul ku kingal ruwan sapah mu.","I like our family very much.","我很喜歡我們家的人。","https://web.klokah.tw/text/sound/35493/552508.mp3"
"Musa hmrapas ka bubu mu ni yaku sayang.","I went out with my mother today.","今天我和媽媽出去玩。","https://web.klokah.tw/text/sound/35497/552556.mp3"
"Mgqliyang bi ka karat jiyan, ini ktalux ni ini mskuy ka karat, mtleetu bi ka bgihur.","The sky is blue during the day, the weather is neither cold nor hot, and the wind is cool.","白天的天空很藍，天氣不冷也不熱，風很涼爽。","https://web.klokah.tw/text/sound/35497/552557.mp3"
"Meekan nami bawa mniq babaw spriq, sbu mniq qbubur mu ka hidaw ni muxul balay.","We ate bread on the grass, the sun was shining on us, and it was very warm.","我們在草地上吃著麵包，陽光灑在身上，非常溫暖。","https://web.klokah.tw/text/sound/35497/552558.mp3"
"Babaw kdaaxan da, ppriyux ka karat da.","In the afternoon, the sky turned red.","下午，天空變紅了。","https://web.klokah.tw/text/sound/35497/552559.mp3"
"Smiling ku bubu mu, hmuya embanah ka karat hug.","I asked my mother why the sky is red.","我問媽媽，為甚麼天空是紅色的。","https://web.klokah.tw/text/sound/35497/552560.mp3"
"Rmngaw ka bubu mu, ida bi biyaw miyah ka bgihur paru da.","Mom said, maybe the typhoon is coming.","媽媽說，可能是颱風要來了。","https://web.klokah.tw/text/sound/35497/552561.mp3"
"Nasi ungat rulung ka keeman do, sriyu ka ppngrah da.","There were no clouds in the sky at night, and the stars came out.","晚上天上沒有雲，星星出來了。","https://web.klokah.tw/text/sound/35497/552562.mp3"
"Mha nami sapah da.","We were going home too.","我們也要回家了。","https://web.klokah.tw/text/sound/35497/552563.mp3"
"Musa elug sapah siida o, smulu ku tghuy ppngrah.","On the way home, I made a wish with the stars,","在回家的路上，我跟星星許願。","https://web.klokah.tw/text/sound/35497/552564.mp3"
"Smulu iya iyah ka bgihur paru, lmnglung ku mlatat musa hmrapas.","I hope the typhoon doesn't come, I still want to go out to play again.","希望颱風不要來，我還想再出去玩。","https://web.klokah.tw/text/sound/35497/552565.mp3"
"Kiyig bi sapah nami ka ptasan mu, mksa ku musa ptasan kdjiyax, mksa ku miyah sapah uri.","My school is next to our house, I walk to school every day, and I also walk home.","我的學校在我們家旁邊，我天天走路去學校，也走路回家。","https://web.klokah.tw/text/sound/35501/552612.mp3"
"Aji paru ka ptasan mu, aji hbaraw ka laqi matas, pmkkla nami kana.","Our school is not big, there are not many students, everyone knows each other.","我們學校不大，沒有很多學生，大家互相認識。","https://web.klokah.tw/text/sound/35501/552613.mp3"
"Mseupu nami mssli ngangut ptasan, mseupu nami mrrawa qurug, mseupu nami empprngaw.","All the children will gather in the playground, play ball and chat together.","所有小朋友會聚在操場，一起玩球、一起聊天。","https://web.klokah.tw/text/sound/35501/552614.mp3"
"Mdka sapah paru ka ptasan, smksik nami kdjiyax, smksik nami mtbhgay ka ruwan ptasan.","The teachers also play with us, the school is one big family.","老師們也會和我們一起玩，學校是個大家庭。","https://web.klokah.tw/text/sound/35501/552615.mp3"
"Smksik nami kdjiyax, smksik nami mtbhgay ka ruwan ptasan.","We have to clean every day, and everyone has to clean the classroom.","我們每天都要打掃，大家要把教室打掃乾淨。","https://web.klokah.tw/text/sound/35501/552616.mp3"
"Duma seejiq o rmisuh smrus bling rhngun, duma o musa smeeksik.","Some people clean the windows, some sweep the floor.","有些人去擦窗戶，有些人去掃地。","https://web.klokah.tw/text/sound/35501/552617.mp3"
"Musa nami smksik kana knkingal muhing ptasan. mseupu nami ppdayaw, mtbhgay balay kdjiyax ka ptasan.","We will also clean every corner of the school. Everyone works together, and the school is very clean every day.","我們還會打掃學校的各個角落，大家分工合作，學校每天都很乾淨。","https://web.klokah.tw/text/sound/35501/552618.mp3"
"Shiga, mnsa ku alang qmita baki.","Yesterday, I went to visit my grandpa in the tribe.","昨天，我去部落拜訪爺爺。","https://web.klokah.tw/text/sound/35505/552661.mp3"
"Bsiyaq bi ini nami tqita da, kmdamat ku bi hyaan.","We haven't seen each other for a long time and I miss him a lot.","我們很久沒有見面了，我很想念他。","https://web.klokah.tw/text/sound/35505/552662.mp3"
"Qmita knan ka baki o asi ku na pqdali sagas. pmahan ku na qsiya rnabaw.","As soon as grandpa saw me, he invited me to eat watermelon and drink tea.","爺爺一看到我，就請我吃西瓜，請我喝茶。","https://web.klokah.tw/text/sound/35505/552663.mp3"
"Ssibus bi hnuma na sagas ka baki, balay bi malu uqun.","The watermelon grown by grandpa is very sweet and really delicious.","爺爺種的西瓜很甜，真的很好吃。","https://web.klokah.tw/text/sound/35505/552664.mp3"
"Mkuxul ku qsiya rnabaw baki uri. malu bi mahan uri.","I also like grandpa's tea, it's tasted good too.","我也喜歡爺爺的茶，也很好喝。","https://web.klokah.tw/text/sound/35505/552665.mp3"
"Ska hidaw do, mseupu ku payi mhapuy kdeaxan.","At noon, I cooked lunch with my grandma.","中午的時候，我和奶奶一起煮午餐。","https://web.klokah.tw/text/sound/35505/552666.mp3"
"Mhapuy suyang bi kdeaxan ka payi, niqan qsurux, rudux, baun, pngusul uri.","Grandma cooked a big lunch, including fish, chicken, pumpkin, and snails.","奶奶煮了很豐盛的午餐，有魚、有雞、有南瓜、還有蝸牛。","https://web.klokah.tw/text/sound/35505/552667.mp3"
"Babaw mnhdu nami kmjiyax do musa nami qnpahan pajiq kmtuy pajiq.","After lunch, we went to the vegetable garden to pick vegetables.","吃完午餐後，我們去菜園摘菜。","https://web.klokah.tw/text/sound/35505/552668.mp3"
"Mangal lala bi bunga, sari ni qusul ka payi sbgay na knan adas sapah.","Grandma brought me a lot of sweet potatoes, taro and buckwheat, and asked me to take them home.","奶奶拿了很多地瓜、芋頭和蕗蕎給我，要我帶回家。","https://web.klokah.tw/text/sound/35505/552669.mp3"
"Mswayay ku dhyaan ni meiyah ku mita dhyaan pxal duri sun mu.","I said goodbye to them and said I'd see them next time.","我跟他們道別，說下次再去看他們。","https://web.klokah.tw/text/sound/35505/552670.mp3"
"Sayang o meadas mnan musa rwaan mneudus ka mtgsa. Mniq nami rhngung embkug marig paya.","Today the teacher took us to the zoo, and we lined up at the gate to buy tickets.","今天老師帶我們去動物園，我們在門口排隊買票。","https://web.klokah.tw/text/sound/35509/552730.mp3"
"Babaw mtmay nami rwaan mneudus do rmngaw ka mtgsa:“ Brah o qqbhni, bukuy o qquyu, lita nanak qmita.”","After entering the zoo, the teacher said, "There are birds in the front and snakes in the back, so you can visit them yourself."","進入動物園後，老師說:「前面是鳥類，後面是蛇類，大家自己參觀。」","https://web.klokah.tw/text/sound/35509/552731.mp3"
"Mngungu ku quyu kika ini ku usa qmita qyquyu.","I'm afraid of snakes, so I don't look at snakes.","我會怕蛇，所以我不看蛇類。","https://web.klokah.tw/text/sound/35509/552732.mp3"
"Qmita ku lala bi qbhni, ga skkiya babaw qhuni ka dhiya. qmita ku purung ga mtaqi ska rangah qhuni uri.","I saw a lot of birds flying around in the trees and saw owls sleeping in tree hollows.","我看到了很多鳥，他們在樹上飛來飛去，還有看到貓頭鷹在樹洞裡睡覺。","https://web.klokah.tw/text/sound/35509/552733.mp3"
"Rwaan mneudus o niqan kacing wiwil muhing, kacing mrata/ema ni rklit. Aji ku qmnita ka nnii mneudus. Qtaan sayang do balay bi qrasun wah.","There are elephants, horses and tigers in the zoo. I have never seen these animals before. I was really happy to see them today.","動物園裡有大象、馬和老虎，我從前沒有看過這些動物，今天看到了真的很開心。","https://web.klokah.tw/text/sound/35509/552734.mp3"
"Lala bi psingal mu ka sasing, Pqtai mu tama ni bubu.","I took a lot of pictures and showed them to my parents.","我拍了很多照片，給爸爸媽媽看。","https://web.klokah.tw/text/sound/35509/552735.mp3"
"Pseupu ku tama ni bubu miyah pxal duri.","Next time I will come with my parents.","下次再跟爸爸媽媽一起來。","https://web.klokah.tw/text/sound/35509/552736.mp3"
"Jiyax sngayang nii, musa nami qmita swayi snaw tama mu ka qbsuran mu kuyuh ni yaku.","This holiday, my sister and I went to Taitung to visit my uncle.","這個假日，我和姊姊去台東拜訪叔叔。","https://web.klokah.tw/text/sound/35513/552778.mp3"
"Paah nami Taipei papa tdruy qrngul musa Taitung.","We took the train from Taipei to Taitung.","我們從台北搭火車去臺東。","https://web.klokah.tw/text/sound/35513/552779.mp3"
"Dhuq Taitung do mgriq tdruy miyah smtrung pyaan tdruy mnan ka ririh tama.","When we arrived in Taitung, my uncle drove to the station to pick us up.","到了台東，叔叔開車來車站接我們。","https://web.klokah.tw/text/sound/35513/552780.mp3"
