"soni pitu takananga mukusa ku tarisinata.","I arrived at school at seven today.","我今天七點到學校。","https://web.klokah.tw/text/sound/35581/553890.mp3"
"kiatuturu cu. musikarʉ takituturua. makasi pan-cang: “aratakaraa! musu’ʉvʉ!”","It’s time for class , the teacher walked into the classroom, and the monitor said: “Stand up! Salute!”","上課了，老師走進教室，班長說:「起立!敬禮!」","https://web.klokah.tw/text/sound/35581/553891.mp3"
"masitatia kim makasi: “manʉng takituturua!”","We said loudly, “Hi, teacher.”","我們大聲的說:「老師好！」","https://web.klokah.tw/text/sound/35581/553892.mp3"
"miaa kiatuturu, tumatuturu kimia takituturua sʉpʉrʉ tamna kari.","In class, the teacher taught us the Kanakanavu language of numbers.","上課的時候，老師教我們數字的族語。","https://web.klokah.tw/text/sound/35581/553893.mp3"
"tuapapa kim sumasʉpʉrʉ. paracani kim sʉpʉrʉ tamna cani.","We followed the teacher to read, we sang the number song.","我們跟著老師唸，我們唱了數字歌。","https://web.klokah.tw/text/sound/35581/553894.mp3"
"takutavara’ʉ ku ’itumuru kari Kanakanavu.","I have learned many Kanakanavu languages.","我學會好多族語。","https://web.klokah.tw/text/sound/35581/553895.mp3"
"tantaniara ku mukusa tarisinata. tantaniara kiatuturu kari Kanakanavu. tia ku ’apatimana cina.","I go to school every day, I learn the Kanakanavu language every day, and I want to tell my mother.","我天天上學，我天天學族語，我要講給媽媽聽。","https://web.klokah.tw/text/sound/35581/553896.mp3"
"sua nganai maku ia Mu’u.","My name is Mu’u.","我的名字是Mu’u。","https://web.klokah.tw/text/sound/35585/553944.mp3"
"nganai cuma maku ia ’Una.","My dad’s name is ’Una.","我爸爸的名字是’Una。","https://web.klokah.tw/text/sound/35585/553945.mp3"
"nganai cina maku ia Paicʉ.","My mother’s name is Paicʉ.","我媽媽的名字是Paicʉ。","https://web.klokah.tw/text/sound/35585/553946.mp3"
"cenana isi. maan cenana ku.","I am 10 years old.","我今年10歲。","https://web.klokah.tw/text/sound/35585/553947.mp3"
"’una ku tacini kana’ua sarunai, Pori kisʉʉn. cenana isi maan cani cenana sua nguain.","I have a brother, his name is Pori, he is 11 years old.","我有一個哥哥，他叫Pori。他今年11歲。","https://web.klokah.tw/text/sound/35585/553948.mp3"
