"upitu pakiaturua musa ku ariatʉkʉrana arinani.","I arrived at school at seven today.","我今天七點到學校。","https://web.klokah.tw/text/sound/35629/554639.mp3"
"umiapʉ cu, puaruma tarʉana umiapʉ pakiaturuana, amihla kapitanʉ tarʉana, “musiri! matitʉnʉlʉ!”","It’s time for class , the teacher walked into the classroom, and the monitor said: “Stand up! Salute!”","上課了，老師走進教室，班長說:「起立!敬禮!」","https://web.klokah.tw/text/sound/35629/554640.mp3"
"piataisa vahliungu mu amihla, “mavacangʉ pakiaturua.”","We said loudly, “Hi, teacher.”","我們大聲的說:「老師好。」","https://web.klokah.tw/text/sound/35629/554641.mp3"
"marumaru maci umiiapʉ, tumututuru pakiaturua ihlahlamu kari tahlana umarucacani.","In class, the teacher taught us the Hla′alua language of numbers.","上課的時候，老師教我們數字的族語。","https://web.klokah.tw/text/sound/35629/554642.mp3"
"pialʉvʉ mu pakiaturua, pahlusahli cu a mu sahli umarucacani.","We followed the teacher to read, we sang the number song.","我們跟著老師唸，我們唱了數字歌。","https://web.klokah.tw/text/sound/35629/554643.mp3"
"macahlia ku matumuhlu kari tahlana.","I have learned many Hla′alua languages.","我學會好多族語。","https://web.klokah.tw/text/sound/35629/554644.mp3"
"ariari ku umaiiapʉ, ariari ku musuturu kari tahlana, tumua ku umahlikua ina’a tumimahla.","I go to school every day, I learn the Hla′alua language every day, and I want to tell my mother.","我天天上學，我天天學族語，我要講給媽媽聽。","https://web.klokah.tw/text/sound/35629/554645.mp3"
"ngahla ku pia Caʉpʉ.","My name is Caʉpʉ.","我的名字是Caʉpʉ。","https://web.klokah.tw/text/sound/35633/554693.mp3"
"amaku ngahla pia Amahlʉ.","My dad’s name is Amahlʉ.","我爸爸的名字是Amahlʉ。","https://web.klokah.tw/text/sound/35633/554694.mp3"
"inaku ngahla pia Inguru.","My mother’s name is Inguru.","我媽媽的名字是Inguru。","https://web.klokah.tw/text/sound/35633/554695.mp3"
"maahlʉ ku caihli mamisa.","I am 10 years old.","我今年10歲。","https://web.klokah.tw/text/sound/35633/554696.mp3"
"maru ku ahlalua hlahlusa cacihli, pia ʉlʉnganʉ kana’ana, laihla ucani caihli kana’ana mamisa.","I have a brother, his name is ʉlʉnganʉ, he is 11 years old.","我有一個哥哥，他叫ʉlʉnganʉ，他今年11歲。","https://web.klokah.tw/text/sound/35633/554697.mp3"
"kikucu a mu ma ariatʉkʉrana umaiiapʉ.","We study in the same school.","我們在同一間學校讀書。","https://web.klokah.tw/text/sound/35633/554698.mp3"
"ihlaku nua ahlalua  hlahlusa rianʉ marumuku pahlusahli.","Both my brother and I like to sing.","我和哥哥都喜歡唱歌。","https://web.klokah.tw/text/sound/35633/554699.mp3"
"marumuku aku makahlangulu, maru maci taluavaʉlʉ, kiʉlʉsʉ ucani pihlingi a mu musa makahlangulu.","I like swimming. During the holidays, our whole family go swimming together.","我喜歡游泳，放假的時候，我們全家會一起去游泳。","https://web.klokah.tw/text/sound/35633/554700.mp3"
"marumuku ku pautuahlangi laʉlaʉvʉ varu’u, acahli a mu pahlulʉsʉ pahlusahli hla makahlangulu.","I love meeting new people, we can sing and swim together.","我喜歡認識新朋友，我們可以一起唱歌和游泳。","https://web.klokah.tw/text/sound/35633/554701.mp3"
"mamaini ku tahlana Hla’alua","I am an Hla’alua child.","我是拉阿魯哇族的小孩。","https://web.klokah.tw/text/sound/35637/554745.mp3"
"maruaru Rʉhlʉcʉ salia hlamu.","Our family lives in Rʉhlʉcʉ.","我們家住在浮萍。","https://web.klokah.tw/text/sound/35637/554746.mp3"
"matarungahlʉ salia hlamu maru cucu’u lalima.","There are five people in our family.","我們家共有五個人。","https://web.klokah.tw/text/sound/35637/554747.mp3"
"salia hlamu maru ahlahlalua hlimihlimilavaʉ tatulu.","There are three brothers and sisters in our family.","我們家有三個兄弟姊妹。","https://web.klokah.tw/text/sound/35637/554748.mp3"
"miaʉlʉsʉ aku ama’a, ina’a, ahlalua hlahlusa nua ahlalua ahlaina.","I live with my father, mother, brother and sister.","我跟爸爸、媽媽、哥哥和姊姊住在一起。","https://web.klokah.tw/text/sound/35637/554749.mp3"
"amaku tam langica, amaku ia ’aumu.","My father is tall and he is a policeman.","我的爸爸很高，我的爸爸是警察。","https://web.klokah.tw/text/sound/35637/554750.mp3"
"tam mirihli a inaku, maisasavusavuanʉ inaku.","My mother is thin and my mom is a doctor.","我的媽媽很瘦，我的媽媽是醫生。","https://web.klokah.tw/text/sound/35637/554751.mp3"
"ma salia macahlia ama’ana pialʉsʉ a mu masi kari tahlana.","My father speaks the Hla′alua language with us at home.","爸爸在家會和我們說族語。","https://web.klokah.tw/text/sound/35637/554752.mp3"
"taluvaʉlʉ ahlamacicia rianʉ a mu puaili miararuma.","We will all go back to the tribe during the summer vacation.","我們暑假都會回部落。","https://web.klokah.tw/text/sound/35637/554753.mp3"
