"a pitu waluwan i, muka ku i takesian a uninan.","I arrived at school at seven today.","我今天七點到學校。","https://web.klokah.tw/text/sound/35677/555388.mp3"
"uwangesall mi lla temakesi. musabak i takakesian na sinsi. “karetigir driya! semungala ta!” kema na kemakedreng dra risarisan.","It’s time for class , the teacher walked into the classroom, and the monitor said: “Stand up! Salute!”","上課了，老師走進教室，班長說:「起立!敬禮!」","https://web.klokah.tw/text/sound/35677/555389.mp3"
"pakireb mi marengay dra, “sinsi, inabayan!”","We said loudly, “Hi, teacher.”","我們大聲的說：「老師好。」","https://web.klokah.tw/text/sound/35677/555390.mp3"
"a temakakesi mi i, tu paladamaw mi kana sinsi temarapuyuma dra aaipan.","In class, the teacher taught us the Pinuyumayan language of numbers.","上課的時候，老師教我們數字的族語。","https://web.klokah.tw/text/sound/35677/555391.mp3"
"kurenang mi kana sinsi maip. semenay mi kana senay na aaipan.","We followed the teacher to read, we sang the number song.","我們跟著老師唸，我們唱了數字歌。","https://web.klokah.tw/text/sound/35677/555392.mp3"
"sadru ku niladaladaman na ngai na tinarapuyuma.","I have learned many Pinuyumayan languages.","我學會好多族語。","https://web.klokah.tw/text/sound/35677/555393.mp3"
"muka ku i takesian aw meladaladam ku temarapuyuma kana wawariwari. rarengay ku pakillengaw kan ina.","I go to school every day, I learn the Pinuyumayan language every day, and I want to tell my mother.","我天天上學，我天天學族語，我要講給媽媽聽。","https://web.klokah.tw/text/sound/35677/555394.mp3"
"i Balliballi ku ngalad.","My name is Balliballi.","我的名字是Balliballi。","https://web.klokah.tw/text/sound/35681/555442.mp3"
"i Asing tu ngalad kan namalli.","My dad’s name is Asing.","我爸爸的名字是Asing。","https://web.klokah.tw/text/sound/35681/555443.mp3"
"i Igan tu ngalad kan nanalli.","My mother’s name is Igan.","我媽媽的名字是Igan。","https://web.klokah.tw/text/sound/35681/555444.mp3"
"muketrep ku ami garem.","I am 10 years old.","我今年10歲。","https://web.klokah.tw/text/sound/35681/555445.mp3"
"misasa i baelli na mainayan. i Kunas tu ngalad. muketrep miasma dra saya tu ami garem.","I have a brother, his name is Kunas, he is 11 years old.","我有一個哥哥，他叫Kunas，他今年11歲。","https://web.klokah.tw/text/sound/35681/555446.mp3"
"mukasa mi dra takesian temakesi.","We study in the same school.","我們在同一間學校讀書。","https://web.klokah.tw/text/sound/35681/555447.mp3"
"sagar mi semenay kay baelli na mainayan.","Both my brother and I like to sing.","我和哥哥都喜歡唱歌。","https://web.klokah.tw/text/sound/35681/555448.mp3"
"sagar ku mellanguy. an kasedean i, sarumaenan mi muka mellanguya.","I like swimming. During the holidays, our whole family go swimming together.","我喜歡游泳，放假的時候，我們全家會一起去游泳。","https://web.klokah.tw/text/sound/35681/555449.mp3"
"sagar ku kirekalladram dra ngidrangidrayan. karuwa mi sallangan semenay aw mellanguy.","I love meeting new people, we can sing and swim together.","我喜歡認識新朋友，我們可以一起唱歌和游泳。","https://web.klokah.tw/text/sound/35681/555450.mp3"
"a wallak ku dra Pinuyumayan.","I am an Pinuyumayan child.","我是卑南族的小孩。","https://web.klokah.tw/text/sound/35685/555494.mp3"
"kaadru mi i Puyuma.","Our family lives in Puyuma.","我們家住在普悠瑪。","https://web.klokah.tw/text/sound/35685/555495.mp3"
"miyalluwatr mi sarumaenan.","There are five people in our family.","我們家共有五個人。","https://web.klokah.tw/text/sound/35685/555496.mp3"
"miyatelu mi maluwadiyadi.","There are three brothers and sisters in our family.","我們家有三個兄弟姊妹。","https://web.klokah.tw/text/sound/35685/555497.mp3"
"i namalli, i nananlli, i baelli na mainayan, i baelli na babayan aw kuyku i, mukasa mi kikadru.","I live with my father, mother, brother and sister.","我跟爸爸、媽媽、哥哥和姊姊住在一起。","https://web.klokah.tw/text/sound/35685/555498.mp3"
"asatr i namalli, a kinsas i namalli.","My father is tall and he is a policeman.","我的爸爸很高，我的爸爸是警察。","https://web.klokah.tw/text/sound/35685/555499.mp3"
"idriidriwan i nanalli. a ising i nanalli.","My mother is thin and my mom is a doctor.","我的媽媽很瘦，我的媽媽是醫生。","https://web.klokah.tw/text/sound/35685/555500.mp3"
"an kadru i ruma i namalli i, temarapuyuma kimadrayar kaniyam.","My father speaks the Pinuyumayan language with us at home.","爸爸在家會和我們說族語。","https://web.klokah.tw/text/sound/35685/555501.mp3"
"an kasedean dra kadenunan i takesian i, muruma mi i drekall.","We will all go back to the tribe during the summer vacation.","我們暑假都會回部落。","https://web.klokah.tw/text/sound/35685/555502.mp3"
"kurenang ku kana baelli muka kitabillaellaa.","My brothers and sisters and I will catch frogs together.","我和兄姊會一起抓青蛙。","https://web.klokah.tw/text/sound/35685/555503.mp3"
"sagar ku kaniyam trau i sabak.","I like our family very much.","我很喜歡我們家的人。","https://web.klokah.tw/text/sound/35685/555504.mp3"
"marenang ku kan nanalli muka muwadrangiya a uninan.","I went out with my mother today.","今天我和媽媽出去玩。","https://web.klokah.tw/text/sound/35689/555552.mp3"
"tremangiya na langitr a uninaninan. adri llitek aw adri bias na wari. salaw ayaw na bali.","The sky is blue during the day, the weather is neither cold nor hot, and the wind is cool.","白天的天空很藍，天氣不冷也不熱，風很涼爽。","https://web.klokah.tw/text/sound/35689/555553.mp3"
