"pituwa tuki mukuwa ku i kungkuwan.","I arrived at school at seven today.","我今天七點到學校。","https://web.klokah.tw/text/sound/35821/557635.mp3"
"takakesi lra, musavak na sinsi i takesiyan, marengay na pancang “katikedir! sungar!”","It’s time for class , the teacher walked into the classroom, and the monitor said: “Stand up! Salute!”","上課了，老師走進教室，班長說:「起立!敬禮!」","https://web.klokah.tw/text/sound/35821/557636.mp3"
"tamuni mi marengay da ”sinsi ’inavayan’’.","We said loudly, “Hi, teacher.”","我們大聲的說:「老師好。」","https://web.klokah.tw/text/sound/35821/557637.mp3"
"nu temakakesi mi mu, panadam na sinsi kaniyam kana tinarakasavakan na maiyuiyup na ngai.","In class, the teacher taught us the Pinuyumayan language of numbers.","上課的時候，老師教我們數字的族語。","https://web.klokah.tw/text/sound/35821/557638.mp3"
"mitulus mi kana sinsi miyup, di semenay mi kana maiyuiyup na senay.","We followed the teacher to read, we sang the number song.","我們跟著老師唸，我們唱了數字歌。","https://web.klokah.tw/text/sound/35821/557639.mp3"
"sadu lra nangku kinasayhu kananta piningaiyan.","I have learned many Pinuyumayan languages.","我學會好多族語。","https://web.klokah.tw/text/sound/35821/557640.mp3"
"mukuwa ku i kungkuwan kana wariwari diya, menadanadam ku kananta piningaiyan kana wariwari, rarengay ku pakinger kani nani.","I go to school every day, I learn the Pinuyumayan language every day, and I want to tell my mother.","我天天上學，我天天學族語，我要講給媽媽聽。","https://web.klokah.tw/text/sound/35821/557641.mp3"
"i Kadaw ku ngadan.","My name is kadaw.","我的名字是kadaw。","https://web.klokah.tw/text/sound/35825/557689.mp3"
"i Asing tu ngadan ni malri.","My dad’s name is Asing.","我爸爸的名字是Asing。","https://web.klokah.tw/text/sound/35825/557690.mp3"
"i Ikay tu ngadan ni nani.","My mother’s name is Ikay.","我媽媽的名字是Ipay。","https://web.klokah.tw/text/sound/35825/557691.mp3"
"mukecep ku ’ami harem.","I am 10 years old.","我今年10歲。","https://web.klokah.tw/text/sound/35825/557692.mp3"
"ulra ku iva na ma’inay a sasa, i Udalr tu ngadan, pulu’sa tu ’ami harem.","I have a brother, his name is Udalr, he is 11 years old.","我有一個哥哥，他叫kulas，他今年11歲。","https://web.klokah.tw/text/sound/35825/557693.mp3"
"mukasa mi temakesi kana kungkuwan.","We study in the same school.","我們在同一間學校讀書。","https://web.klokah.tw/text/sound/35825/557694.mp3"
"ingku di i valri na ma’inay mu, sahar mi semenay.","Both my brother and I like to sing.","我和哥哥都喜歡唱歌。","https://web.klokah.tw/text/sound/35825/557695.mp3"
"sahar ku pakulima, nu kasede’an mu, mukasa mi saruma’enan mukuwa pakulimaya.","I like swimming. During the holidays, our whole family go swimming together.","我喜歡游泳，放假的時候，我們全家會一起去游泳。","https://web.klokah.tw/text/sound/35825/557696.mp3"
"sahar ku kirekadalram da vekalan na ’aliyan, karuwa mi mukasa semenay di pakulima.","I love meeting new people, we can sing and swim together.","我喜歡認識新朋友，我們可以一起唱歌和游泳。","https://web.klokah.tw/text/sound/35825/557697.mp3"
"lralrak ku a pinuyumayan.","I am an pinuyumayan child.","我是卑南族的小孩。","https://web.klokah.tw/text/sound/35829/557741.mp3"
"kaadu mi i Kasavakan.","Our family lives in Kasavakan.","我們家住在建和。","https://web.klokah.tw/text/sound/35829/557742.mp3"
"lralruwac mi kaniyam i ruma’.","There are five people in our family.","我們家共有五個人。","https://web.klokah.tw/text/sound/35829/557743.mp3"
"tatelu mi maruwadiyadi i ruma’.","There are three brothers and sisters in our family.","我們家有三個兄弟姊妹。","https://web.klokah.tw/text/sound/35829/557744.mp3"
"ingku di i malri, i nani, i valri na ma’inay di i valri na vavayan.","I live with my father, mother, brother and sister.","我跟爸爸、媽媽、哥哥和姊姊住在一起。","https://web.klokah.tw/text/sound/35829/557745.mp3"
"tihasar i malri, kinsas i malri.","My father is tall and he is a policeman.","我的爸爸很高，我的爸爸是警察。","https://web.klokah.tw/text/sound/35829/557746.mp3"
"valivaliw i nani, ising i nani.","My mother is thin and my mom is a doctor.","我的媽媽很瘦，我的媽媽是醫生。","https://web.klokah.tw/text/sound/35829/557747.mp3"
"nu kadu i ruma’ i malri temarakasavakan kaniyan.","My father speaks the Pinuyumayan language with us at home.","爸爸在家會和我們說族語。","https://web.klokah.tw/text/sound/35829/557748.mp3"
"nu kasede’an na derun mu, adi aadi mi muruma’ i dekalr.","We will all go back to the tribe during the summer vacation.","我們暑假都會回部落。","https://web.klokah.tw/text/sound/35829/557749.mp3"
"marelrang ku kana valri ’emvang da kakiyas.","My brothers and sisters and I will catch frogs together.","我和兄姊一起抓青蛙。","https://web.klokah.tw/text/sound/35829/557750.mp3"
"sahar ku kananiyam cau i ruma’.","I like our family very much.","我很喜歡我們家的人。","https://web.klokah.tw/text/sound/35829/557751.mp3"
