"ya na ikapito no toki am ko mangay do gako.","I arrived at school at seven today.","我今天七點到學校。","https://web.klokah.tw/text/sound/35869/558384.mp3"
"ya mapakzikzing am, ya somdep do pivatvatekan o sinsi namen, maniring o nipamnekan namen a panirsiringen am “tomanek! amlogod.”","It’s time for class , the teacher walked into the classroom, and the monitor said: “Stand up! Salute!”","上課鐘響，老師走進教室，班長說:「起立!敬禮!」","https://web.klokah.tw/text/sound/35869/558385.mp3"
"“kamina kong” koan namen a ya mazizigton.","We said loudly, “Hi, teacher.”","我們很有精神的說:「老師好。」","https://web.klokah.tw/text/sound/35869/558386.mp3"
"macinanao namen am, nanaoen na yamen no sinsi do ipivilavilang no Tao.","In class, the teacher taught us the Yami language of numbers.","上課的時候，老師教我們數字的族語。","https://web.klokah.tw/text/sound/35869/558387.mp3"
"namen to macilolo do sinsi a mivilang, namen nianood paa o anood no vilavilang.","We followed the teacher to read, we sang the number song.","我們跟著老師唸，我們唱了數字歌。","https://web.klokah.tw/text/sound/35869/558388.mp3"
"ya aro o ko katengengan rana ciriciring no Tao.","I have learned many Yami languages.","我學會好多族語。","https://web.klokah.tw/text/sound/35869/558389.mp3"
"ko mangday so araraw a mangay do gako, ko mangday so araraw a macinanao do ciriciring no Tao, ta ipamizing ko jira ama a ka ni ina.","I go to school every day, I learn the Yami language every day, and I want to tell my mother.","我天天上學，我天天學族語，我要講給爸爸媽媽聽。","https://web.klokah.tw/text/sound/35869/558390.mp3"
"ngaran ko am si Mamzat.","My name is Mamzat.","我的名字是Mamzat。","https://web.klokah.tw/text/sound/35873/558438.mp3"
"ngaran ni ama am siaman Manineng.","My dad’s name is Manineng.","我爸爸的名字是siaman Manineng。","https://web.klokah.tw/text/sound/35873/558439.mp3"
"ngaran ni ina am sinan Manineng.","My mother’s name is Manineng.","我媽媽的名字是sinan Manineng。","https://web.klokah.tw/text/sound/35873/558440.mp3"
"ya asa ngarnan o kakawakawan ko siciawan ya.","I am 10 years old.","我今年10歲。","https://web.klokah.tw/text/sound/35873/558441.mp3"
"ya asa o kaka ko a mehakay, ngaran na am si Manineng, ya asa so ikaroa na ngarnan no kakawakawan na.","I have a brother, his name is Manineng, he is 11 years old.","我有一個哥哥，他叫Manineng，他今年11歲。","https://web.klokah.tw/text/sound/35873/558442.mp3"
"ya namen miyangay so pivatvatekan a gako.","We study in the same school.","我們在同一間學校讀書。","https://web.klokah.tw/text/sound/35873/558443.mp3"
"yaken a ka ni kaka mehakay am, namen teymakey a mianoanood.","Both my brother and I like to sing.","我和哥哥都喜歡唱歌。","https://web.klokah.tw/text/sound/35873/558444.mp3"
"ko makey a miawawat, no ya miwalam am, namen mangay miawawat a asa ka vahay.","I like swimming. During the holidays, our whole family go swimming together.","我喜歡游泳，放假的時候，我們全家會一起去游泳。","https://web.klokah.tw/text/sound/35873/558445.mp3"
"ko makey a maciboang do vayo a kagagan, ta apia a kapieza namen a mangay mianoanood a ka no miawawat.","I love meeting new people, we can sing and swim together.","我喜歡認識新朋友，我們可以一起唱歌和游泳。","https://web.klokah.tw/text/sound/35873/705919.mp3"
"yaken am anak no tao do pongso.","I am an tao child.","我是達悟族的小孩。","https://web.klokah.tw/text/sound/35877/558490.mp3"
"namen mivaay do Takaw.","Our family lives in Kaohsiung.","我們家住在高雄。","https://web.klokah.tw/text/sound/35877/558491.mp3"
"namen lalima a ka tao do vaay namen.","There are five people in our family.","我們家共有五個人。","https://web.klokah.tw/text/sound/35877/558492.mp3"
"namen talo a maketeketeh do vaay namen.","There are three brothers and sisters in our family.","我們家有三個兄弟姊妹。","https://web.klokah.tw/text/sound/35877/558493.mp3"
"yaken a ka ni ama a ka ni ina a ka nira kaka a ya matovong do vaay namen.","I live with my father, mother, brother and sister.","我跟爸爸、媽媽、哥哥和姊姊住在一起。","https://web.klokah.tw/text/sound/35877/558494.mp3"
"ya makarang si ama, si ama am mikalsong.","My father is tall and he is a policeman.","我的爸爸很高，我的爸爸是警察。","https://web.klokah.tw/text/sound/35877/558495.mp3"
"Ya magolang si ina, si ina am koysang.","My mother is thin and my mom is a doctor.","我的媽媽很瘦，我的媽媽是醫生。","https://web.klokah.tw/text/sound/35877/558496.mp3"
"No ya mian si ama do vaay namen am, na sirisiringen yamen no ciring no tao do pongso.","My father speaks the Tao language with us at home.","爸爸在家會和我們說族語。","https://web.klokah.tw/text/sound/35877/558497.mp3"
