"sawn kani kmkgi. sawn kani ’mlsay. sawn kani ’masan kmagas nuka. sawn kani ku mnuka. sawn kani tminun plyung.","苧麻是如此削去外皮的 麻線是如此理經的 苧麻是薯榔汁液來染色的 麻線是如此接麻線的 麻布匹是如此編織的","https://web.klokah.tw/text/sound/19262/321674.mp3"
"sawn kani kmkgi. sawn kani ’mlsay. sawn kani ’masan kmagas nuka. sawn kani ku mnuka. sawn kani tminun plyung.","苧麻是如此削去外皮的 麻線是如此理經的 苧麻是薯榔汁液來染色的 麻線是如此接麻線的 麻布匹是如此編織的","https://web.klokah.tw/text/sound/19262/321675.mp3"
"sawn kani kmkgi. sawn kani ’mlsay. sawn kani ’masan kmagas nuka. sawn kani ku mnuka. sawn kani tminun plyung.","苧麻是如此削去外皮的 麻線是如此理經的 苧麻是薯榔汁液來染色的 麻線是如此接麻線的 麻布匹是如此編織的","https://web.klokah.tw/text/sound/19262/321676.mp3"
"yata Ali:","阿莉阿姨：","https://web.klokah.tw/text/sound/19263/321677.mp3"
"uwah mlahuy linhuyan na yugiy m’yebu sasan ki, musa pyang betunux balay ru lawkah hi su la.","來參加晨間有氧舞蹈班，你會變得健美又養身。","https://web.klokah.tw/text/sound/19263/321678.mp3"
"lalu: Ciwas‧Torih 2013/05/23","姓名：吉瓦絲•斗睿 日期：2013年05月23日","https://web.klokah.tw/text/sound/19263/321679.mp3"
"mama Tuyaw:","督耀叔叔：","https://web.klokah.tw/text/sound/19263/321680.mp3"
"musa ta mayah su sasan, llungiy tikay n’inu ku pt’yagun ta.","我們明天要去您的田裡，想一下我們要做哪些工作。","https://web.klokah.tw/text/sound/19263/321681.mp3"
"lalu: Kagi‧Yupas 2013/05/24","姓名：嘎義•優帕司 日期：2013年05月24日","https://web.klokah.tw/text/sound/19263/321682.mp3"
"mki kala ok, pyang naha p’asun balay.","在卡拉OK，受歡呼的不夜城，","https://web.klokah.tw/text/sound/19264/321683.mp3"
"ini abi tehuk s’ka byangi, niya m’as m’uwas ru blay ks’li naha smru gali lihun, ini ba’iy nanu niya sngusun gmiba, rngu msnenu balay.","我們用歌聲和情緒 撐起迷離易碎的帷幕 我們各自擁抱相沿成習的主題","https://web.klokah.tw/text/sound/19264/321684.mp3"
"mkzinut kinyanux, buw rozi mimaw rnang msmuyux.","生活的滄桑、淪落的血淚","https://web.klokah.tw/text/sound/19264/321685.mp3"
"kahun zik lhlahuy shri alang musa myanux heci, niwan ungat r’iyas nya myanux heci na syux.","離鄉背井的孤單啊 我們都是都會裡失去臉龐的魚群…","https://web.klokah.tw/text/sound/19264/321686.mp3"
"kyala sami ’siy ga ba nanak mlngya nbang. ini ba’iy mki utux ryax ga innki nya rmayas, tl’tu, ru mku’um sya, rema wayan hawrun te rahu bsilung kwara la.","也許我們是一條條放牧的鮭魚 哪一天把洶湧的、冰冷的和黑暗的浪潮統統還給大海","https://web.klokah.tw/text/sound/19264/321687.mp3"
"masay hkangi tu’iy ’binah sku ’ringan innki uwang gawng.","沿來時的路回到最初的源頭","https://web.klokah.tw/text/sound/19264/321688.mp3"
"slaliy, niya mgluw m’umah yaya ki la’i knerin. ini ga ga txiy ku m’ilang ma la’i knerin, mkilux kayan ungat inlungan nya m’umah, ini kbsya helaw mhngi tkmu mtsasi. yaya hiya ga ’ngyat mtzinah m’umah, mutuw nya ks’angun krryax ku la’i. “atuni ini su p’umah, ps’utang su la.’’","很久以前，有一對母女在田園工作。女兒生性懶惰，因天氣炎熱，沒有心情工作，不一會兒就到大樹底下找陰涼處休息。母親則是性急又勤快的人，她常責罵女兒說：「如果妳不工作，就會餓死了。」","https://web.klokah.tw/text/sound/19265/321689.mp3"
"utux ryax niya ngyat tmabun, kmwih tikay hyan, mpurung pazih la! kblayun nya pazih ru kmwih tikay lozi, phuw lawzi bingan nya! kintugan nya kmwih, sungun mphuw! memaw ya’ih inlungan nya, nanu lnglung maha: “huwa siki m’buk ru m’umah!’’ siy txiy, niya mbci lungan la’i hani lru nyalun nya kmwih, mphuw lozi bingan nya. nanu nangi pmhngi tikay ru ’siy nya bta’iy byux nya. minkux ru tnahun nya nanak, ana nya siy ht’iy ga sungun ini ba’iy phtuw. ini kbsya, yaku bingan memaw nya htgan kalux kumis, ana kwara hi nya niya mt’iyuw uzi la. sawn kani mta’yux lga m’ilang la’i knerin ima ba niya mt’iyuw ru kyan lipung m’yungay la.","有一次在上山耕作的時候，女兒只要一挖地，小鋤頭就斷掉！回頭就重做小鋤頭，但是挖了又斷！一連做三次，小鋤頭還是斷掉！女兒心裡很不高興，就心想：「為什麼要那麼辛苦工作！」於是女孩一氣之下，將小鋤頭用力一挖，鋤頭的握柄又斷了。她索性走到大樹底下休息，並把斷掉的把柄撑在自己的屁股上。情急之下，女孩不小心把小鋤頭斷柄插入了肛門，她一直拔呀拔，鋤頭斷柄怎麼樣也拔不出來。不久，那塞入的木柄長出黑毛，身上也開始有了變化，結果那位懶惰的小女孩竟然變成一隻有尾巴的猴子。","https://web.klokah.tw/text/sound/19265/321690.mp3"
"minkux yaya ini nya luy la’i, tehuk sali ga kyalun nya tmalung kwara ku yuwaw la’i naha. memaw nya s’aras hbayaw tayan hkangi. ana nya siy khngiy ga sungun ana utux limu ga ini naha luy. aring kya laga mutuw naha txan utux yungay nguk ka siy kinlawkah muwah s’la mkuri mani ngahi.","找不到女兒的母親非常焦急，回家把事情告訴丈夫，並帶了許多人去尋找女兒，卻都沒有發現女兒的蹤影。從那時開始，經常都會有猴子到田裡來偷吃地瓜。","https://web.klokah.tw/text/sound/19265/321691.mp3"
"nanu ita Tayan, m’ilang ru pyang sknani ku yungay son ta, blay nya mtlaylay lhlahuy ini p’umah. niya kmayan kinbahan maha m’ilang tayan, atuni ini kngyat m’umah lga musa krangi yungay nguk, siy ptlaylay ptkga lhlahuy, musa siy ga khaysip tayan ku kinyanux la.","泰雅族人認為猴子好吃懶作，在森林裡晃來晃去不工作。這個故事告訴後代子孫，懶惰的人若不勤勞工作，就會像猴子那樣四處流浪。","https://web.klokah.tw/text/sound/19265/321692.mp3"
"skahun kay na Tayan mita, biru hani ga yuwaw na Tayan. niya smungus tinlalu na s’uli, ana ga pyang nya balay yuwaw na Tayan hiya ga niya nya skayan yuwaw na ‘‘s’uli’’, kwara s’uli hiya ga Tayan kwara lalu nya.","在泰雅語來看，Tayan(泰雅)的意思；指涉族人的稱呼，可是他真正的意思有講到：「人」，所有的人都叫Tayan，都是人。","https://web.klokah.tw/text/sound/19266/321693.mp3"
"nanu asa, kmayan kung maha, sami s’uli Tayan hiya ga t’aring sami tinrhyan pinsgayang Pinsbkan, mggayang musa cintlangan Taycuw, cintlangan Bare, cintlangan Sinciku, cintlangan Toyeng, cintlangan Bnka, cintlangan Karinko, cintlangan Girang…mspat kwara cintlangan Ken, mpuw sazing Go, m’isu pgan mt’yu kwara alang, niya siy mihun myanux nanak uzi ru memaw niya mbhuyaw myanux kwara.","因此我要講，我們泰雅人從南投賓斯博幹發祥地散居到臺中、苗栗、新竹、桃園、臺北、花蓮、宜蘭等…八個縣12個鄉96個部落；延續生存著；也都有生活上發展。","https://web.klokah.tw/text/sound/19266/321694.mp3"
"hani ku pinhkngyan pilung na Tayan ru kinlkahan tninun naha thuyay myanux tninun nanak nku ita Tayan.","這就是，泰雅腳蹤，泰雅的生命力。","https://web.klokah.tw/text/sound/19266/321695.mp3"
"Watan Magin Boksi, kahun pyang twahi tnu pklabang ptkay yuwaw Lyutux Kayan, hiya ga s’uli cintlangan Kanata, muwah sku Taywang, kwara kinyanux nya ga mtyaw yuwaw p’yu gaga Kiristo, mki bih alang Tayan. pinktayux nya kay ru brwan biru hani ga, musa pthuyay smru sa mtmumu luhing pkyanux s’uli na Minzok, inbuyan yuwaw gaga hani. nanu asa, kwara kinlkahan nya smungus nya sa kbalay brwan biru kay na Tayan, sklahang nya skun nku kay Tayan, ru gmbang kay Tayan ka kay na Lyutux Kayan Sesyo.","加拿大籍的宣教士穆克禮（Watan Magin）牧師千里迢迢到臺灣，一生都在泰雅爾地區從事宣揚基督教福音的工作。他察覺到語言、文字對一個民族的存亡命脈、文化的延續有著相當深遠的影嚮。因此，他就致力於泰雅爾族文字的鑽研，以保存泰雅爾族母語及將聖經翻譯成族語。","https://web.klokah.tw/text/sound/19267/321696.mp3"
"utux seng m’isu kbhun mziman magan kayan ga, t’aring mkbaga kay Tayan, kyala haziy mki sa utux seng m’isu kbhun mziman mspat kayan ga wayan phtagan knalay nya ttxan biru kay Tayan, skura lnamu nya uwas trahu Lyutux, gnbang Sesyo, biru sinblayan ru wayan phtgan biru hani ga wayan nya kinstrahu balay pinktayux yuwaw nya!","一九五五年（民國四十四年），開始研究泰雅爾語言，並在一九五八年（民國四十七年）出版第一本簡易泰雅爾族語教材。他在泰雅爾聖詩的蒐集、聖經的翻譯、修訂與出版做出了偉大的貢獻！","https://web.klokah.tw/text/sound/19267/321697.mp3"
"ryax ’ringan byating, musa kung mhngi tikay rgyax. blay balay yengayan rrgyax, ru kayan mki sku alang. tehuk tmsu’an tmangu abaw lga, mhtuw m’toyu abaw lay sbhuyun behuy memaw blay sawkan insuna kayan, ’siy ga niya myugi abaw p’asun balay mta’yux.","月初，回山上小住。家鄉景物四季分明。晚春，枝上新抽的葉芽兒，粉粉嫩綠隨風輕顫，空氣是沁涼甘甜的清新味，教人欣喜。","https://web.klokah.tw/text/sound/19268/321698.mp3"
"txiy msbehuy tikay lku ’lyan ga, kuzing ki la’i knerin ini pk’yamin mgluw hmakay. siy sami tm’yasi musa rgayx, hnasun myan utux k’man utux abaw ga niwan bsya ini pktayux rrawin, ana a’abaw, kkhoni ga memaw mrawmun tmapih. wiy sami hmakay, wiy muw psb’anan lalu tayan na kwara a’abaw kk’man. mki runiy, aring sku kmpah rhyan k’man ru rrgayx babaw na lwax llipa ga, bba’un muw kwara rrawin. utux utux ayaw hnakay myan, mutuw kung kmtu puga la’aw ru kmata abaw, kruma kmtu kung utux kaka ru s’siban muw buw, memaw kung nya syun inlungan ru stubun kung ni la’i muw knerin Anniy.","微風的下午，和女兒安妮打赤腳散步。沿小徑往山上走，一草一木像久違的老友，枝葉款擺和我打招呼。我邊走邊教女兒念這些植物的泰雅名稱。在這裡，從貼地的土馬到插天的的老杉木，都是我極熟悉的朋友。","https://web.klokah.tw/text/sound/19268/321699.mp3"
"txiy ku pinhkngyan myan te tu’iy hani ga, hnyang lubuw ’siy ga niya thhuway psbehuy plaka sa ana n’inu rrgyax lay balay pungan, wiy kyan wiy ungat hngyang. memaw hyuci hnyang nya siy ga niya myugi. krangi uyuk kbhni niya maha cyu cyu m’uwas ru kahun uwang turing niya si…si… phngyang, ana mki kya ga sungun ini ba’iy kahun inu hnyang. ima hasa hiya? nanu yuwaw nya tlubuw, ’siy ga ungat yuwaw nya rwa? huwa ana niya psbhuyun ’lyan ga niya tlubuw na?","走著、走著，還啃一段草莖、吃一片樹葉、有時又嚼一朵花、吸一口花蜜，安妮對我簡直佩服得五體投地。 
一路行去，感覺微風中飄著縷縷笛聲、委婉悠揚，似有若無，極柔美、極自然，如啁啾鳥鳴、淙淙水聲，分明在那兒、卻渾不覺其存在。是誰？如此閒情逸致，在這樣暖暖春風的午后吹笛。","https://web.klokah.tw/text/sound/19268/321700.mp3"
"siy llgiy phngyang wayan te rruma cikuy tu’iy ru mhkuy cikay mhtuw te rgzin tu’iy yasi lga, txan nya glabang rhyan niwan niya lawn utux g’anus utux alang lozi.","沿竹林小徑隨聲尋去，轉個彎，視野豁然開朗，正是山窮水盡疑無路， 柳暗花明又一村。","https://web.klokah.tw/text/sound/19268/321701.mp3"
"runiy ga rhyan mama Saka, kwara rrgyax hani ga minmnayang ni mama, niya nya tbuxan kelang s’la. ini nya pmahiy lga, mutuw hbk’an l’awlu ru llmi’uy la. psbhuyun behuy lga memaw niya plaka pl’uw lyuw nya, lay balay txan ku llabang rhyan. syaw rruma ga kyan utux sali, rraw ru kinbalay kwara, mtanah mu’iy ring ga, pyang sswin sali hasa.","這裡是伯父沙卡的林地，整座山坡墾為梯田，休耕後長滿白茅，輕風拂過，滿山白浪翻滾，煞是壯麗。田邊竹林旁是一間矮瓦屋，紅頂泥牆，也算高齡的房子了。","https://web.klokah.tw/text/sound/19268/321702.mp3"
"llingay sali niya mhtuw rgyax kaka ucya ru utux rahu khoni mkaka sa tanah, ana hiyay sali ga kyan cikuy t’ngan niya tl’ung kya ku utux ruyux snunux la’i knerin niya nya syun cikuy tari nya biru ru wiy mki bawi wiy mki hugan na ba nya niya inlay tlubuw uwas, memaw ungat llungun nya niya siy tlubuw kya…ah! maha, ini kung kba balay matas biru yuw! atuna ba kung matas, nki muw rima ptasan kwara nku bbiru hani ru p’yanan inryang wawi ptxan ta nya kwara s’syun muw lalu nya maha ‘‘tlubuw yupan hnyang babaw rgyax’’ ini ga lalu na ‘‘ba tlubuw yupan na la’i knerin’’ na biru matas. kbla’yun khoni syasing yengayan ta, txan naha ku la’i knerin hasa ga niwan sa pyang ba mazit la’i knerin mki sku rgyax, sungun blay balay txan ki!","屋四周站著山茶花，一樹的火紅艷麗，縱然身處乏人玩賞的深山幽谷，卻依然爭先恐後地盡情開放；前院小板凳上，端端正正坐著一位長髮小女孩，膝上攤開一本書，兩手一上一下按著笛子，正陶然忘我地吹著…啊！我不會畫畫。不然，我要調一盤粉色系列的水彩，繪一幅四開的，取名為「山野笛聲」或「吹竹笛的女孩」的畫，用原木框裱起 來欣賞，她就像山中的小精靈，好美！","https://web.klokah.tw/text/sound/19268/321703.mp3"
"Mpuw Sinrhgan Kay na Lyutux Kayan","十誡","https://web.klokah.tw/text/sound/19269/321704.mp3"
"1. Laxiy mhmut sm’lyutux sku binah na ’lyutux.","第一誡：除了我以外，不可有別的神。（出20:2-17、申5:6-21）","https://web.klokah.tw/text/sound/19269/321705.mp3"
"2. Laxiy mhmut kbalay nanak sku phawkung.","第二誡：禁止拜偶像。（出20:4-6、申5:8-10）","https://web.klokah.tw/text/sound/19269/321706.mp3"
"3. Laxiy s’uraw lalu na Yaba su Lyutux Kayan.","第三誡：不可妄稱上帝的名。（出20:7、申5:11）","https://web.klokah.tw/text/sound/19269/321707.mp3"
"4. Siy llungiy ku ryax hngi’an ru laxiy sragiy mlahang.","第四誡：遵守安息日。（出20:8-11、申5:12-15）","https://web.klokah.tw/text/sound/19269/321708.mp3"
"5. Sblayiy balay ku yaba yaya su.","第五誡：孝敬父母。（出20:12、申5:16）","https://web.klokah.tw/text/sound/19269/321709.mp3"
"6. Laxiy phu’in s’uli.","第六誡：不可殺人。（出20:13、申5:17）","https://web.klokah.tw/text/sound/19269/321710.mp3"
"7. Laxiy apan.","第七誡：不可姦淫。（出20:14、申5:18）","https://web.klokah.tw/text/sound/19269/321711.mp3"
"8. Laxiy kuri.","第八誡：不可偷盜。（出20:15、申5:19）","https://web.klokah.tw/text/sound/19269/321712.mp3"
"9. Laxiy mhmut mk’ihuy.","第九誡：不可作假見證。（出20:16、申5:20）","https://web.klokah.tw/text/sound/19269/321713.mp3"
"10. Laxiy ks’ari.","第十誡：不可貪婪。（出20:17、申5:21） （摘錄於舊約聖經出埃及記20章2-17）","https://web.klokah.tw/text/sound/19269/321714.mp3"
"la’i la’i mu Tayan, ini tna ’kyan ta la, siy gluw gong musa, karaw rgyax hasa atuna kyan balay ’kyan ga, siy pk’yanux kya nanak la ki.","孩子，我的泰雅族人，這裡不夠我們居住，順著河流走，爬上那座高山，如果有美好的地方，就在那裡住下去，好好生活。","https://web.klokah.tw/text/sound/19270/321715.mp3"
"la’i la’i mu Tayan, ana su musa inu ga, laxiy yengay kinyanux ta, laxiy yengay kinhulan ta, siy inblay myanux, prraw mt’yaw kwara.","孩子，我的泰雅族人，不管你們去那裡，不要忘記我們，不要忘記了曾經居住的地方（pinsbkan），要好好的生活，要互相幫助，要同心協力的生活在一起。","https://web.klokah.tw/text/sound/19270/321716.mp3"
"gaga smlalu ta Tayan hiya ga p’buyan lalu yaba ru la’i. rima minnaki pyux llalu misu soni la, mhtuw ku mawkih ru ungay lga, mutuw naha s’agan utux binkisan ru pyang syun inlungan kwara alang ta pslalu nku la’i, mwana nki kahun minnay awyat nku lyutux binkisan ru kinlahang nya thuyay pggayang nku huway lyutux binkisan ta.","泰雅人的命名採親子連名制。原先族裡已有許多常用而現成的名字，嬰兒出生後，一般選擇自己同宗的祖先中，最有聲望，或最像新生兒的一位，把他的名字再轉予命名，希望能託祖先之福，受到庇蔭，發揚祖先德澤。","https://web.klokah.tw/text/sound/19271/321717.mp3"
"lalu Tayan hiya ga, minkahun sku s’unun naha sazing lalu. te gleng ga lalu na la’i, te suruw lga lalu na yaba ru yaya. krangi sa, Walis Yukan. ‘‘lalu nya nanak ru lalu yaba’’.","泰雅人的名字，是由兩個名字連接而成的。前面是孩子的名字，後面接的是父親或母親的名字。例如：瓦歷斯．尤幹（本人的名、父親的名）。","https://web.klokah.tw/text/sound/19271/321718.mp3"
"ye’igiy minkahun sku s’unun sazing lalu, pyanga sa utux utux Tayan ta ga bba’un naha lnglung lalu ru lalu binkisan naha. smlalu ita Tayan hiya ga, utux ga ’buyan lalu binkisan, siki la sinkux naha musa ptna lalu yaba yaya ru lalu mntsway, nanu iy lalu tmalung ga ini naha galiy lalu ni yaba ru mntsway nya tmalung, lalu knerin ga ini naha galiy lalu ni yaya ru mntsway nya knerin. txiy ku pyang suyan la’i tmalung hiya ga lay s’agan lalu yutas, pyang suyan knerin ga lay s’agan lalu yaki. ita Tayan tmalung lalu nya hiya ga mutuw naha s’agan sa pyang mawtux ru mtlokah hi, lalu knerin ga mutuw naha s’agan sa betunux ru ba balay tminun.","由於連名制，使每一位泰雅族人更方便記憶其袓先名字。泰雅族命名時，一方面雖襲用袓先舊名，但亦同時避諱與父母或兄弟妹妹同名，男性避用父兄之名、女性避用母姐之名；而長子襲用袓父之名、長女襲用袓母之名為多。泰雅族男性的名字皆喻壯大驍勇，女性的名字則喻美麗纖巧之意義。","https://web.klokah.tw/text/sound/19271/321719.mp3"
