"ṟapiriy! ṟapiriy.","蝴蝶啊！蝴蝶，","https://web.klokah.tw/text/sound/19337/324341.mp3"
"talagay su’ kinramas taxan.","你長得很漂亮，","https://web.klokah.tw/text/sound/19337/324342.mp3"
"yona hungu’ amutux kinramas taxan ka alihuṟ su’","你的翅膀就像彩虹一樣美麗。","https://web.klokah.tw/text/sound/19337/324343.mp3"
"umihul su’ hahayak ci aṟingu’ na ṟapak, mulaka’! lu mulaka’!","為了採花蜜，不停的飛啊飛，","https://web.klokah.tw/text/sound/19337/324344.mp3"
"hita’ su’ muṟaṟing mananang mukura’ kaṟal bawi’.","期待你更堅強勇敢的迎向天空。","https://web.klokah.tw/text/sound/19337/324345.mp3"
"kuṟing ga Bakan Nawi’, mapusal matṟu’ ingkaṟalan linpagan mu ci patas la. tehuk matṟu’ buṟating ingkaṟalan hani, wal mu su’un lunpuw ka patas linpagan mu Amerika la. wal cu magal ci patas pincungus na masu’ lunpuw cika linpagan mu hani’ uṟi la. mamaha’ cu mumaṟah galeng ni’ hani ga, makmatox cu ci rararal, cacun mu cimu i mapitu’ buṟating utux rex na malahngan matṟu wagi’ ga, awah magluw matisal moṟow mu kora’. awah caṟung kay!","我是Bakan Nawi’，辛苦認真讀書已經二十六年了，好不容易今年六月已從美國修完課程，拿到博士學位，在進入職場之前，除了想見見久違的親友之外，也邀請親友在七月一日晚上六點半能到家裡聚一聚，一定要來喔！","https://web.klokah.tw/text/sound/19338/324346.mp3"
"ini’ ta’ ba’iy ye kanon ka pakelan na rex makaktox ta’ lu makakaṟal ci ke’ ta’ nak, salahaw manapung ci insa’ na kinnabkisan, lu mapatisal ci intana’an makaṟal ci sunkakaru’ na inohan rali’, palamoh cu caṟung ci a’awah mamu.","不知道何時能再有機會和大家說說Plngwan的話，聽聽耆老的傳說故事，和同學聊小時候的笑話，我真的很期待你們的到來。","https://web.klokah.tw/text/sound/19338/324347.mp3"
"cumun; Bakan．Nawi’","邀請人：Bakna．Nawi’","https://web.klokah.tw/text/sound/19338/324348.mp3"
"kanon ka maṟumul lu pascex caṟung ka buṟating?","什麼時候的月亮最圓、最亮？","https://web.klokah.tw/text/sound/19339/324349.mp3"
"maspat buṟating malapṟow ṟamagal rex maṟumul lu pascex caṟung ka buṟating.","每年的八月十五日月亮最圓、最亮。","https://web.klokah.tw/text/sound/19339/324350.mp3"
