"palhi’azazakin a qali,","生日","https://web.klokah.tw/text/sound/19737/363678.mp3"
"piaqaran ihu thuini,","祝你今日（生日）快樂","https://web.klokah.tw/text/sound/19737/363679.mp3"
"piaqitan ihu thuini,","祝你今日（生日）安好","https://web.klokah.tw/text/sound/19737/363680.mp3"
"piakaimahan ihu thuini.","祝你今日（今日）平安","https://web.klokah.tw/text/sound/19737/363681.mp3"
"Puni, maqitan ihu,","Puni你好：","https://web.klokah.tw/text/sound/19738/363682.mp3"
"shinai yaku thuini a shashanu mihu a taun, amakikalhi yaku ihun sa numanuma wa palhkakrikriw, pambalabalay uka ihu itaun, numa mathuaw yaku palhaqaan antu mriqaz ihun. amuqtha yaku munai ya simaq, maqa itia naak a palhkakrikriw amakikalhi ihun. ya simaq a shashanu kitaun ihu mitalhawan yakin wa? anuniza!","今天早上我來你家，想請教您事情，剛好你不在家，很可惜沒有見到你。明天我還會再來，因為我有事情想請教你。明天早上請你在家裡等我好嗎？ 謝謝你！","https://web.klokah.tw/text/sound/19738/363683.mp3"
"mihu a huruy Tuba","你的朋友　Tuba","https://web.klokah.tw/text/sound/19738/363684.mp3"
"yamin tu kahiwan, naam a tanatuqash initusi Alishan minthau. numa yamin tu alus’an, kadadu’un sa parhaway kmilhim sa lhkaribush.","很早以前，我們的祖先住在阿里山。將過年之前，被挑選出來的年輕人們出發去尋找森林中的山禽野獸。","https://web.klokah.tw/text/sound/19739/363685.mp3"
"mashtay sa parhaway kmilhim sa lhkaribush, ianan sa kmalawa tuqris sa takith, numa sa suma wa parhaway shmushuz atu muribush, kmathu sa futulh mat sa lhpazishan amuribush, makunasai hudun muribush.","年輕人們四處尋找獵物，有的人設陷阱捉山羌，也有其他的年輕人牽著狗，帶著弓和箭上山去打獵。","https://web.klokah.tw/text/sound/19739/363686.mp3"
"numa sa atu muhiaw mungqtu sa lhkaribush a qnuan, numa isai hudun mingkakarungkun. numa tu mingqaraiza mialunlunduz makunasai ruku, qaqutilhin sa atu, miazithuiza mialunlunduz makunanai zain thuini Tungpuu a pruq.","狗很快地發現了白色的鹿，白鹿在山裡繞來繞去。過了很久，白鹿被狗追著直直地衝下溪谷。就這樣追到現在被叫做東埔的地方。","https://web.klokah.tw/text/sound/19739/363687.mp3"
"numa tu mingqaraiza manshirshir sa waqrath sa lhkaribush a qnuan, makunanai ianan sa wazaqan a prug. numa thuini iananiza sa thau tu lhanazaniza zain Zintun.","又過了很久，白鹿沿著湖邊跑，到達有湖水的地方。這裡就是今天邵族人居住的地方，邵族人命名為Zintun（日月潭）。","https://web.klokah.tw/text/sound/19739/363688.mp3"
"kahiwan, ianan latata wa ruthun milhungqu isa kawi a fafaw, isisua sa ruthun mriqaz latata wa thau pasai dawaz smapuk rusaw isa wazaqan a shirshir.","從前有一隻猴子坐在樹上，這隻猴子看著一個人用網子在潭邊捕魚。","https://web.klokah.tw/text/sound/19740/363689.mp3"
"ruthun mriqariqaz huya wa thau smapusapuk sa rusaw. numa sa ruthun mzai, “ba! muqay miazithu ya smapuk sa rusaw! mafazaqiza yaku!”","猴子一直看著那個人捕魚，猴子就說：「哇！捕魚就只是這樣而已！我已經懂了！」","https://web.klokah.tw/text/sound/19740/363690.mp3"
"numa tu ikahin mushaiza sa smapuk rusaw a thau. ruthun muhiaw manaraus, mara sa dawaz tmash smapuk sa rusaw, maura! numa mu’anak mudawaz, hiamhiamaiza panasasazum mathay.","過了一陣子，那個捕魚的人走了。猴子很快的從樹上下來，拿起魚網學著要撒網捕魚。一點都不會，而且還自己把自己網住了，差一點就掉到 水中淹死。","https://web.klokah.tw/text/sound/19740/363691.mp3"
