"Tama mnusa su inu?","爸爸，你去了哪裡？","https://web.klokah.tw/text/sound/19767/363813.mp3"
"Tagay bay ka napa camac bukuy su.","你背後背著那麼多的獵物回來。","https://web.klokah.tw/text/sound/19767/363814.mp3"
"Bubu mnusa su inu?","媽媽，你去了哪裡？","https://web.klokah.tw/text/sound/19767/363815.mp3"
"Tagay bay ka snkri su kri qnpahan su.","妳在田裡所刮的麻那麼多。","https://web.klokah.tw/text/sound/19767/363816.mp3"
"Rsrisaw mnusa su inu?","年輕的青年你去了哪裡？","https://web.klokah.tw/text/sound/19767/363817.mp3"
"Slhai ndaan daping rdrudan ta.","你要學習族人的智慧和腳蹤。","https://web.klokah.tw/text/sound/19767/363818.mp3"
"Wowa mnusa su inu?","少女們，你去了哪裡？","https://web.klokah.tw/text/sound/19767/363819.mp3"
"Tagay bay knmalu tnninun su pala.","妳所編的織布那麼的漂亮。","https://web.klokah.tw/text/sound/19767/363820.mp3"
"Lqlaqi mnusa su inu?","小孩們，你去了哪裡？","https://web.klokah.tw/text/sound/19767/363821.mp3"
"Sprui ka rdrudan, slhai ka waya ta.","要尊重長輩，學習我們的文化。","https://web.klokah.tw/text/sound/19767/363822.mp3"
"Niqan kingan pskuraw bukun paru, phlisan na ka camac ini pntna sediq qtaan. niqan txan sa, mkrak balay kana ka hiyi na, kiya wada mgcamac ka hiyi na da. kiya ka bukun paru nii u, klan na so naq nii qtaan ka hiyi na do, kiya niqan knkla ka hiya da, kndadax ha cida do, ini nhmuc mhulis ana manu camac da.","從前有一個很驕傲的大王，他嘲諷獸類不像人的形象。曾經有一天大王突然全身發癢，他的身體就變成了野獸。人人都嘲笑著他。這個大王呢，也知道他的長相一直這樣時，就變成一位滿有智慧的人，就從那時候不敢嘲笑所有的獸類了。","https://web.klokah.tw/text/sound/19768/363823.mp3"
"So kiya, ini dha kuxi ini pntna dhiyan sediq, ini daha klai sow nii naq meysa ptceyyah paru sediq ka hiyan uri. Wuna ta niqan malu lnglungan, kiya sa balay bay niqan unalu.","人對他們不喜歡的人劃清界線，是他們不知道自大的後果也會召自己更大的羞辱。只有尊重生命的人才是真正的有愛。","https://web.klokah.tw/text/sound/19768/363824.mp3"
"Umin Pihu qbsuran mu snaw:","Umin Pihu兄：","https://web.klokah.tw/text/sound/19769/363825.mp3"
"bsiyaq ta balay ini tqita da, sndamac su balay. miyah kturu diyax do kiya qrasun diyax Kurusmasu da, kman diyax mkaha muda nami psqaras diyax nii supu mkan pnslaman uqun, musa niqan ka btakan tnqriyan idaw, egu bay ka hiyi wawa mliqu mi mmahun uri, psmiyah nami bay sunan mi kana tnsapah namu supu yami mqaras diyax. psmiyah ku bay yamu miyah dhoq hini! diyax qrasun kurusmasu.","平安 好久不見了，非常想念。過了三天就是聖誕節了，我家將在後天的晚上舉行聖誕節愛宴，將有竹筒飯、許多山產及飲料，竭誠歡迎你及你一家人與我們共同分享。期待你們的到來！聖誕快樂。","https://web.klokah.tw/text/sound/19769/363826.mp3"
"Tama Baraw.","我們在天上的父：","https://web.klokah.tw/text/sound/19770/363827.mp3"
"Tai sow spruun kana sediq malu hangan su. Tai su sow mpklawa tlngan. Sow lnglungan su baraw o kca haya babaw dxran uri. Uuqun nami o biqi nami diyax saya. Srwai nami haya ka nnaqah nami. Sow wada nami smruwa nnaqah dha. Iya nami pdai mqraqil pnspngan pkdusi nami piyah naqah. Yasa klwaan mi biyax mi knrdax o qulung nnisu ana dhuq knuwan.","願人都尊你的名為聖。願你的國降臨；願你的旨意行在地上，如同行在天上。我們日用的飲食，今日賜給我們。免我們的債，如同我們免了人的債。不叫我們遇見試探；救我們脫離兇惡（或作：脫離惡者）。因為國度、權柄、榮耀，全是你的，直到永遠。","https://web.klokah.tw/text/sound/19770/363828.mp3"
"ameyng","阿們。","https://web.klokah.tw/text/sound/19770/363829.mp3"
"Sediq cbiyaw sa, musa mrabang hpuyan ka macu, kingan dmuh u, asi ka daan mdka, kiya knbaka bay uqun tnsapah da, uka bay naqah kui mi naqah qbhni ka cuhan han, ananaq kingal dmuh macu ka phman, binaw miyah mhuru kha bay macu nina. Ana saw kiya baka bay uqun tnsapah kingal kngkawas na.","從前賽德克族的小米煮起來會增多，一粒小米必須切成半粒，半粒小米放進大鍋裡煮成滿滿的，足夠一家人吃，當時沒有蟲害和鳥害，所以每家只種一顆小米，並長出一支小米穗，這樣足夠一年的生活糧食。","https://web.klokah.tw/text/sound/19771/363830.mp3"
"Niqan txal, niqan kingal bsuruh mi sqquru sediq sa, ya mtbiyax pchada cida, wada asi qraq kingal bawa macu mi asi na dawi paru ribaw. Kiya ka wada asi mgpuruc ka hndan na macu da, mi wada asi kuka kana ka qsiya da, wada asi qqalux kana ka macu uri da.","有一天，有一位懶惰又貪吃的人，為了急於吃到小米飯，他用手一把抓小米直接煮大鍋裡。結果因小米膨脹，鍋裡的水剎那間蒸發了，小米被煮成焦黑。","https://web.klokah.tw/text/sound/19771/363831.mp3"
"Niqan hnang sa “pic!-pic! ” ka ribaw ruma, egu bay qbhni kndax ribaw ha, wada skaya baraw, kiya ka hangan na wa:puruc, so qbhni nii u, mkan bay nhana rmhak dmuh macu mi tmkuy macu pa. maku bay mowic smkaur qbhni nii ka sediq saya. Ya kiya ka sediq mbsuruh mi sqquru nii ka so ta haya.","鍋裡有「嗶！嗶！」的聲音，成群的鳥，從鍋中飛上天，這種鳥族語稱：部洛鳥(Puruc)是這樣來的，而這些鳥只專門來吃剛撒的種子和即將收割的小米穗。人們也辛苦趕走此鳥，這都是這位懶惰貪吃小米飯的人造成 的。","https://web.klokah.tw/text/sound/19771/363832.mp3"
"Wada ku mswayay muxul bay nniqan mu, lnglungan misu balay. Wada ku mswayay knmalu bay nniqan mu, lnglungan misu balay.","離開了溫暖的故鄉，我思念你；離開了美好的故鄉，我想念你。","https://web.klokah.tw/text/sound/19772/363833.mp3"
"Nisu ku dhuq sntunux mi qrasun bay alang hini da, Ini ku bay skila. Nisu ku dhuq uxay mu nniqan alang hini da, asi bay sow smmicu.","到了喧鬧的城市，我不習慣，到了陌生的城市，我充滿恐懼。","https://web.klokah.tw/text/sound/19772/363834.mp3"
"Mrbu cida o, Nisu ku qmita thiyaq bay hidaw mkala, asi iyah lnglungan mu ka ucilung nniqan mu hiya, muxul bay rdax na ka hidaw hiya.","早晨，看著遠處的日出，讓我想起故鄉的海邊，充滿著和煦的陽光。","https://web.klokah.tw/text/sound/19772/363835.mp3"
"Bbiyan ciida o, qmita ku hidaw bbiyan, asi iyah lnglungan mu ka dwiyaq nniqan mu, way htngay hiya ka knudus rdrudan mu.","傍晚，看著山邊的夕陽，讓我想起故鄉的山林蘊藏著祖先們的氣息。","https://web.klokah.tw/text/sound/19772/363836.mp3"
"Kman cida o, uka qtaan way rmdax ka ppngrah mi idas da, wana ku nanaq kmlnglung qntaan mu malu bay rdax na ppngrah mi idas cida.","深夜，再也看不到美麗星空，我只懷念著心中那永遠的夜空。","https://web.klokah.tw/text/sound/19772/363837.mp3"
"Mqmgi, Puting alang Tungmun, qnpahan, kadu rudux, Ana hmuya o, alang Tungmun ka nii mu lnglungan balay.","慕谷慕魚、銅門刀、農田、雞寮，我心中永遠的故鄉，思念著你。","https://web.klokah.tw/text/sound/19772/363838.mp3"
