"autoId","textId","dialectId","sentenceAb","sentenceCh","sentenceOrder"
"187146","15216","1","Pahavay ci Kacaw tu cacay a wacu.","卡照養了一隻狗，","1"
"187147","15216","1","Makamelaw i lalan tu cacay a vavuy.","看見路上有隻豬，","2"
"187148","15216","1","Kuku’en nu wacu kira vavuy.","狗追著那隻豬，","3"
"187149","15216","1","Kalatan nu wacu kira vavuy.","那隻豬被狗咬傷，","4"
"187150","15216","1","Mamelaw nu i kilangay a nani.","爬在樹上貓兒看見了，","5"
"187151","15216","1","Tanutawa’ sa kira nani tu vavuy.","一直笑那隻受傷的豬。","6"
"187152","15217","1","Pilalikidan a davak.","豐年祭的早上，","1"
"187153","15217","1","Silusid tunu Pangcah ci Panay aci Tipus.","巴耐和迪布斯穿著傳統服飾，","2"
"187154","15217","1","Vangcal a melawan kuheni.","她們看起來非常漂亮，","3"
"187155","15217","1","Patala tu turun atu sinavel ci ina atu waku.","媽媽和我準備了糯米糕和很多的菜餚送去，","4"
"187156","15217","1","Maulah kami a remadiw,a misakeru.","我們很開心地唱歌跳舞。","5"
"187157","15218","1","Maratar a lemuwad ku Pangcah tu davak.","阿美族人清晨早起，","1"
"187158","15218","1","Talasauwac a mivuting tu sakaranam.","到溪澗捕魚當早餐，","2"
"187159","15218","1","Talaumah a midateng tu sakalahuk.","到田間採野菜當午餐，","3"
"187160","15218","1","Talalutuk a midungec tu sakalavi’.","到山上採藤心當晚餐，","4"
"187161","15218","1","I sauwac, i umah, i lutuk ku pingsiyang nu Pangcah.","溪澗、田間、山中，都是阿美族人的冰箱，","5"
"187162","15218","1","Huvaw! Salipahaksa ku nikaurip nu Pangcah.","哇!阿美族人的生活多麼快樂。","6"
"187163","15219","1","Marekuku’ ku ayam, lemuwadtu ku Pangcah.","聽到公雞叫，族人就起床，","1"
"187164","15219","1","Hereksa namaranam, malingadtu a dademak.","吃過早餐，就到田裡工作，","2"
"187165","15219","1","I terung ku cidal, u kalahukantu.","日正當中，即是午餐時候，","3"
"187166","15219","1","Mucerem ku cidal, u katalumaantu.","日落西山，準備回家休息，","4"
"187167","15219","1","U malalukay a tamdaw ku Pangcah.","阿美族人是勤奮的民族。","5"
"187168","15220","1","Talaliyal a mivuting ci yama nu maku.","我的爸爸出海捕魚去，","1"
"187169","15220","1","Adihay ku niyala tu vuting, urang atu kalang.","捕到許多魚、蝦和蟹，","2"
"187170","15220","1","Maulah ci ina a makamelaw.","媽媽看了很開心，","3"
"187171","15220","1","Tanutawasa ci vaki aci vayi.","爺爺奶奶笑哈哈，","4"
"187172","15220","1","U kasenengan nu maku ci yama.","我的爸爸真了不起。","5"
"187173","15221","1","Tataang ku mata nu tatakula’.","青蛙的眼睛大大的，","1"
"187174","15221","1","Vangcal ku sakuvad nu adipapang.","蝴蝶的翅膀真漂亮，","2"
"187175","15221","1","Raraya’ ku cepi’ nu pikawayay.","綠蝗的大腿長又壯，","3"
"187176","15221","1","Maulah ku dadipis a misakeru’.","蟑螂愉快地在跳舞，","4"
"187177","15221","1","Cicicisa a remadiw ku naninih.","蟋蟀吱吱地在唱歌。","5"
"187178","15222","1","Ira ku liyal i a’ayaw nu niyaru’ nu maku.","我的家鄉，前面有大海。","1"
"187179","15222","1","Ira ku lutuk i lalikul nu niyaru’ nu maku.","我的家鄉，後面有山坡。","2"
"187180","15222","1","Masadak ku cidal, lemuwad ku ayam.","太陽出現，鳥兒已出巢。","3"
"187181","15222","1","Mucerem ku cidal, taluma’ ku ayam i dipung.","太陽下山，鳥兒也歸巢。","4"
