"autoId","textId","dialectId","sentenceAb","sentenceCh","sentenceOrder"
"437352","26700","1","U Pangcah atu amis ku nipangangan nu mita i titaan tu, itiniyay i Kalingku u Pangcah saan, itiniyay i Taytu u amis saan.","阿美族自稱Pangcah或’Amis不過用法則因地而異，前者是花蓮（kalingku）地區阿美所用，而台東縣（pusung）內之阿美族卻普遍採用後者。","1"
"437353","26700","1","Itiniyay i amisay a Pangcah u timul saan tu sasepatay a Pangcah.","南勢阿美對其他四個族群，因他們居住於南方所以泛稱為timul。","2"
"437354","26700","1","U aru’ nu Pangcah, itini i laed nu Kalingku atu Taytu, midungdung tu satipanay a lutuk atu sawaliyay a lutuk.","阿美族傳統上主要分布於花蓮縣（kalingku）和台東縣（pusung）境內，中央山脈（kasatipan a lutuk）和海岸山脈（sawaliyan a lutuk）所構成之狹長縱谷平原，","3"
"437355","26700","1","Midungdung tu sararaya’ sanay a enar atu makasawaliay, milawit tangasa i Palidaw nu Pingtung.","海岸山脈（sawaliyan a lutuk）東麓以及屏東縣（pintung）境內之恆春。","4"
"437356","26700","1","Anu pakaynin i aru’ atu suwal atu lisin. Lima ku nikakilakilac:","依其居住地區與語言習俗之異同，劃分為五個區域：","5"
"437357","26700","1","Amisay a Pangcah, Namakayni i saamisan singciw nu Huppu, tangasa i satimulan nu Rinahem, Marangah hananay a tarawadaw.","南勢阿美族：北自新城鄉（sinsiya）境的北埔（hupu’）南止壽豐溪（marangah），包括今新城、吉安（yusinu）、壽豐及花蓮市（nabakuwan）。","6"
"437358","26700","1","Siwkulan a Pangcah, Namakayni i saamisan nu Malivuh a Marangah, tangasa i satimulan Silamitay, itini i tapiingan nu Siwkulan a tarawadaw ku aru’.","秀姑巒阿美族：北自花蓮溪（tarawadaw）支流壽豐溪（marangah），南到富里（silamitay）因這一帶阿美族因居住於秀姑巒溪（siwkulan）沿岸及支流，","7"
"437359","26700","1","Manay Siwkulan a Pangcah han ku nipangangan.","故稱秀姑巒阿美。","8"
"437360","26700","1","Sawaliyay a Pangcah, Namakayni i saamisan a Vakung, mitatimul tangasa i Cipung nu Taytu, midungdugn tu sawaliyan a liyal, manay sawaliyay a Pangcah han ku nipangangan.","海岸阿美族：北從豐濱（bakung），南迄知本溪（cipung），因居海岸山脈（sawaliyan a lutuk）東側沿海一帶故稱海岸阿美。","9"
"437361","26700","1","Valangaw a Pangcah, Namakayni i saamisan nu Singku, mitatimul tangasa i Cipung nu Taytu, itini i liyut nu Valangaw, manay u Valangaw a Pangcah han ku nipangangan.","馬蘭阿美族：北自成功（singku），南迄知本（cipung），即今成功鎮（singku）、太麻里鄉（taymali）之一部份、東河鄉（babukud）及台東巿（pusung），因居住於台東馬蘭附近一帶地區，故稱馬蘭阿美。","10"
"437362","26700","1","Palidaw a Pangcah, i Vanaw, i Palayapay, i Tidatiday, i Taymali atu Palidaw.","恆春阿美族：分布於池上鄉（banaw）、鹿野鄉（palayapay）及關山鎮（tidatidang）、太麻里鄉（taymali）、恆春（palidaw）一帶，","11"
"437363","26700","1","Na itiraay i Palidaw ku aru’, manay u Palidaw han ku nipangangan.","因曾居住於恆春地區，故稱為恆春阿美。","12"
"437364","26700","1","I tukayay a Pangcah, Namakayni i 60 a mihcaan , masarumatu ku saka’urip nu Taywan. Manay aluman ku miliyasay i niyaru’ nu kapah.","大都會，自六〇年代，台灣社會經濟結構改變，年青的族人為謀職工作，","13"
"437365","26700","1","Tayra i tukay a mikilim tu saka’urip, manay i tukayay a Pangcah han ku nipangangan.","離鄉到大都會，形成大都會的阿美族。","14"
"437366","26700","1","U kapahay a wayway nu pangcah, U demak tu selangawan atu lisin, u niyaru’ku tapang;","阿美族優良的共同習性，文化祭儀活動以部落為中心；","15"
