"autoId","textId","dialectId","sentenceAb","sentenceCh","sentenceOrder"
"440458","26928","1","Initu haw kita, ta! Malingatu tu kita.","大家好。我們開始了。","1"
"440459","26928","1","Katemireng! Mitaung!","A:請起立! 敬禮!","2"
"440460","26928","1","Kapah haw kisu pasevana’ay.","B:老師好。","3"
"440461","26928","1","Kamaru’.","A:請坐下。","4"
"440462","26928","1","Kapah haw kamu alumanay! I nipicudad nu mita anini a remiad, a pasevana’ kaku i tamuwan tu ngangan nu kakaenan nu Pangcah.","大家好。今天老師要教大家食物的阿美語怎麼說。","5"
"440463","26928","1","Mavana’ tu haw kisu a mitengil tu suwal nu pasevana’ay?","A:你聽得懂老師的話嗎?","6"
"440464","26928","1","Caay kava:na’ kaku a mitengil tu suwal nu misu pasevana’ay, kapah tu haw a kinacacay aca a miliyaw a semuwal?","B:老師，我聽不懂。可以再說一次好嗎?","7"
"472979","26928","1","Caay pakatengil kaku, kapa:h tu haw a satataangen atu:di?","B:我聽不到，可以大聲一點嗎","8"
"440466","26928","1","Pimelawi itini! Duduen ku nipiasip nu maku.","請看這裡! 跟著我唸一遍。","9"
"440467","26928","1","Hay! Kapah ku niasip nu misu.","唸得很好。","10"
"440468","26928","1","Kakinacacay aca a miasip, satataangen atudi.","再唸一次。請大聲一點。","11"
"440469","26928","1","Terep han, akaa kasemuwal.","請安靜。不要說話。","12"
"440470","26928","1","Patahekalen ku cudad.","A:請把課本拿出來。","13"
"440471","26928","1","Hay, pasevana’ay.","B:是的，老師。","14"
"440472","26928","1","Pasadaken ku sapisurit nu misu.","A:請把筆拿出來。","15"
"440473","26928","1","Pasevana’ay! Mapawan kaku a mikerid tu sapisurit nu maku.","B:老師，我忘了帶筆。","16"
"440474","26928","1","Patahkalen ku savuric.","A:請把橡皮擦拿出來。","17"
"440475","26928","1","Pasevana’ay, mapawan kaku a mikerid tu savuric.","B:老師，我忘了帶橡皮擦。","18"
"440476","26928","1","Picaliwi tu savuric nu teparay nu misu.","A:請跟旁邊同學借橡皮擦。","19"
"440477","26928","1","Pacaliwi kaku tu savuric nu misu.","B:你的橡皮擦借我好嗎?","20"
"440478","26928","1","Maherek tu ku nipicudad nu mita.","我們下課了。","21"
"440479","26928","1","Tangasa itini ku nipinanam nu mita, rumaaw tu a lipayan a malalitemuh.","我們就上到這邊，下週再見。","22"
"440480","26929","1","Cima saw kisu?","A:你是誰?","1"
"440481","26929","1","Ci Tumay kaku.","B:我是Tumay。","2"
"440482","26929","1","Cima saw kisu?","A:你是誰?","3"
"440483","26929","1","U wawa ni Marang kaku, ci Tumay ku ngangan nu maku.","B:我是Marang的兒子，我叫Tumay。","4"
"440484","26929","1","Cima saw kisu?","A:你是誰?","5"
"440485","26929","1","U micudaday ni Luuh kaku, ci Tumay ku ngangan nu maku,","B:我是Luuh的學生，我叫Tumay。","6"
"440486","26929","1","Maan han saw ku ngangan nu misu?","A:你的名字是什麼?","7"
"440487","26929","1","Ci Tumay han ku ngangan nu maku.","B:我的名字是Tumay。","8"
"440488","26929","1","Cima han saw ku ngangan ni ama isu.","A:你爸爸的名字是什麼?","9"
"440489","26929","1","Ci Marang han ku ngangan ni ama aku.","B:我爸爸的名字是Marang。","10"
"466895","26929","1","Ci Kilang cira.","他是Kilang。","11"
"440491","26929","1","U vavainayan a kaka nu maku cira, ci Kilang han ku ngangan nira.","他是我的哥哥，他叫Kilang。","12"
"440492","26929","1","Cima han saw ku ngangan nira?","A:他的名字叫什麼?","13"
"440493","26929","1","Ci Kilang han ku ngangan nira.","B:他的名字叫Kilang。","14"
"440494","26929","1","Ci Valiyus han haw ku ngangan nira?","A:他的名字叫Valiyus嗎?","15"
"440495","26929","1","Hay! Ci Valiyus han ku ngangan nira.","B:是，他的名字叫Valiyus。","16"
"440496","26929","1","Ci Valiyus haw ku ngangan nira?","A:他的名字叫Valiyus嗎?","17"
"466896","26929","1","Caay, ci Kilang ku ngangan nira.","B:不是，他的名字叫是Kilang。","18"
"440497","26929","1","Cima saw kira tamdaw?","A:那個人是誰?","19"
"440498","26929","1","Ci Panay cira, u vayi nu maku cira.","B:她是Panay。她是我的阿姨。","20"
"440499","26929","1","Cira saw kira tamdaw?","A:那個人是誰?","21"
"440500","26929","1","U cavay nu maku cira, Ci Nakaw han ku ngangan nira.","B:她是我的朋友，她的名字是Nakaw。","22"
"440501","26929","1","Pina tu saw ku mihcaan nu misu?","A:你今年幾歲了?","23"
"440502","26929","1","Muketep tu ku mihcaan nu maku.","B:我今年10歲。","24"
"440503","26929","1","Pina tu saw ku mihcaan nira?","A:他今年幾歲?","25"
"440504","26929","1","Savaw tu tusa ku mihcaan nira.","B:他今年12歲。","26"
"440505","26929","1","Pina tu saw ku mihcaan ni ama nu misu?","A:你爸爸今年幾歲?","27"
"440506","26929","1","Lima a pulu’ tu ku mihcaan ni ama aku.","B:我爸爸今年50歲。","28"
"440507","26929","1","Papina saw kamu a malekaka?","A:你有幾個兄弟姊妹?","29"
"440508","26929","1","Cacay ku kaka tu vavainayan, cacay ku kaka tu vavahian, cacay ku sava tu vavainayan nu maku.","B:我有一位哥哥， 一位姊姊，一位弟弟。","30"
"440509","26929","1","Sikaka haw kisu tu vavainayan?","A:你有哥哥嗎?","31"
"440510","26929","1","Awaay ku vavainayan a kaka nu maku.","B:我沒有哥哥。","32"
"440511","26929","1","Papina saw ku tamdaw nu luma’ namu?","A:你們家有幾個人?","33"
"440512","26929","1","Sasepat ku tamdaw nu luma’ niyam.","B:我們家有4個人。","34"
"440513","26929","1","Icuwa saw kisu a micudad?","A:你在哪裡讀書?","35"
"440514","26929","1","I Hualien kaku a micudad.","B:我在花蓮讀書。","36"
"440515","26930","1","Cima saw cira?","A:他是誰?","1"
"440516","26930","1","Ci vaki nu maku cira.","B:他是我的叔叔。","2"
"440517","26930","1","U maan saw ku dademaken ni vaki nu misu?","A:你的舅舅從事什麼工作?","3"
"440518","26930","1","U kincal cira.","B:他是警察。","4"
"440519","26930","1","Cima saw kira tamdaw?","A:那個人是誰?","5"
"440520","26930","1","U vavahian a kaka nu maku cira.","B:她是我的姊姊。","6"
"440521","26930","1","Mikuli haw cira?","A:你的姊姊有工作嗎?","7"
"440522","26930","1","I paisingan cira a mikuli.","B:她在醫院上班。","8"
"440523","26930","1","U malekakaay haw kina tatusaay?","A:這兩個人是兄弟姐妹嗎?","9"
"440524","26930","1","Caay, u malecavayay ku heni.","B:不是，他們是朋友。","10"
"440525","26930","1","U Pangcah haw kisu?","A:你是阿美族嗎?","11"
"440526","26930","1","Hay! U Pangcah kaku.","B:是，我是阿美族的。","12"
"440527","26930","1","U Pangcah haw ku vavahi nu misu?","A:你的太太是阿美族嗎?","13"
"440528","26930","1","Hay! U Pangcah cira.","B:是，她是阿美族的。","14"
"440529","26930","1","Tarakaw haw ci ama nu misu?","A:你的爸爸很高嗎?","15"
"440530","26930","1","Hayi! Tarakaw amin ku luma’ niyam.","B:對，我們全家都很高。","16"
"440531","26930","1","Micudad tu haw ku vavahian a sava nu misu?","A:你的妹妹上學了嗎?","17"
"440532","26930","1","Hayi! Micudad tu cira.","B:是，她上學了。","18"
"440533","26930","1","Mavana’ haw ku sava nu misu a misanuPangcah?","A:你的弟妹會說族語嗎?","19"
"440534","26930","1","Hayi! Mavana’ ku heni a misanuPangcah.","B:是，他們會說族語。","20"
"440535","26930","1","Papina saw kamu a malekaka?","A:你有幾個兄弟姐妹?","21"
"440536","26930","1","Tatulu kami a malekaka.","B:我有三個兄弟姐妹。","22"
"440537","26930","1","Makumud haw ku aru’ nu misu atu ina aci ama?","A:你和爸爸媽媽一起住嗎?","23"
"440538","26930","1","Hay, makumud ku aru’ niyam..","B:是，我和他們住在一起。","24"
"440539","26930","1","Makumud haw ku aru’ nu misu atu vaki aci vayi?","A:你和爺爺奶奶一起住嗎?","25"
"440540","26930","1","Caay, caay kakumud ku aru’ nu maku atu heni.","B:不，我沒和跟他們一起住。","26"
"440541","26930","1","Cima saw ku mikumuday i tisuwan?","A:你和誰住在一起?","27"
"440542","26930","1","Makumud ku aru’ nu maku atu ina, ama, kaka tu vavainayan.","B:我跟爸爸、媽媽、哥哥住在一起。","28"
"440543","26930","1","Namakacuwaay saw kisu?","A:你從哪裡來?","29"
"440544","26930","1","Namaka Hualienay kaku.","B:我從花蓮來。","30"
"440545","26930","1","Icuwa saw ku luma’ namu?","A:你們的家在哪裡?","31"
"440546","26930","1","I Hualien ku luma’ niyam.","B:我們的家在花蓮。","32"
"440547","26930","1","Icuwa saw ku niyaru’ nu misu?","A:你的故鄉在哪裡?","33"
"440548","26930","1","I Hualien ku niyaru’ nu maku.","B:我的故鄉在花蓮。","34"
"440549","26930","1","Icuwa saw ku niyaru’ namu?","A:你們的部落在哪裡?","35"
"440550","26930","1","I Natauran ku niyaru’ niyam.","B:我們的部落在娜荳蘭。","36"
"440551","26930","1","A hacuwa saw kisu a taluma’ i niyaru’?","A:你什麼時候會回去部落?","37"
"440552","26930","1","I pipantangan nu laludan taluma’ tu kaku.","B:我暑假都會回去。","38"
"471089","26930","1","U wawa nu Pangcah kaku.","我是阿美族小孩。","39"
"440553","26931","1","Masasaw ku remiad anini?","A:今天天氣如何?","1"
"440554","26931","1","Cidalantu, caledes ku remiad.","B:太陽出來了，天氣很熱。","2"
"440555","26931","1","Sienaw haw i hekal?","A:外面會很冷嗎?","3"
"440556","26931","1","Sienaw, saadihayen tu ku nikasivuduy.","B:很冷，要多穿衣服。","4"
"440557","26931","1","Caledes haw ku hekal?","A:外面會很熱嗎?","5"
"440558","26931","1","Caay, sivali tu! saepi’ saan.","B:不會，起風了，很涼快。","6"
"440559","26931","1","Masasaw ku remiad anini?","A:今天天氣怎麼樣?","7"
