file	s_id	marker	decision
wen_hua_pian_cultural_section/Atayal/FourSeasons_Atayal.xml	86	–	retain sound separator
wen_hua_pian_cultural_section/Sakizaya/Sakizaya.xml	263	—	retain prose punctuation
wen_hua_pian_cultural_section/Sakizaya/Sakizaya.xml	266	—	retain prose punctuation
wen_hua_pian_cultural_section/Sakizaya/Sakizaya.xml	269	—	retain prose punctuation
wen_hua_pian_cultural_section/Sakizaya/Sakizaya.xml	273	—	retain prose punctuation
wen_hua_pian_cultural_section/Amis/Hengchun_Amis.xml	21	—	retain list punctuation
wen_hua_pian_cultural_section/Amis/Hengchun_Amis.xml	67	—	retain appositive punctuation
wen_hua_pian_cultural_section/Amis/Xiuguluan_Amis.xml	24	―	retain list punctuation
wen_hua_pian_cultural_section/Amis/Xiuguluan_Amis.xml	297	—	retain appositive punctuation
wen_hua_pian_cultural_section/Amis/Xiuguluan_Amis.xml	395	—	retain list punctuation
wen_hua_pian_cultural_section/Amis/Coastal_Amis.xml	163	—	retain prose punctuation
yue_du_shu_xie_pian_reading_writing/Tsou/Tsou.xml	27	—	retain terminal prose dash
yue_du_shu_xie_pian_reading_writing/Tsou/Tsou.xml	145	–	retain sound separator
yue_du_shu_xie_pian_reading_writing/Atayal/YilanZeaol_Atayal.xml	89	—	retain prose punctuation
yue_du_shu_xie_pian_reading_writing/Atayal/YilanZeaol_Atayal.xml	93	—	retain prose punctuation
yue_du_shu_xie_pian_reading_writing/Atayal/Sekolik_Atayal.xml	87	–	retain appositive punctuation
yue_du_shu_xie_pian_reading_writing/Atayal/Wenshui_Atayal.xml	108	—	retain prose punctuation
yue_du_shu_xie_pian_reading_writing/Atayal/FourSeasons_Atayal.xml	132	—	retain appositive punctuation
yue_du_shu_xie_pian_reading_writing/Puyuma/Nanwang_Puyuma.xml	334	—	retain appositive punctuation
yue_du_shu_xie_pian_reading_writing/Rukai/Dona_Rukai.xml	208	–	retain list punctuation
yue_du_shu_xie_pian_reading_writing/Amis/Hengchun_Amis.xml	178	–	retain list punctuation
yue_du_shu_xie_pian_reading_writing/Amis/Xiuguluan_Amis.xml	215	–	retain appositive punctuation
yue_du_shu_xie_pian_reading_writing/Paiwan/Southern_Paiwan.xml	36	—	retain terminal prose dash
yue_du_shu_xie_pian_reading_writing/Kanakanavu/Kanakanavu.xml	381	—	retain prose punctuation
yue_du_shu_xie_pian_reading_writing/Kanakanavu/Kanakanavu.xml	387	—	retain prose punctuation
