ePark topic,audio path,lang,dialect,idx,id
文化篇,./ePark_3/6.文化篇/2/2_10_V7.mp3,Amis,Xiuguluan_Amis,2,2_10_W7
文化篇,./ePark_3/6.文化篇/2/2_10_V8.mp3,Amis,Xiuguluan_Amis,2,2_10_W8
文化篇,./ePark_3/6.文化篇/2/2_10_V9.mp3,Amis,Xiuguluan_Amis,2,2_10_W9
文化篇,./ePark_3/6.文化篇/2/2_10_V10.mp3,Amis,Xiuguluan_Amis,2,2_10_W10
文化篇,./ePark_3/6.文化篇/2/2_21_V5.mp3,Amis,Xiuguluan_Amis,2,2_21_W5
文化篇,./ePark_3/6.文化篇/2/2_21_V6.mp3,Amis,Xiuguluan_Amis,2,2_21_W6
文化篇,./ePark_3/6.文化篇/2/2_21_V7.mp3,Amis,Xiuguluan_Amis,2,2_21_W7
文化篇,./ePark_3/6.文化篇/2/2_21_V8.mp3,Amis,Xiuguluan_Amis,2,2_21_W8
文化篇,./ePark_3/6.文化篇/2/2_21_V9.mp3,Amis,Xiuguluan_Amis,2,2_21_W9
文化篇,./ePark_3/6.文化篇/5/5_20_V1.mp3,Amis,Hengchun_Amis,5,5_20_W1
文化篇,./ePark_3/6.文化篇/5/5_20_V2.mp3,Amis,Hengchun_Amis,5,5_20_W2
文化篇,./ePark_3/6.文化篇/5/5_20_V3.mp3,Amis,Hengchun_Amis,5,5_20_W3
文化篇,./ePark_3/6.文化篇/5/5_20_V4.mp3,Amis,Hengchun_Amis,5,5_20_W4
文化篇,./ePark_3/6.文化篇/5/5_20_V5.mp3,Amis,Hengchun_Amis,5,5_20_W5
文化篇,./ePark_3/6.文化篇/5/5_20_V6.mp3,Amis,Hengchun_Amis,5,5_20_W6
文化篇,./ePark_3/6.文化篇/5/5_20_V7.mp3,Amis,Hengchun_Amis,5,5_20_W7
文化篇,./ePark_3/6.文化篇/5/5_20_V8.mp3,Amis,Hengchun_Amis,5,5_20_W8
文化篇,./ePark_3/6.文化篇/5/5_20_V9.mp3,Amis,Hengchun_Amis,5,5_20_W9
文化篇,./ePark_3/6.文化篇/5/5_20_V10.mp3,Amis,Hengchun_Amis,5,5_20_W10
文化篇,./ePark_3/6.文化篇/6/6_5_V1.mp3,Atayal,Sekolik_Atayal,6,6_5_W1
文化篇,./ePark_3/6.文化篇/8/8_27_V5.mp3,Atayal,Wenshui_Atayal,8,8_27_W5
文化篇,./ePark_3/6.文化篇/8/8_27_V6.mp3,Atayal,Wenshui_Atayal,8,8_27_W6
文化篇,./ePark_3/6.文化篇/8/8_27_V7.mp3,Atayal,Wenshui_Atayal,8,8_27_W7
文化篇,./ePark_3/6.文化篇/8/8_27_V8.mp3,Atayal,Wenshui_Atayal,8,8_27_W8
文化篇,./ePark_3/6.文化篇/9/9_2_V5.mp3,Atayal,Wanda_Atayal,9,9_2_W5
文化篇,./ePark_3/6.文化篇/9/9_4_V5.mp3,Atayal,Wanda_Atayal,9,9_4_W5
文化篇,./ePark_3/6.文化篇/9/9_5_V5.mp3,Atayal,Wanda_Atayal,9,9_5_W5
文化篇,./ePark_3/6.文化篇/9/9_7_V5.mp3,Atayal,Wanda_Atayal,9,9_7_W5
文化篇,./ePark_3/6.文化篇/9/9_20_V6.mp3,Atayal,Wanda_Atayal,9,9_20_W6
文化篇,./ePark_3/6.文化篇/9/9_26_V1.mp3,Atayal,Wanda_Atayal,9,9_26_W1
文化篇,./ePark_3/6.文化篇/9/9_26_V2.mp3,Atayal,Wanda_Atayal,9,9_26_W2
文化篇,./ePark_3/6.文化篇/9/9_26_V3.mp3,Atayal,Wanda_Atayal,9,9_26_W3
文化篇,./ePark_3/6.文化篇/9/9_26_V4.mp3,Atayal,Wanda_Atayal,9,9_26_W4
文化篇,./ePark_3/6.文化篇/9/9_29_V8.mp3,Atayal,Wanda_Atayal,9,9_29_W8
文化篇,./ePark_3/6.文化篇/10/10_1_V1.mp3,Atayal,FourSeasons_Atayal,10,10_1_W1
文化篇,./ePark_3/6.文化篇/10/10_1_V2.mp3,Atayal,FourSeasons_Atayal,10,10_1_W2
文化篇,./ePark_3/6.文化篇/10/10_1_V3.mp3,Atayal,FourSeasons_Atayal,10,10_1_W3
文化篇,./ePark_3/6.文化篇/10/10_1_V4.mp3,Atayal,FourSeasons_Atayal,10,10_1_W4
文化篇,./ePark_3/6.文化篇/10/10_1_V5.mp3,Atayal,FourSeasons_Atayal,10,10_1_W5
文化篇,./ePark_3/6.文化篇/10/10_1_V6.mp3,Atayal,FourSeasons_Atayal,10,10_1_W6
文化篇,./ePark_3/6.文化篇/10/10_1_V7.mp3,Atayal,FourSeasons_Atayal,10,10_1_W7
文化篇,./ePark_3/6.文化篇/10/10_1_V8.mp3,Atayal,FourSeasons_Atayal,10,10_1_W8
文化篇,./ePark_3/6.文化篇/10/10_1_V9.mp3,Atayal,FourSeasons_Atayal,10,10_1_W9
文化篇,./ePark_3/6.文化篇/10/10_1_V10.mp3,Atayal,FourSeasons_Atayal,10,10_1_W10
文化篇,./ePark_3/6.文化篇/10/10_1_V11.mp3,Atayal,FourSeasons_Atayal,10,10_1_W11
文化篇,./ePark_3/6.文化篇/10/10_1_V12.mp3,Atayal,FourSeasons_Atayal,10,10_1_W12
文化篇,./ePark_3/6.文化篇/10/10_1_V13.mp3,Atayal,FourSeasons_Atayal,10,10_1_W13
文化篇,./ePark_3/6.文化篇/10/10_1_V14.mp3,Atayal,FourSeasons_Atayal,10,10_1_W14
文化篇,./ePark_3/6.文化篇/10/10_1_V15.mp3,Atayal,FourSeasons_Atayal,10,10_1_W15
文化篇,./ePark_3/6.文化篇/10/10_1_V16.mp3,Atayal,FourSeasons_Atayal,10,10_1_W16
文化篇,./ePark_3/6.文化篇/10/10_1_V17.mp3,Atayal,FourSeasons_Atayal,10,10_1_W17
文化篇,./ePark_3/6.文化篇/10/10_1_V18.mp3,Atayal,FourSeasons_Atayal,10,10_1_W18
文化篇,./ePark_3/6.文化篇/10/10_1_V19.mp3,Atayal,FourSeasons_Atayal,10,10_1_W19
文化篇,./ePark_3/6.文化篇/10/10_1_V20.mp3,Atayal,FourSeasons_Atayal,10,10_1_W20
文化篇,./ePark_3/6.文化篇/10/10_2_V1.mp3,Atayal,FourSeasons_Atayal,10,10_2_W1
文化篇,./ePark_3/6.文化篇/10/10_2_V2.mp3,Atayal,FourSeasons_Atayal,10,10_2_W2
文化篇,./ePark_3/6.文化篇/10/10_2_V3.mp3,Atayal,FourSeasons_Atayal,10,10_2_W3
文化篇,./ePark_3/6.文化篇/10/10_2_V4.mp3,Atayal,FourSeasons_Atayal,10,10_2_W4
文化篇,./ePark_3/6.文化篇/10/10_2_V5.mp3,Atayal,FourSeasons_Atayal,10,10_2_W5
文化篇,./ePark_3/6.文化篇/10/10_2_V6.mp3,Atayal,FourSeasons_Atayal,10,10_2_W6
文化篇,./ePark_3/6.文化篇/10/10_2_V7.mp3,Atayal,FourSeasons_Atayal,10,10_2_W7
文化篇,./ePark_3/6.文化篇/10/10_2_V8.mp3,Atayal,FourSeasons_Atayal,10,10_2_W8
文化篇,./ePark_3/6.文化篇/10/10_2_V9.mp3,Atayal,FourSeasons_Atayal,10,10_2_W9
文化篇,./ePark_3/6.文化篇/10/10_2_V10.mp3,Atayal,FourSeasons_Atayal,10,10_2_W10
文化篇,./ePark_3/6.文化篇/10/10_2_V11.mp3,Atayal,FourSeasons_Atayal,10,10_2_W11
文化篇,./ePark_3/6.文化篇/10/10_2_V12.mp3,Atayal,FourSeasons_Atayal,10,10_2_W12
文化篇,./ePark_3/6.文化篇/10/10_2_V13.mp3,Atayal,FourSeasons_Atayal,10,10_2_W13
文化篇,./ePark_3/6.文化篇/10/10_2_V14.mp3,Atayal,FourSeasons_Atayal,10,10_2_W14
文化篇,./ePark_3/6.文化篇/10/10_2_V15.mp3,Atayal,FourSeasons_Atayal,10,10_2_W15
文化篇,./ePark_3/6.文化篇/10/10_2_V16.mp3,Atayal,FourSeasons_Atayal,10,10_2_W16
文化篇,./ePark_3/6.文化篇/10/10_2_V17.mp3,Atayal,FourSeasons_Atayal,10,10_2_W17
文化篇,./ePark_3/6.文化篇/10/10_2_V18.mp3,Atayal,FourSeasons_Atayal,10,10_2_W18
文化篇,./ePark_3/6.文化篇/10/10_2_V19.mp3,Atayal,FourSeasons_Atayal,10,10_2_W19
文化篇,./ePark_3/6.文化篇/10/10_2_V20.mp3,Atayal,FourSeasons_Atayal,10,10_2_W20
文化篇,./ePark_3/6.文化篇/10/10_3_V1.mp3,Atayal,FourSeasons_Atayal,10,10_3_W1
文化篇,./ePark_3/6.文化篇/10/10_3_V2.mp3,Atayal,FourSeasons_Atayal,10,10_3_W2
文化篇,./ePark_3/6.文化篇/10/10_3_V3.mp3,Atayal,FourSeasons_Atayal,10,10_3_W3
文化篇,./ePark_3/6.文化篇/10/10_3_V4.mp3,Atayal,FourSeasons_Atayal,10,10_3_W4
文化篇,./ePark_3/6.文化篇/10/10_3_V5.mp3,Atayal,FourSeasons_Atayal,10,10_3_W5
文化篇,./ePark_3/6.文化篇/10/10_3_V6.mp3,Atayal,FourSeasons_Atayal,10,10_3_W6
文化篇,./ePark_3/6.文化篇/10/10_3_V7.mp3,Atayal,FourSeasons_Atayal,10,10_3_W7
文化篇,./ePark_3/6.文化篇/10/10_3_V8.mp3,Atayal,FourSeasons_Atayal,10,10_3_W8
文化篇,./ePark_3/6.文化篇/10/10_3_V9.mp3,Atayal,FourSeasons_Atayal,10,10_3_W9
文化篇,./ePark_3/6.文化篇/10/10_3_V10.mp3,Atayal,FourSeasons_Atayal,10,10_3_W10
文化篇,./ePark_3/6.文化篇/10/10_3_V11.mp3,Atayal,FourSeasons_Atayal,10,10_3_W11
文化篇,./ePark_3/6.文化篇/10/10_3_V12.mp3,Atayal,FourSeasons_Atayal,10,10_3_W12
文化篇,./ePark_3/6.文化篇/10/10_3_V13.mp3,Atayal,FourSeasons_Atayal,10,10_3_W13
文化篇,./ePark_3/6.文化篇/10/10_3_V14.mp3,Atayal,FourSeasons_Atayal,10,10_3_W14
文化篇,./ePark_3/6.文化篇/10/10_3_V15.mp3,Atayal,FourSeasons_Atayal,10,10_3_W15
文化篇,./ePark_3/6.文化篇/10/10_3_V16.mp3,Atayal,FourSeasons_Atayal,10,10_3_W16
文化篇,./ePark_3/6.文化篇/10/10_3_V17.mp3,Atayal,FourSeasons_Atayal,10,10_3_W17
文化篇,./ePark_3/6.文化篇/10/10_3_V18.mp3,Atayal,FourSeasons_Atayal,10,10_3_W18
文化篇,./ePark_3/6.文化篇/10/10_3_V19.mp3,Atayal,FourSeasons_Atayal,10,10_3_W19
文化篇,./ePark_3/6.文化篇/10/10_4_V1.mp3,Atayal,FourSeasons_Atayal,10,10_4_W1
文化篇,./ePark_3/6.文化篇/10/10_4_V2.mp3,Atayal,FourSeasons_Atayal,10,10_4_W2
文化篇,./ePark_3/6.文化篇/10/10_4_V3.mp3,Atayal,FourSeasons_Atayal,10,10_4_W3
文化篇,./ePark_3/6.文化篇/10/10_4_V4.mp3,Atayal,FourSeasons_Atayal,10,10_4_W4
文化篇,./ePark_3/6.文化篇/10/10_4_V5.mp3,Atayal,FourSeasons_Atayal,10,10_4_W5
文化篇,./ePark_3/6.文化篇/10/10_4_V6.mp3,Atayal,FourSeasons_Atayal,10,10_4_W6
文化篇,./ePark_3/6.文化篇/10/10_4_V7.mp3,Atayal,FourSeasons_Atayal,10,10_4_W7
文化篇,./ePark_3/6.文化篇/10/10_4_V8.mp3,Atayal,FourSeasons_Atayal,10,10_4_W8
文化篇,./ePark_3/6.文化篇/10/10_4_V9.mp3,Atayal,FourSeasons_Atayal,10,10_4_W9
文化篇,./ePark_3/6.文化篇/10/10_4_V10.mp3,Atayal,FourSeasons_Atayal,10,10_4_W10
文化篇,./ePark_3/6.文化篇/10/10_4_V11.mp3,Atayal,FourSeasons_Atayal,10,10_4_W11
文化篇,./ePark_3/6.文化篇/10/10_4_V12.mp3,Atayal,FourSeasons_Atayal,10,10_4_W12
文化篇,./ePark_3/6.文化篇/10/10_4_V13.mp3,Atayal,FourSeasons_Atayal,10,10_4_W13
文化篇,./ePark_3/6.文化篇/10/10_4_V14.mp3,Atayal,FourSeasons_Atayal,10,10_4_W14
文化篇,./ePark_3/6.文化篇/10/10_4_V15.mp3,Atayal,FourSeasons_Atayal,10,10_4_W15
文化篇,./ePark_3/6.文化篇/10/10_4_V16.mp3,Atayal,FourSeasons_Atayal,10,10_4_W16
文化篇,./ePark_3/6.文化篇/10/10_4_V17.mp3,Atayal,FourSeasons_Atayal,10,10_4_W17
文化篇,./ePark_3/6.文化篇/10/10_4_V18.mp3,Atayal,FourSeasons_Atayal,10,10_4_W18
文化篇,./ePark_3/6.文化篇/10/10_5_V1.mp3,Atayal,FourSeasons_Atayal,10,10_5_W1
文化篇,./ePark_3/6.文化篇/10/10_5_V2.mp3,Atayal,FourSeasons_Atayal,10,10_5_W2
文化篇,./ePark_3/6.文化篇/10/10_5_V3.mp3,Atayal,FourSeasons_Atayal,10,10_5_W3
文化篇,./ePark_3/6.文化篇/10/10_5_V4.mp3,Atayal,FourSeasons_Atayal,10,10_5_W4
文化篇,./ePark_3/6.文化篇/10/10_5_V5.mp3,Atayal,FourSeasons_Atayal,10,10_5_W5
文化篇,./ePark_3/6.文化篇/10/10_5_V6.mp3,Atayal,FourSeasons_Atayal,10,10_5_W6
文化篇,./ePark_3/6.文化篇/10/10_5_V7.mp3,Atayal,FourSeasons_Atayal,10,10_5_W7
文化篇,./ePark_3/6.文化篇/10/10_5_V8.mp3,Atayal,FourSeasons_Atayal,10,10_5_W8
文化篇,./ePark_3/6.文化篇/10/10_5_V9.mp3,Atayal,FourSeasons_Atayal,10,10_5_W9
文化篇,./ePark_3/6.文化篇/10/10_5_V10.mp3,Atayal,FourSeasons_Atayal,10,10_5_W10
文化篇,./ePark_3/6.文化篇/10/10_5_V11.mp3,Atayal,FourSeasons_Atayal,10,10_5_W11
文化篇,./ePark_3/6.文化篇/10/10_5_V12.mp3,Atayal,FourSeasons_Atayal,10,10_5_W12
文化篇,./ePark_3/6.文化篇/10/10_5_V13.mp3,Atayal,FourSeasons_Atayal,10,10_5_W13
文化篇,./ePark_3/6.文化篇/10/10_5_V14.mp3,Atayal,FourSeasons_Atayal,10,10_5_W14
文化篇,./ePark_3/6.文化篇/10/10_5_V15.mp3,Atayal,FourSeasons_Atayal,10,10_5_W15
文化篇,./ePark_3/6.文化篇/10/10_5_V16.mp3,Atayal,FourSeasons_Atayal,10,10_5_W16
文化篇,./ePark_3/6.文化篇/10/10_5_V17.mp3,Atayal,FourSeasons_Atayal,10,10_5_W17
文化篇,./ePark_3/6.文化篇/10/10_5_V18.mp3,Atayal,FourSeasons_Atayal,10,10_5_W18
