ePark topic,audio path,lang,dialect,idx,id
生活會話篇,./ePark_3/4.生活會話篇/35/sentence/35c17s6.mp3,Tsou,Tsou,35,17S_6
生活會話篇,./ePark_3/4.生活會話篇/35/sentence/35c17s7.mp3,Tsou,Tsou,35,17S_7
生活會話篇,./ePark_3/4.生活會話篇/35/sentence/35c17s8.mp3,Tsou,Tsou,35,17S_8
生活會話篇,./ePark_3/4.生活會話篇/35/sentence/35c17s9.mp3,Tsou,Tsou,35,17S_9
生活會話篇,./ePark_3/4.生活會話篇/35/sentence/35c17s10.mp3,Tsou,Tsou,35,17S_10
生活會話篇,./ePark_3/4.生活會話篇/35/word/35c10w11.mp3,Tsou,Tsou,35,10W_11
生活會話篇,./ePark_3/4.生活會話篇/35/word/35c10w17.mp3,Tsou,Tsou,35,10W_17
生活會話篇,./ePark_3/4.生活會話篇/20/sentence/20c6s3.mp3,Bunun,Tanqun_Bunun,20,6S_3
生活會話篇,./ePark_3/4.生活會話篇/20/sentence/20c27s7.mp3,Bunun,Tanqun_Bunun,20,27S_7
生活會話篇,./ePark_3/4.生活會話篇/18/sentence/18c17s2.mp3,Bunun,Zhuoqun_Bunun,18,17S_2
生活會話篇,./ePark_3/4.生活會話篇/18/word/18c1w20.mp3,Bunun,Zhuoqun_Bunun,18,1W_20
生活會話篇,./ePark_3/4.生活會話篇/27/sentence/27c1s8.mp3,Rukai,Eastern_Rukai,27,1S_8
生活會話篇,./ePark_3/4.生活會話篇/27/sentence/27c7s5.mp3,Rukai,Eastern_Rukai,27,7S_5
生活會話篇,./ePark_3/4.生活會話篇/27/sentence/27c7s6.mp3,Rukai,Eastern_Rukai,27,7S_6
生活會話篇,./ePark_3/4.生活會話篇/9/word/9c5w6.mp3,Atayal,Wanda_Atayal,9,5W_6
生活會話篇,./ePark_3/4.生活會話篇/11/sentence/11c12s8.mp3,Atayal,YilanZeaol_Atayal,11,12S_8
生活會話篇,./ePark_3/4.生活會話篇/11/word/11c25w2.mp3,Atayal,YilanZeaol_Atayal,11,25W_2
生活會話篇,./ePark_3/4.生活會話篇/11/word/11c25w3.mp3,Atayal,YilanZeaol_Atayal,11,25W_3
生活會話篇,./ePark_3/4.生活會話篇/11/word/11c25w4.mp3,Atayal,YilanZeaol_Atayal,11,25W_4
生活會話篇,./ePark_3/4.生活會話篇/11/word/11c25w5.mp3,Atayal,YilanZeaol_Atayal,11,25W_5
生活會話篇,./ePark_3/4.生活會話篇/11/word/11c25w6.mp3,Atayal,YilanZeaol_Atayal,11,25W_6
生活會話篇,./ePark_3/4.生活會話篇/11/word/11c25w7.mp3,Atayal,YilanZeaol_Atayal,11,25W_7
生活會話篇,./ePark_3/4.生活會話篇/11/word/11c25w8.mp3,Atayal,YilanZeaol_Atayal,11,25W_8
生活會話篇,./ePark_3/4.生活會話篇/11/word/11c25w9.mp3,Atayal,YilanZeaol_Atayal,11,25W_9
生活會話篇,./ePark_3/4.生活會話篇/11/word/11c25w10.mp3,Atayal,YilanZeaol_Atayal,11,25W_10
生活會話篇,./ePark_3/4.生活會話篇/11/word/11c25w11.mp3,Atayal,YilanZeaol_Atayal,11,25W_11
生活會話篇,./ePark_3/4.生活會話篇/11/word/11c25w12.mp3,Atayal,YilanZeaol_Atayal,11,25W_12
生活會話篇,./ePark_3/4.生活會話篇/11/word/11c25w13.mp3,Atayal,YilanZeaol_Atayal,11,25W_13
生活會話篇,./ePark_3/4.生活會話篇/11/word/11c25w14.mp3,Atayal,YilanZeaol_Atayal,11,25W_14
生活會話篇,./ePark_3/4.生活會話篇/11/word/11c25w15.mp3,Atayal,YilanZeaol_Atayal,11,25W_15
生活會話篇,./ePark_3/4.生活會話篇/11/word/11c25w16.mp3,Atayal,YilanZeaol_Atayal,11,25W_16
生活會話篇,./ePark_3/4.生活會話篇/11/word/11c28w2.mp3,Atayal,YilanZeaol_Atayal,11,28W_2
生活會話篇,./ePark_3/4.生活會話篇/11/word/11c28w3.mp3,Atayal,YilanZeaol_Atayal,11,28W_3
生活會話篇,./ePark_3/4.生活會話篇/11/word/11c28w4.mp3,Atayal,YilanZeaol_Atayal,11,28W_4
生活會話篇,./ePark_3/4.生活會話篇/11/word/11c28w5.mp3,Atayal,YilanZeaol_Atayal,11,28W_5
生活會話篇,./ePark_3/4.生活會話篇/11/word/11c28w6.mp3,Atayal,YilanZeaol_Atayal,11,28W_6
生活會話篇,./ePark_3/4.生活會話篇/11/word/11c28w7.mp3,Atayal,YilanZeaol_Atayal,11,28W_7
生活會話篇,./ePark_3/4.生活會話篇/11/word/11c28w8.mp3,Atayal,YilanZeaol_Atayal,11,28W_8
生活會話篇,./ePark_3/4.生活會話篇/11/word/11c28w9.mp3,Atayal,YilanZeaol_Atayal,11,28W_9
生活會話篇,./ePark_3/4.生活會話篇/11/word/11c28w10.mp3,Atayal,YilanZeaol_Atayal,11,28W_10
生活會話篇,./ePark_3/4.生活會話篇/11/word/11c28w11.mp3,Atayal,YilanZeaol_Atayal,11,28W_11
生活會話篇,./ePark_3/4.生活會話篇/11/word/11c28w12.mp3,Atayal,YilanZeaol_Atayal,11,28W_12
生活會話篇,./ePark_3/4.生活會話篇/11/word/11c28w13.mp3,Atayal,YilanZeaol_Atayal,11,28W_13
生活會話篇,./ePark_3/4.生活會話篇/11/word/11c28w14.mp3,Atayal,YilanZeaol_Atayal,11,28W_14
生活會話篇,./ePark_3/4.生活會話篇/11/word/11c28w15.mp3,Atayal,YilanZeaol_Atayal,11,28W_15
生活會話篇,./ePark_3/4.生活會話篇/42/sentence/42c22s1.mp3,Yami,Yami,42,22S_1
生活會話篇,./ePark_3/4.生活會話篇/42/sentence/42c22s2.mp3,Yami,Yami,42,22S_2
生活會話篇,./ePark_3/4.生活會話篇/42/sentence/42c22s3.mp3,Yami,Yami,42,22S_3
生活會話篇,./ePark_3/4.生活會話篇/42/sentence/42c22s4.mp3,Yami,Yami,42,22S_4
生活會話篇,./ePark_3/4.生活會話篇/42/sentence/42c22s5.mp3,Yami,Yami,42,22S_5
生活會話篇,./ePark_3/4.生活會話篇/42/sentence/42c22s6.mp3,Yami,Yami,42,22S_6
生活會話篇,./ePark_3/4.生活會話篇/42/sentence/42c22s7.mp3,Yami,Yami,42,22S_7
生活會話篇,./ePark_3/4.生活會話篇/42/sentence/42c22s8.mp3,Yami,Yami,42,22S_8
生活會話篇,./ePark_3/4.生活會話篇/42/sentence/42c22s9.mp3,Yami,Yami,42,22S_9
生活會話篇,./ePark_3/4.生活會話篇/42/sentence/42c22s10.mp3,Yami,Yami,42,22S_10
生活會話篇,./ePark_3/4.生活會話篇/42/word/42c22w1.mp3,Yami,Yami,42,22W_1
生活會話篇,./ePark_3/4.生活會話篇/42/word/42c22w2.mp3,Yami,Yami,42,22W_2
生活會話篇,./ePark_3/4.生活會話篇/42/word/42c22w3.mp3,Yami,Yami,42,22W_3
生活會話篇,./ePark_3/4.生活會話篇/42/word/42c22w4.mp3,Yami,Yami,42,22W_4
生活會話篇,./ePark_3/4.生活會話篇/42/word/42c22w5.mp3,Yami,Yami,42,22W_5
生活會話篇,./ePark_3/4.生活會話篇/42/word/42c22w6.mp3,Yami,Yami,42,22W_6
生活會話篇,./ePark_3/4.生活會話篇/42/word/42c22w7.mp3,Yami,Yami,42,22W_7
生活會話篇,./ePark_3/4.生活會話篇/42/word/42c22w8.mp3,Yami,Yami,42,22W_8
生活會話篇,./ePark_3/4.生活會話篇/42/word/42c22w9.mp3,Yami,Yami,42,22W_9
生活會話篇,./ePark_3/4.生活會話篇/42/word/42c22w10.mp3,Yami,Yami,42,22W_10
生活會話篇,./ePark_3/4.生活會話篇/42/word/42c22w11.mp3,Yami,Yami,42,22W_11
生活會話篇,./ePark_3/4.生活會話篇/42/word/42c22w12.mp3,Yami,Yami,42,22W_12
生活會話篇,./ePark_3/4.生活會話篇/42/word/42c22w13.mp3,Yami,Yami,42,22W_13
生活會話篇,./ePark_3/4.生活會話篇/42/word/42c22w14.mp3,Yami,Yami,42,22W_14
生活會話篇,./ePark_3/4.生活會話篇/42/word/42c22w15.mp3,Yami,Yami,42,22W_15
生活會話篇,./ePark_3/4.生活會話篇/6/sentence/6c4s4.mp3,Atayal,Sekolik_Atayal,6,4S_4
生活會話篇,./ePark_3/4.生活會話篇/6/sentence/6c14s9.mp3,Atayal,Sekolik_Atayal,6,14S_9
生活會話篇,./ePark_3/4.生活會話篇/6/sentence/6c18s12.mp3,Atayal,Sekolik_Atayal,6,18S_12
生活會話篇,./ePark_3/4.生活會話篇/6/sentence/6c19s1.mp3,Atayal,Sekolik_Atayal,6,19S_1
生活會話篇,./ePark_3/4.生活會話篇/6/sentence/6c29s8.mp3,Atayal,Sekolik_Atayal,6,29S_8
生活會話篇,./ePark_3/4.生活會話篇/28/sentence/28c6s5.mp3,Rukai,Wutai_Rukai,28,6S_5
生活會話篇,./ePark_3/4.生活會話篇/28/sentence/28c6s6.mp3,Rukai,Wutai_Rukai,28,6S_6
生活會話篇,./ePark_3/4.生活會話篇/28/sentence/28c29s4.mp3,Rukai,Wutai_Rukai,28,29S_4
生活會話篇,./ePark_3/4.生活會話篇/17/sentence/17c24s6.mp3,Seediq,DeluValley_Seediq,17,24S_6
生活會話篇,./ePark_3/4.生活會話篇/10/word/10c28w9.mp3,Atayal,FourSeasons_Atayal,10,28W_9
生活會話篇,./ePark_3/4.生活會話篇/19/sentence/19c3s10.mp3,Bunun,Kaqun_Bunun,19,3S_10
生活會話篇,./ePark_3/4.生活會話篇/26/sentence/26c22s5.mp3,Paiwan,Southern_Paiwan,26,22S_5
生活會話篇,./ePark_3/4.生活會話篇/21/word/21c7w1.mp3,Bunun,Luanqun_Bunun,21,7W_1
生活會話篇,./ePark_3/4.生活會話篇/21/word/21c7w2.mp3,Bunun,Luanqun_Bunun,21,7W_2
生活會話篇,./ePark_3/4.生活會話篇/21/word/21c7w3.mp3,Bunun,Luanqun_Bunun,21,7W_3
生活會話篇,./ePark_3/4.生活會話篇/21/word/21c7w4.mp3,Bunun,Luanqun_Bunun,21,7W_4
生活會話篇,./ePark_3/4.生活會話篇/21/word/21c7w5.mp3,Bunun,Luanqun_Bunun,21,7W_5
生活會話篇,./ePark_3/4.生活會話篇/21/word/21c7w6.mp3,Bunun,Luanqun_Bunun,21,7W_6
生活會話篇,./ePark_3/4.生活會話篇/21/word/21c7w7.mp3,Bunun,Luanqun_Bunun,21,7W_7
生活會話篇,./ePark_3/4.生活會話篇/21/word/21c7w8.mp3,Bunun,Luanqun_Bunun,21,7W_8
生活會話篇,./ePark_3/4.生活會話篇/21/word/21c7w9.mp3,Bunun,Luanqun_Bunun,21,7W_9
生活會話篇,./ePark_3/4.生活會話篇/21/word/21c7w10.mp3,Bunun,Luanqun_Bunun,21,7W_10
生活會話篇,./ePark_3/4.生活會話篇/21/word/21c7w11.mp3,Bunun,Luanqun_Bunun,21,7W_11
生活會話篇,./ePark_3/4.生活會話篇/21/word/21c7w12.mp3,Bunun,Luanqun_Bunun,21,7W_12
生活會話篇,./ePark_3/4.生活會話篇/21/word/21c7w13.mp3,Bunun,Luanqun_Bunun,21,7W_13
生活會話篇,./ePark_3/4.生活會話篇/21/word/21c7w14.mp3,Bunun,Luanqun_Bunun,21,7W_14
生活會話篇,./ePark_3/4.生活會話篇/21/word/21c7w15.mp3,Bunun,Luanqun_Bunun,21,7W_15
生活會話篇,./ePark_3/4.生活會話篇/21/word/21c7w16.mp3,Bunun,Luanqun_Bunun,21,7W_16
生活會話篇,./ePark_3/4.生活會話篇/21/word/21c7w17.mp3,Bunun,Luanqun_Bunun,21,7W_17
生活會話篇,./ePark_3/4.生活會話篇/21/word/21c8w15.mp3,Bunun,Luanqun_Bunun,21,8W_15
生活會話篇,./ePark_3/4.生活會話篇/21/word/21c19w1.mp3,Bunun,Luanqun_Bunun,21,19W_1
生活會話篇,./ePark_3/4.生活會話篇/43/sentence/43c28s1.mp3,Sakizaya,Sakizaya,43,28S_1
生活會話篇,./ePark_3/4.生活會話篇/43/sentence/43c28s2.mp3,Sakizaya,Sakizaya,43,28S_2
生活會話篇,./ePark_3/4.生活會話篇/43/sentence/43c28s3.mp3,Sakizaya,Sakizaya,43,28S_3
生活會話篇,./ePark_3/4.生活會話篇/43/sentence/43c28s4.mp3,Sakizaya,Sakizaya,43,28S_4
生活會話篇,./ePark_3/4.生活會話篇/43/sentence/43c28s5.mp3,Sakizaya,Sakizaya,43,28S_5
生活會話篇,./ePark_3/4.生活會話篇/43/sentence/43c28s6.mp3,Sakizaya,Sakizaya,43,28S_6
生活會話篇,./ePark_3/4.生活會話篇/43/sentence/43c28s7.mp3,Sakizaya,Sakizaya,43,28S_7
生活會話篇,./ePark_3/4.生活會話篇/43/sentence/43c28s8.mp3,Sakizaya,Sakizaya,43,28S_8
生活會話篇,./ePark_3/4.生活會話篇/43/sentence/43c28s9.mp3,Sakizaya,Sakizaya,43,28S_9
生活會話篇,./ePark_3/4.生活會話篇/43/sentence/43c28s10.mp3,Sakizaya,Sakizaya,43,28S_10
生活會話篇,./ePark_3/4.生活會話篇/43/word/43c1w5.mp3,Sakizaya,Sakizaya,43,1W_5
生活會話篇,./ePark_3/4.生活會話篇/36/sentence/36c14s7.mp3,Kanakanavu,Kanakanavu,36,14S_7
生活會話篇,./ePark_3/4.生活會話篇/36/word/36c14w14.mp3,Kanakanavu,Kanakanavu,36,14W_14
生活會話篇,./ePark_3/4.生活會話篇/36/word/36c14w15.mp3,Kanakanavu,Kanakanavu,36,14W_15
生活會話篇,./ePark_3/4.生活會話篇/36/word/36c14w16.mp3,Kanakanavu,Kanakanavu,36,14W_16
生活會話篇,./ePark_3/4.生活會話篇/31/sentence/31c24s4.mp3,Rukai,Maolin_Rukai,31,24S_4
生活會話篇,./ePark_3/4.生活會話篇/31/sentence/31c24s5.mp3,Rukai,Maolin_Rukai,31,24S_5
生活會話篇,./ePark_3/4.生活會話篇/31/sentence/31c24s6.mp3,Rukai,Maolin_Rukai,31,24S_6
生活會話篇,./ePark_3/4.生活會話篇/31/sentence/31c24s7.mp3,Rukai,Maolin_Rukai,31,24S_7
生活會話篇,./ePark_3/4.生活會話篇/31/sentence/31c24s8.mp3,Rukai,Maolin_Rukai,31,24S_8
生活會話篇,./ePark_3/4.生活會話篇/31/sentence/31c24s9.mp3,Rukai,Maolin_Rukai,31,24S_9
生活會話篇,./ePark_3/4.生活會話篇/31/sentence/31c24s10.mp3,Rukai,Maolin_Rukai,31,24S_10
生活會話篇,./ePark_3/4.生活會話篇/31/word/31c10w15.mp3,Rukai,Maolin_Rukai,31,10W_15
生活會話篇,./ePark_3/4.生活會話篇/31/word/31c28w17.mp3,Rukai,Maolin_Rukai,31,28W_17
生活會話篇,./ePark_3/4.生活會話篇/31/word/31c29w18.mp3,Rukai,Maolin_Rukai,31,29W_18
生活會話篇,./ePark_3/4.生活會話篇/31/word/31c30w18.mp3,Rukai,Maolin_Rukai,31,30W_18
生活會話篇,./ePark_3/4.生活會話篇/30/sentence/30c21s12.mp3,Rukai,Dona_Rukai,30,21S_12
生活會話篇,./ePark_3/4.生活會話篇/30/sentence/30c25s10.mp3,Rukai,Dona_Rukai,30,25S_10
生活會話篇,./ePark_3/4.生活會話篇/37/sentence/37c2s1.mp3,Saaroa,Saaroa,37,2S_1
生活會話篇,./ePark_3/4.生活會話篇/37/sentence/37c2s2.mp3,Saaroa,Saaroa,37,2S_2
生活會話篇,./ePark_3/4.生活會話篇/37/sentence/37c2s3.mp3,Saaroa,Saaroa,37,2S_3
生活會話篇,./ePark_3/4.生活會話篇/37/sentence/37c2s4.mp3,Saaroa,Saaroa,37,2S_4
生活會話篇,./ePark_3/4.生活會話篇/37/sentence/37c2s5.mp3,Saaroa,Saaroa,37,2S_5
生活會話篇,./ePark_3/4.生活會話篇/37/sentence/37c2s6.mp3,Saaroa,Saaroa,37,2S_6
生活會話篇,./ePark_3/4.生活會話篇/37/sentence/37c2s7.mp3,Saaroa,Saaroa,37,2S_7
生活會話篇,./ePark_3/4.生活會話篇/37/sentence/37c2s8.mp3,Saaroa,Saaroa,37,2S_8
生活會話篇,./ePark_3/4.生活會話篇/37/sentence/37c2s9.mp3,Saaroa,Saaroa,37,2S_9
生活會話篇,./ePark_3/4.生活會話篇/37/sentence/37c2s10.mp3,Saaroa,Saaroa,37,2S_10
生活會話篇,./ePark_3/4.生活會話篇/37/sentence/37c2s11.mp3,Saaroa,Saaroa,37,2S_11
生活會話篇,./ePark_3/4.生活會話篇/37/sentence/37c2s12.mp3,Saaroa,Saaroa,37,2S_12
生活會話篇,./ePark_3/4.生活會話篇/37/sentence/37c14s12.mp3,Saaroa,Saaroa,37,14S_12
生活會話篇,./ePark_3/4.生活會話篇/37/sentence/37c16s11.mp3,Saaroa,Saaroa,37,16S_11
生活會話篇,./ePark_3/4.生活會話篇/37/sentence/37c22s11.mp3,Saaroa,Saaroa,37,22S_11
生活會話篇,./ePark_3/4.生活會話篇/37/word/37c2w1.mp3,Saaroa,Saaroa,37,2W_1
生活會話篇,./ePark_3/4.生活會話篇/37/word/37c2w2.mp3,Saaroa,Saaroa,37,2W_2
生活會話篇,./ePark_3/4.生活會話篇/37/word/37c2w3.mp3,Saaroa,Saaroa,37,2W_3
生活會話篇,./ePark_3/4.生活會話篇/37/word/37c2w4.mp3,Saaroa,Saaroa,37,2W_4
