ePark topic,audio path,lang,dialect,idx,id
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_22_V1.mp3,Kavalan,Kavalan,34,22W_1
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_22_V2.mp3,Kavalan,Kavalan,34,22W_2
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_22_V3.mp3,Kavalan,Kavalan,34,22W_3
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_22_V4.mp3,Kavalan,Kavalan,34,22W_4
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_22_V5.mp3,Kavalan,Kavalan,34,22W_5
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_22_V6.mp3,Kavalan,Kavalan,34,22W_6
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_22_V7.mp3,Kavalan,Kavalan,34,22W_7
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_22_V8.mp3,Kavalan,Kavalan,34,22W_8
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_22_V9.mp3,Kavalan,Kavalan,34,22W_9
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_22_V10.mp3,Kavalan,Kavalan,34,22W_10
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_22_V11.mp3,Kavalan,Kavalan,34,22W_11
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_22_V12.mp3,Kavalan,Kavalan,34,22W_12
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_22_V13.mp3,Kavalan,Kavalan,34,22W_13
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_22_V14.mp3,Kavalan,Kavalan,34,22W_14
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_22_V15.mp3,Kavalan,Kavalan,34,22W_15
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_22_V16.mp3,Kavalan,Kavalan,34,22W_16
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_22_V17.mp3,Kavalan,Kavalan,34,22W_17
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_22_V18.mp3,Kavalan,Kavalan,34,22W_18
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_22_V19.mp3,Kavalan,Kavalan,34,22W_19
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_22_V20.mp3,Kavalan,Kavalan,34,22W_20
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_23_V1.mp3,Kavalan,Kavalan,34,23W_1
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_23_V2.mp3,Kavalan,Kavalan,34,23W_2
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_23_V3.mp3,Kavalan,Kavalan,34,23W_3
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_23_V4.mp3,Kavalan,Kavalan,34,23W_4
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_23_V5.mp3,Kavalan,Kavalan,34,23W_5
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_23_V6.mp3,Kavalan,Kavalan,34,23W_6
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_23_V7.mp3,Kavalan,Kavalan,34,23W_7
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_23_V8.mp3,Kavalan,Kavalan,34,23W_8
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_23_V9.mp3,Kavalan,Kavalan,34,23W_9
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_23_V10.mp3,Kavalan,Kavalan,34,23W_10
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_23_V11.mp3,Kavalan,Kavalan,34,23W_11
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_23_V12.mp3,Kavalan,Kavalan,34,23W_12
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_23_V13.mp3,Kavalan,Kavalan,34,23W_13
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_23_V14.mp3,Kavalan,Kavalan,34,23W_14
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_23_V15.mp3,Kavalan,Kavalan,34,23W_15
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_23_V16.mp3,Kavalan,Kavalan,34,23W_16
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_23_V17.mp3,Kavalan,Kavalan,34,23W_17
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_24_V1.mp3,Kavalan,Kavalan,34,24W_1
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_24_V2.mp3,Kavalan,Kavalan,34,24W_2
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_24_V3.mp3,Kavalan,Kavalan,34,24W_3
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_24_V4.mp3,Kavalan,Kavalan,34,24W_4
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_24_V5.mp3,Kavalan,Kavalan,34,24W_5
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_24_V6.mp3,Kavalan,Kavalan,34,24W_6
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_24_V7.mp3,Kavalan,Kavalan,34,24W_7
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_24_V8.mp3,Kavalan,Kavalan,34,24W_8
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_24_V9.mp3,Kavalan,Kavalan,34,24W_9
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_24_V10.mp3,Kavalan,Kavalan,34,24W_10
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_24_V11.mp3,Kavalan,Kavalan,34,24W_11
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_24_V12.mp3,Kavalan,Kavalan,34,24W_12
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_24_V13.mp3,Kavalan,Kavalan,34,24W_13
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_24_V14.mp3,Kavalan,Kavalan,34,24W_14
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_24_V15.mp3,Kavalan,Kavalan,34,24W_15
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_24_V16.mp3,Kavalan,Kavalan,34,24W_16
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_24_V17.mp3,Kavalan,Kavalan,34,24W_17
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_24_V18.mp3,Kavalan,Kavalan,34,24W_18
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_24_V19.mp3,Kavalan,Kavalan,34,24W_19
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_24_V20.mp3,Kavalan,Kavalan,34,24W_20
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_25_V1.mp3,Kavalan,Kavalan,34,25W_1
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_25_V2.mp3,Kavalan,Kavalan,34,25W_2
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_25_V3.mp3,Kavalan,Kavalan,34,25W_3
