ePark topic,id,textId,dialectId,dialect,sentenceOrder
繪本平台,853024,6849,6,Sekolik_Atayal,16
繪本平台,853023,6849,6,Sekolik_Atayal,12
繪本平台,853021,3281,6,Sekolik_Atayal,10
繪本平台,853020,3317,6,Sekolik_Atayal,16
繪本平台,97547,3262,6,Sekolik_Atayal,12
繪本平台,852828,61833,6,Sekolik_Atayal,22
繪本平台,852255,61833,6,Sekolik_Atayal,19
繪本平台,52117,3901,34,Kavalan,16
繪本平台,80289,6749,34,Kavalan,12
繪本平台,109091,8612,34,Kavalan,13
繪本平台,51517,3846,34,Kavalan,12
繪本平台,80293,6749,34,Kavalan,16
繪本平台,51753,3865,34,Kavalan,10
繪本平台,852423,61841,34,Kavalan,19
繪本平台,852836,61841,34,Kavalan,22
繪本平台,49314,3646,24,Northern_Paiwan,10
繪本平台,49678,3682,24,Northern_Paiwan,16
繪本平台,80739,6793,24,Northern_Paiwan,12
繪本平台,97700,2960,24,Northern_Paiwan,12
繪本平台,80743,6793,24,Northern_Paiwan,16
繪本平台,852360,61838,24,Northern_Paiwan,19
繪本平台,852833,61838,24,Northern_Paiwan,22
繪本平台,53735,4042,38,Nanwang_Puyuma,10
繪本平台,852838,61843,38,Nanwang_Puyuma,22
繪本平台,53499,4023,38,Nanwang_Puyuma,12
繪本平台,852465,61843,38,Nanwang_Puyuma,19
繪本平台,54099,4078,38,Nanwang_Puyuma,16
繪本平台,80130,6732,38,Nanwang_Puyuma,12
繪本平台,80134,6732,38,Nanwang_Puyuma,16
繪本平台,97701,3700,28,Wutai_Rukai,12
繪本平台,50127,3719,28,Wutai_Rukai,10
繪本平台,50491,3755,28,Wutai_Rukai,16
繪本平台,80568,6777,28,Wutai_Rukai,16
繪本平台,80564,6777,28,Wutai_Rukai,12
繪本平台,852381,61839,28,Wutai_Rukai,19
繪本平台,852834,61839,28,Wutai_Rukai,22
繪本平台,79616,6683,37,Saaroa,16
繪本平台,57351,4370,37,Saaroa,16
繪本平台,56751,4315,37,Saaroa,12
繪本平台,79612,6683,37,Saaroa,12
繪本平台,56987,4334,37,Saaroa,10
繪本平台,45826,3335,13,Saisiyat,12
繪本平台,46426,3390,13,Saisiyat,16
繪本平台,46062,3354,13,Saisiyat,10
繪本平台,81114,6832,13,Saisiyat,16
繪本平台,81110,6832,13,Saisiyat,12
繪本平台,852829,61834,13,Saisiyat,22
繪本平台,852276,61834,13,Saisiyat,19
繪本平台,55125,4169,43,Sakizaya,12
繪本平台,55361,4188,43,Sakizaya,10
繪本平台,55725,4224,43,Sakizaya,16
繪本平台,79911,6710,43,Sakizaya,16
繪本平台,79907,6710,43,Sakizaya,12
繪本平台,852507,61845,43,Sakizaya,19
繪本平台,852840,61845,43,Sakizaya,22
繪本平台,47452,3481,16,Tegudaya_Seediq,12
繪本平台,47688,3500,16,Tegudaya_Seediq,10
繪本平台,48052,3536,16,Tegudaya_Seediq,16
繪本平台,80950,6814,16,Tegudaya_Seediq,12
繪本平台,80954,6814,16,Tegudaya_Seediq,16
繪本平台,852831,61836,16,Tegudaya_Seediq,22
繪本平台,852318,61836,16,Tegudaya_Seediq,19
繪本平台,81066,6826,14,Thao,16
繪本平台,81062,6826,14,Thao,12
繪本平台,47239,3463,14,Thao,16
繪本平台,46639,3408,14,Thao,12
繪本平台,853022,3427,14,Thao,10
繪本平台,520722,33260,14,Thao,13
繪本平台,852830,61835,14,Thao,22
繪本平台,852297,61835,14,Thao,19
繪本平台,50940,3792,33,Truku,10
繪本平台,97545,3773,33,Truku,12
繪本平台,80485,6766,33,Truku,16
繪本平台,106096,8584,33,Truku,16
繪本平台,77936,3828,33,Truku,16
繪本平台,80481,6766,33,Truku,12
繪本平台,106095,8584,33,Truku,13
繪本平台,852402,61840,33,Truku,19
繪本平台,852835,61840,33,Truku,22
繪本平台,97702,4096,42,Yami,12
繪本平台,54548,4115,42,Yami,10
繪本平台,79955,6716,42,Yami,12
繪本平台,852486,61844,42,Yami,19
繪本平台,54912,4151,42,Yami,16
繪本平台,79959,6716,42,Yami,16
繪本平台,852839,61844,42,Yami,22
