language,dialect,segmented_sentences,glossed_proportion,audio_count,audio_time,eng_transl_count,zho_transl_count,word_count,file_count
,,0,0.0,0,0.0,0,0,0,
ami,Coastal,0,0.0,10391,48071.8973958333,2157,7520,58782,
ami,Hengchun,0,0.0,9344,36635.935166666706,2155,6325,36750,
ami,Malan,0,0.0,9355,30294.891687499956,2144,6276,36137,
ami,Southern,0,0.0,9008,33238.17939583336,2158,6076,36328,
ami,Xiuguluan,0,0.0,9255,35724.553833333346,2156,6373,37157,
bnn,Junqun,0,0.0,9914,58367.639109693904,2159,7196,52951,
bnn,Kaqun,0,0.0,8542,28661.507333333313,2154,6109,29654,
bnn,Luanqun,0,0.0,8856,28398.08056249998,2163,6142,30595,
bnn,Tanqun,0,0.0,8822,30851.550500000012,2154,5932,29721,
bnn,Zhuoqun,0,0.0,8433,29161.49960416668,2156,5946,28834,
ckv,,0,0.0,10656,47202.267592403645,2129,7999,55427,
dru,Dawu,0,0.0,8865,34049.93554166668,2151,6283,29992,
dru,Dona,0,0.0,9125,31994.12987500001,2154,6193,28565,
dru,Eastern,0,0.0,8649,33774.11931746034,2149,6031,30151,
dru,Maolin,0,0.0,8584,31522.900090419498,2158,6149,27693,
dru,Wanshan,0,0.0,8315,30229.875770833358,2150,6295,24350,
dru,Wutai,0,0.0,10287,57273.5996666667,2157,7512,54316,
pwn,Central,0,0.0,9778,33852.61249943308,2184,6467,34761,
pwn,Eastern,0,0.0,9161,36135.32190702949,2141,6241,35999,
pwn,Northern,0,0.0,11482,50139.663297619074,2202,8095,59628,
pwn,Southern,0,0.0,10023,37836.97899999999,2154,6639,38127,
pyu,Jianhe,0,0.0,9686,33983.86853245468,2153,6502,35383,
pyu,Nanwang,0,0.0,11771,69139.03125000001,2150,8545,65251,
pyu,Xiqun,0,0.0,9768,35632.23772916663,2229,6581,37157,
pyu,Zhiben,0,0.0,9968,38807.35939583332,2155,6648,39643,
ssf,,0,0.0,10126,41310.48429166671,2122,7451,55061,
sxr,,0,0.0,9757,57674.822861819746,2150,7754,42794,
szy,,0,0.0,10199,50388.67729166669,2149,7386,53556,
tao,,0,0.0,10840,50158.78022534014,2065,7449,63454,
tay,FourSeasons,0,0.0,9467,33017.93424192177,2159,6714,38172,
tay,Sekolik,0,0.0,10775,50323.68806250002,2309,7776,59304,
tay,Wanda,0,0.0,8893,31587.233895833357,2154,5896,31056,
tay,Wenshui,0,0.0,9528,34198.67959374994,2156,6035,37004,
tay,YilanZeaol,0,0.0,9457,37102.23363095243,2160,6276,40229,
tay,Zeaol,0,0.0,9491,35680.59766666671,2149,6369,39479,
trv,DeluValley,0,0.0,9660,41958.039287698484,2159,6367,39861,
trv,Duda,0,0.0,10688,36338.76529166669,2158,6264,41788,
trv,Tegudaya,0,0.0,10205,44812.15517531177,2158,7393,57748,
trv,Truku,0,0.0,10557,49201.934238236965,2154,7280,56374,
tsu,,0,0.0,10627,54664.99452083335,2150,7652,56625,
xnb,,0,0.0,10430,57925.98510416671,2148,7771,48937,
xsy,,0,0.0,10343,45119.50175907026,2155,7364,50597,
