letter	Tegudaya	Duda	DeluValley	Truku	default
ng	ŋ	ŋ	ŋ	ŋ	ŋ
ey	NA	e	e	e	e
ow	NA	NA	NA	o	NA
ci	NA	NA	NA	ci	NA
cy	NA	NA	NA	cj	NA
ee	NA	NA	NA	eʔe	NA
mb	NA	NA	NA	m̩b	NA
mp	NA	NA	NA	m̩p	NA
hi	NA	NA	NA	he	NA
qi	NA	NA	NA	qe	NA
ih	NA	NA	NA	eh	NA
iq	NA	NA	NA	eq	NA
hu	NA	NA	NA	ho	NA
qu	NA	NA	NA	qo	NA
uh	NA	NA	NA	oh	NA
uq	NA	NA	NA	oq	NA
p	p	p	p	p	p
b	b	b	b	b	b
t	t	t	t	t	t
d	d	d	d	d	d
k	k	k	k	k	k
g	g	NA	g	ɣ	g
q	q	q	q	q	q
c	ʦ	ʦ	ʦ	ʦ	ʦ
j	NA	ɟ	ɟ	ɟ	ɟ
s	s	s	s	s	s
x	x	x	x	x	x
h	ħ	ħ	ħ	ħ	ħ
m	m	m	m	m	m
n	n	n	n	n	n
r	ɾ	ɾ	ɾ	ɾ	ɾ
l	l	l	l	ɮ	l
w	w	w	w	w	w
y	j	j	j	j	j
i	i	i	i	i	i
e	e	e~ə	ə	ə	ə
a	a	a	a	a	a
u	u	u	u	u	u
o	o	o	o	o	o
