letter	Sekolik	FourSeasons	Zeaol	Wenshui	Wanda	YilanZeaol	standard
ng	ŋ	ŋ	ŋ	ŋ	ŋ	NA	ŋ
n_g	nɣ	nɣ	nɣ	nɣ	nɣ	NA	nɣ
p	p	p	p	p	p	NA	p
t	t	t	t	t	t	NA	t
k	k	k	k	k	k	NA	k
q	q	q	NA	q	q	NA	q
'	ʔ	ʔ	ʔ	ʔ	ʔ	NA	ʔ
c	ʦ	ʦ	ʦ	ʦ	ʦ	NA	ʦ
b	β~v	β~v	β~v	β~v	β~v	NA	β~v
s	s	s	s	s	s	NA	s
z	z	z	z	NA	NA	NA	z
x	x	x	x	x	x	NA	x
g	ɣ	ɣ	ɣ	ɣ	ɣ	NA	ɣ
h	ħ	ħ	ħ	ħ	ħ	NA	ħ
m	m	m	m	m	m	NA	m
n	n	n	n	n	n	NA	n
r	r	r	r	r	r	NA	r
ṟ	NA	NA	NA	NA	ɾ	NA	ɾ
l	l	l	l	l	l	NA	l
w	w	w	w	w	w	NA	w
y	j	j	j	j	j	NA	j
i	i	i	i	i	i	NA	i
e	e	e	e	e	e	NA	e
a	a	a	a	a	a	NA	a
u	u	u	u	u	u	NA	u
o	o	o	o	o	o	NA	o
