language,ilrdf_headword(s),corrupted_word,recovered_word,occurrences,evidence_count
Kanakanavu,kara,?r?na?,ʉrʉna,1,16
Kanakanavu,kara,cim?r?,cimʉrʉ,1,158
Kanakanavu,kara;kesoni;neni,k?n?a,kʉnʉa,3,41
Kanakanavu,kara,kaman?ng??,kamanʉngʉ,1,318
Kanakanavu,kara,kiatuturu?n,kiatuturuʉn,1,8
Kanakanavu,kara;kasʉ;makananu,kumak?n?,kumakʉnʉ,3,518
Kanakanavu,neni,kumak?n??,kumakʉnʉ,1,518
Kanakanavu,iikamu,kuvuc?r?k?,kuvucʉrʉkʉ,1,4
Kanakanavu,kisia,makac?k?na?,makacʉkʉna,1,62
Kanakanavu,makananu,maman?ng,mamanʉng,1,597
Kanakanavu,kara,man?ng,manʉng,4,39
Kanakanavu,marʉkurapʉ,mar?kurap?,marʉkurapʉ,1,48
Kanakanavu,nanu,mar?ng?cai,marʉngʉcai,1,74
Kanakanavu,miseni,mariʼ?r?can?,mariʼʉrʉcan,1,8
Kanakanavu,kasʉ,mi?ra?,miʉra,1,111
Kanakanavu,kesoni,mus?ʼ?,musʉʼʉ,1,49
Kanakanavu,pakʉnnanu,pak?nnanu?,pakʉnnanu,1,63
Kanakanavu,kara,sinip?r?,sinipʉrʉ,1,3
Kanakanavu,kara;kesoni,tanas?n,tanasʉn,2,125
Kanakanavu,makananu,tavaraʼ?a,tavaraʼʉa,1,23
Kanakanavu,kusai,tavaraʼ?n,tavaraʼʉn,1,46
Kanakanavu,isa,taʼ?n?,taʼʉnʉ,1,33
Saaroa,i,?l?ngan?,ʉlʉnganʉ,1,8
Saaroa,hlahlusa,Naʼap?na?,Naʼapʉna,1,4
Saaroa,i,ariat?k?rana?,ariatʉkʉrana,1,86
Saaroa,i,hlil?m?m?k?,hlilʉmʉmʉkʉ,1,4
Saaroa,hlipatʉahlʉ,hlipat?ahl?,hlipatʉahlʉ,1,4
Saaroa,i,k?l?p?ng?,kʉlʉpʉngʉ,1,39
Saaroa,hliangahli,m?c?k?hl??,mʉcʉkʉhlʉ,1,56
Saaroa,i,m?c?k?hlicu,mʉcʉkʉhlicu,1,4
Saaroa,i,m?m?a?,mʉmʉa,2,221
Saaroa,tainini,maiv?v?r?nga?,maivʉvʉrʉnga,1,12
Saaroa,i,malis?hl?,malisʉhlʉ,1,30
Saaroa,i,masiam?na?,masiamʉna,1,4
Saaroa,i,paratahl?k?t?kana,paratahlʉkʉtʉkana,1,6
Saaroa,i,pat?k?,patʉkʉ,1,73
Saaroa,i,r?r?man?,rʉrʉmanʉ,1,55
Saaroa,i,suhlat?na,suhlatʉna,1,26
Saaroa,i,t?n?m??,tʉnʉmʉ,1,21
Saaroa,upiaini,taluava?lana,taluavaʉlana,1,32
Saaroa,aunini,tapa?isa?,tapaʉisa,1,52
Saaroa,i,taʼ?hla,taʼʉhla,1,27
Saaroa,i,tumamahl?ng??,tumamahlʉngʉ,1,170
Saaroa,tainini,umac?ka,umacʉka,1,40
Saaroa,i,vakat?mami?,vakatʉmami,1,2
Tsou,emoo,a?sv?t?,aʉsvʉtʉ,1,27
Tsou,aʉsvʉta,a?sv?ta,aʉsvʉta,1,8
Tsou,hicu,a?tʼ?ca,aʉtʼʉca,1,24
Tsou,hosa,ac?h?,acʉhʉ,1,85
Tsou,emoo,acʼ?h?,acʼʉhʉ,1,17
Tsou,mainci,akʼeng?ca?,akʼengʉca,1,14
Tsou,nacuma;yuansou,et?p??,etʉpʉ,2,29
Tsou,emoo,fe?ngna,feʉngna,1,37
Tsou,emi,fe?ʼ?,feʉʼʉ,1,73
Tsou,emoo,h?f?,hʉfʉ,1,11
Tsou,emoo,hp?hp?ng??,hpʉhpʉngʉ,1,21
Tsou,ihecu,m?ʼho,mʉʼho,1,2
Tsou,teko,pe?i,peʉi,1,2
Tsou,yuevaha,peel?i,peelʉi,1,6
Tsou,teko,s?m?a?,sʉmʉa,1,2
Tsou,yuhmuyu,smol?ʼe,smolʉʼe,1,2
