Language,Official,Chinese,glottocode,OtherNames
Amis,Southern,南勢,sout2929,Northern/南勢
Amis,Xiuguluan,秀姑巒,nat1254,Central
Amis,Coastal,海岸,cent2104,
Amis,Malan,馬蘭,sout2929,
Amis,Hengchun,恆春,sout2929,
Atayal,Sekolik,賽考利,,
Atayal,Zeaol,澤敖利,,
Atayal,Wenshui,汶水,,
Atayal,Wanda,萬大,,
Atayal,FourSeasons,四季泰,,
Atayal,YilanZeaol,宜蘭澤敖利,,
Seediq,Duda,都達,teud1237,
Seediq,Tegudaya,德固達雅,teke1282,
Seediq,DeluValley,德路固,teru1237,
Bunun,Zhuoqun,卓群,taki1252,
Bunun,Kaqun,卡群,taki1251,
Bunun,Tanqun,丹群,tako1237,
Bunun,Luanqun,巒群,,
Bunun,Junqun,郡群,sout2930,
Paiwan,Eastern,東,,
Paiwan,Northern,北,,
Paiwan,Central,中,,
Paiwan,Southern,南,,
Rukai,Eastern,東,tana1287,
Rukai,Wutai,霧臺,buda1252,
Rukai,Dawu,大武,labu1252,
Rukai,Dona,多納,dona1238,
Rukai,Maolin,茂林,maga1265,
Rukai,Wanshan,萬山,mant1271,
Puyuma,Nanwang,南王,nanw1237,
Puyuma,Zhiben,知本,,
Puyuma,Xiqun,西群,,Chulu/初鹿
Puyuma,Jianhe,建和,,
Kanakanavu,,,
Kavalan,,,
Saaroa,,,
Saisiyat,,,
Sakizaya,,,
Thao,,,
Truku,,,
Tsou,,,
Yami,,,
