language,dialect,segmented_words,glossed_words,transcribed_audio_count,transcribed_audio_seconds,untranscribed_audio_count,untranscribed_audio_seconds,eng_transl_count,zho_transl_count,word_count,file_count,sentences,word_elements,morpheme_elements,translation_elements,audio_elements,parse_errors
ami,Xiuguluan,0,0,5482,30094.0,0,0.0,0,37140,37140,1,5482,0,0,5482,5482,0
bnn,Junqun,0,0,8714,44357.0,0,0.0,0,53541,53541,1,8714,0,0,8714,8714,0
ckv,,0,0,8241,39304.0,0,0.0,0,53088,53088,1,8241,0,0,8241,8241,0
dru,Wutai,0,0,10454,52871.0,0,0.0,0,60572,60572,1,10454,0,0,10454,10454,0
pwn,Northern,0,0,5365,33063.0,0,0.0,0,38316,38316,1,5365,0,0,5365,5365,0
pyu,Nanwang,0,0,7073,38169.0,0,0.0,0,51590,51590,1,7073,0,0,7073,7073,0
ssf,,0,0,6417,33176.0,0,0.0,0,44886,44889,1,6419,0,0,6419,6417,0
sxr,,0,0,4113,24999.0,0,0.0,0,19149,19149,1,4115,0,0,4115,4113,0
szy,,0,0,5360,29533.0,0,0.0,0,32233,32233,1,5360,0,0,5360,5360,0
tao,,0,0,6437,22810.0,0,0.0,0,39790,39790,1,6437,0,0,6437,6437,0
tay,Sekolik,0,0,6393,37828.0,0,0.0,0,53688,53688,1,6393,0,0,6393,6393,0
trv,Tegudaya,0,0,5478,30687.0,0,0.0,0,51664,51673,1,5478,0,0,5478,5478,0
trv,Truku,0,0,4680,25703.0,0,0.0,0,27973,27973,1,4682,0,0,4682,4680,0
tsu,,0,0,2879,15650.0,0,0.0,0,19184,19184,1,2884,0,0,2884,2879,0
xnb,,0,0,5639,45023.0,0,0.0,0,38130,38130,1,5639,0,0,5639,5639,0
xsy,,0,0,6102,32966.0,0,0.0,0,37491,37491,1,6102,0,0,6102,6102,0
