language,dialect,segmented_words,glossed_words,transcribed_audio_count,transcribed_audio_seconds,untranscribed_audio_count,untranscribed_audio_seconds,eng_transl_count,zho_transl_count,word_count,file_count,sentences,word_elements,morpheme_elements,translation_elements,audio_elements,parse_errors,jpn_transl_count
ami,Coastal,7528,7528,756,4156.3,0,0.0,7486,7531,7531,18,756,7528,9627,35737,756,0,0
bnn,Junqun,23463,23463,949,5841.7,0,0.0,23404,23396,23486,14,3023,23465,36127,123859,949,0,0
ckv,Kavalan,16286,16286,2390,10375.5,0,0.0,16225,16288,16290,31,2394,16287,23063,83076,2390,0,0
dru,Wutai,17292,17292,880,5939.8,0,0.0,17963,17961,17978,23,2266,17313,24763,87768,880,0,0
szy,Sakizaya,12968,12968,2020,8271.5,0,0.0,8993,14036,14038,16,2072,12746,16831,60532,2020,0,0
tay,Wenshui,5861,5861,490,3881.0,0,0.0,5859,5859,5864,11,490,5861,7263,27061,490,0,0
trv,Tegudaya,22803,22803,2704,11922.7,0,0.0,20369,25298,25298,27,2796,20835,26514,96861,2704,0,0
tsu,Tsou,10200,10195,672,3457.9,0,0.0,10206,10206,10206,12,951,10200,11258,44045,672,0,0
xnb,Kanakanavu,18854,18847,2619,14299.5,0,0.0,15169,20334,20354,21,3982,18381,26571,92844,2619,0,0
xsy,Saisiyat,10849,10848,1177,6475.0,0,0.0,10837,10837,10853,20,1294,10855,11900,47885,1177,0,0
