language,dialect,segmented_words,glossed_words,transcribed_audio_count,transcribed_audio_seconds,untranscribed_audio_count,untranscribed_audio_seconds,eng_transl_count,zho_transl_count,word_count,file_count,sentences,word_elements,morpheme_elements,translation_elements,audio_elements,parse_errors
ami,Xiuguluan,0,0,0,0.0,0,0.0,1929,1929,1929,1,33,0,0,66,0,0
bnn,Junqun,0,0,0,0.0,0,0.0,1548,1548,1548,1,33,0,0,66,0,0
ckv,Kavalan,0,0,0,0.0,0,0.0,2209,2209,2209,1,33,0,0,66,0,0
dru,Wutai,0,0,0,0.0,0,0.0,1948,1948,1948,1,33,0,0,66,0,0
pwn,Central,0,0,0,0.0,0,0.0,2378,2378,2378,1,33,0,0,66,0,0
pyu,Nanwang,0,0,0,0.0,0,0.0,2091,2091,2091,1,33,0,0,66,0,0
ssf,Thao,0,0,0,0.0,0,0.0,1854,1854,1854,1,33,0,0,66,0,0
sxr,Saaroa,0,0,0,0.0,0,0.0,1114,1114,1114,1,33,0,0,66,0,0
szy,Sakizaya,0,0,0,0.0,0,0.0,1735,1735,1735,1,33,0,0,66,0,0
tao,Yami,0,0,0,0.0,0,0.0,1640,1640,1640,1,33,0,0,66,0,0
tay,Sekolik,0,0,0,0.0,0,0.0,2445,2445,2445,1,33,0,0,66,0,0
trv,Tegudaya,0,0,0,0.0,0,0.0,1508,1508,1508,1,33,0,0,66,0,0
trv,Truku,0,0,0,0.0,0,0.0,1853,1853,1853,1,33,0,0,66,0,0
tsu,Tsou,0,0,0,0.0,0,0.0,2072,2072,2072,1,33,0,0,66,0,0
xnb,Kanakanavu,0,0,0,0.0,0,0.0,1543,1543,1543,1,29,0,0,58,0,0
xsy,Saisiyat,0,0,0,0.0,0,0.0,1639,1639,1639,1,33,0,0,66,0,0
