corpus,language,dialect,transcribed_audio_seconds,untranscribed_audio_seconds,transcribed_audio_count,untranscribed_audio_count,computed_at
ILRDF_Dicts,ami,Xiuguluan,30094.0,0.0,5482,0,2026-06-12
ILRDF_Dicts,bnn,Junqun,44357.0,0.0,8714,0,2026-06-12
ILRDF_Dicts,ckv,,39304.0,0.0,8241,0,2026-06-12
ILRDF_Dicts,dru,Wutai,52871.0,0.0,10454,0,2026-06-12
ILRDF_Dicts,pwn,Northern,33063.0,0.0,5365,0,2026-06-12
ILRDF_Dicts,pyu,Nanwang,38169.0,0.0,7073,0,2026-06-12
ILRDF_Dicts,ssf,,33176.0,0.0,6417,0,2026-06-12
ILRDF_Dicts,sxr,,24999.0,0.0,4113,0,2026-06-12
ILRDF_Dicts,szy,,29533.0,0.0,5360,0,2026-06-12
ILRDF_Dicts,tao,,22810.0,0.0,6437,0,2026-06-12
ILRDF_Dicts,tay,Sekolik,37828.0,0.0,6393,0,2026-06-12
ILRDF_Dicts,trv,Tegudaya,30687.0,0.0,5478,0,2026-06-12
ILRDF_Dicts,trv,Truku,25703.0,0.0,4680,0,2026-06-12
ILRDF_Dicts,tsu,,15650.0,0.0,2879,0,2026-06-12
ILRDF_Dicts,xnb,,45023.0,0.0,5639,0,2026-06-12
ILRDF_Dicts,xsy,,32966.0,0.0,6102,0,2026-06-12
NTUFormosanCorpus,ami,Coastal,4159.0,0.0,756,0,2026-06-12
NTUFormosanCorpus,bnn,Junqun,5833.0,0.0,947,0,2026-06-12
NTUFormosanCorpus,ckv,Kavalan,10370.0,0.0,2388,0,2026-06-12
NTUFormosanCorpus,dru,Wutai,5936.0,0.0,879,0,2026-06-12
NTUFormosanCorpus,szy,Sakizaya,8290.0,0.0,2027,0,2026-06-12
NTUFormosanCorpus,tay,Wenshui,3874.0,0.0,489,0,2026-06-12
NTUFormosanCorpus,trv,Tegudaya,11954.0,0.0,2729,0,2026-06-12
NTUFormosanCorpus,tsu,Tsou,3458.0,0.0,672,0,2026-06-12
NTUFormosanCorpus,xnb,Kanakanavu,14280.0,0.0,2618,0,2026-06-12
NTUFormosanCorpus,xsy,Saisiyat,6426.0,0.0,1161,0,2026-06-12
NTU_Paiwan_ASR,pwn,Central,3281.4,1950.6,237,4,2026-06-13
NTU_Paiwan_ASR,pwn,Eastern,17131.9,6773.1,1132,23,2026-06-13
NTU_Paiwan_ASR,pwn,Northern,22549.2,6761.2,1412,23,2026-06-13
NTU_Paiwan_ASR,pwn,Southern,3213.1,2179.8,331,8,2026-06-13
TangRecordingsOfTaroko,trv,Truku,0.0,76977.0,0,30,2026-06-12
Whitehorn_Collection,ami,unknown,0.0,725.0,0,1,2026-06-12
Whitehorn_Collection,pwn,North Western,0.0,28419.0,0,46,2026-06-12
Whitehorn_Collection,pwn,Southern,0.0,507.0,0,2,2026-06-12
Whitehorn_Collection,pwn,unknown,0.0,16043.0,0,34,2026-06-12
Whitehorn_Collection,tay,unknown,0.0,1907.0,0,3,2026-06-12
Whitehorn_Collection,trv,unknown,0.0,221.0,0,1,2026-06-12
WilangYutasVideos,tay,Sekolik,24420.9,10685.4,3014,33,2026-06-13
YeddaPalemeqBlog,pwn,Southern,4242.0,0.0,666,0,2026-06-12
ePark,ami,Coastal,48072.0,0.0,10391,0,2026-06-13
ePark,ami,Hengchun,36636.0,0.0,9344,0,2026-06-13
ePark,ami,Malan,30294.0,0.0,9355,0,2026-06-13
ePark,ami,Southern,33238.0,0.0,9008,0,2026-06-13
ePark,ami,Xiuguluan,35724.0,0.0,9255,0,2026-06-13
ePark,bnn,Junqun,58367.0,0.0,9914,0,2026-06-13
ePark,bnn,Kaqun,28662.0,0.0,8542,0,2026-06-13
ePark,bnn,Luanqun,28398.0,0.0,8856,0,2026-06-13
ePark,bnn,Tanqun,30852.0,0.0,8822,0,2026-06-13
ePark,bnn,Zhuoqun,29161.0,0.0,8433,0,2026-06-13
ePark,ckv,Kavalan,47203.0,0.0,10656,0,2026-06-13
ePark,dru,Dawu,34049.0,0.0,8865,0,2026-06-13
ePark,dru,Dona,31994.0,0.0,9125,0,2026-06-13
ePark,dru,Eastern,33773.0,0.0,8649,0,2026-06-13
ePark,dru,Maolin,31523.0,0.0,8584,0,2026-06-13
ePark,dru,Wanshan,30230.0,0.0,8315,0,2026-06-13
ePark,dru,Wutai,57273.0,0.0,10287,0,2026-06-13
ePark,pwn,Central,33853.0,0.0,9778,0,2026-06-13
ePark,pwn,Eastern,36134.0,0.0,9161,0,2026-06-13
ePark,pwn,Northern,50139.0,0.0,11482,0,2026-06-13
ePark,pwn,Southern,37837.0,0.0,10023,0,2026-06-13
ePark,pyu,Jianhe,33984.0,0.0,9686,0,2026-06-13
ePark,pyu,Nanwang,69139.0,0.0,11771,0,2026-06-13
ePark,pyu,Xiqun,35633.0,0.0,9768,0,2026-06-13
ePark,pyu,Zhiben,38806.0,0.0,9968,0,2026-06-13
ePark,ssf,Thao,41310.0,0.0,10126,0,2026-06-13
ePark,sxr,Saaroa,57675.0,0.0,9757,0,2026-06-13
ePark,szy,Sakizaya,50387.0,0.0,10199,0,2026-06-13
ePark,tao,Yami,50159.0,0.0,10840,0,2026-06-13
ePark,tay,FourSeasons,33018.0,0.0,9467,0,2026-06-13
ePark,tay,Sekolik,50324.0,0.0,10775,0,2026-06-13
ePark,tay,Wanda,31588.0,0.0,8893,0,2026-06-13
ePark,tay,Wenshui,34199.0,0.0,9528,0,2026-06-13
ePark,tay,YilanZeaol,37103.0,0.0,9457,0,2026-06-13
ePark,tay,Zeaol,35682.0,0.0,9491,0,2026-06-13
ePark,trv,DeluValley,41959.0,0.0,9660,0,2026-06-13
ePark,trv,Duda,36339.0,0.0,10688,0,2026-06-13
