date,commit,tokens,sentences,xml_files,sources,languages,parse_errors
2024-10-25T17:11:06-04:00,6c0e77d5fc3e1df3ec3b65cb19d6651fa3f074a9,1268044,327658,294,1,16,0
2024-10-28T13:34:13-04:00,9e33593479c3931b7b23b8138fa76acddb11a22e,1268044,327658,294,1,16,0
2024-11-01T15:53:00-04:00,635bc86c65f7d4b0a34e47ccdb3a31ad9e1abf8a,6408789,439318,12624,4,16,0
2024-11-08T01:14:57-05:00,06c1ac5de32653be7bb2665a9b1f4d2a7ba922ba,7951243,655035,13002,4,16,0
2024-11-21T10:55:49-05:00,0995b9dee22c5776c0ad7782647ba331cb97ede6,8078721,662267,13599,6,17,0
2024-12-07T22:14:41-05:00,eeb66fe6f2b53a69809a264a1d17b5a64b7d00a7,659295,98838,16,1,16,0
2024-12-07T22:38:07-05:00,0e05c44b10d6295cf32c72c93869a853ecfed688,659295,98838,16,1,16,0
2024-12-07T22:58:03-05:00,d89bde5127b90475f0b18b11726be66bd82eb0d4,5287660,111426,12604,2,16,0
2024-12-08T13:16:42-05:00,a5de1252ba8609516c004b9c9966c56759bfa5d4,5317453,111950,12620,3,16,0
2024-12-13T10:17:20+08:00,47f3c83308f369e31794842fb0f76cb05d7c307f,7997628,529068,13266,4,16,0
2024-12-13T11:36:47+08:00,4d52fa43e455fdd2aa94e1974eccdcdbcf108ea7,7998184,529113,13269,5,17,0
2024-12-13T11:40:10+08:00,a1a2a15af42fa755be7e6c2f1b576c00e24f483a,7997628,529068,13266,4,16,3
2024-12-13T14:01:25+08:00,b0e1dae5112b73ded4aedc655e9aa5c7305e3754,7997628,529068,13266,4,16,3
2024-12-13T14:49:37+08:00,b9bbaa8c13d336dbc299cc5f9917108bf37e1e85,8006706,531117,13267,5,16,3
2024-12-13T17:06:20+08:00,abaccc64923e5b8fea1ac051caa6d2ecce80beef,8075038,534185,13461,6,16,3
2024-12-14T02:16:23-05:00,c286be1505e0f56cacb41b97af2aa6c356dd0242,8075594,534230,13464,7,16,0
2024-12-14T02:49:26-05:00,7886600d2428ef6140f3036ecaf6d559e87fc5aa,8075594,534230,13464,7,16,0
2024-12-14T02:52:12-05:00,cde0289ea22ad8e3472c229e1987cb69fb5b5906,8075594,534230,13464,7,16,0
2024-12-14T02:57:48-05:00,e112e3744bf860e23c38a01161786afc0322359b,8075594,534230,13464,7,16,0
2024-12-16T18:24:28-05:00,6a1c2dcd451c6553a9b59829eff6c8cff404c1d5,8041535,532702,13368,7,16,0
2025-01-14T15:33:03-05:00,3084a4b567b031a8d2be0cae6b15eb92f06dabc5,8041535,532702,13368,7,16,0
2025-05-05T11:50:04-04:00,53f2012f1865e242f336b215d547d59a3cdbdfdc,8041535,532702,13368,7,16,0
2025-05-06T16:42:14-04:00,df6c1adb82102f98a0c108dce257aea388570f22,7913497,532724,13390,7,16,0
2025-07-08T21:50:42-04:00,91a3836a5cc6ccd2e16b16412f84d66ecc2ba4fe,7927953,533727,13419,10,16,0
2025-07-14T13:41:44-04:00,9251bcc553a4d6fdc9c057834e9acfe2f588c124,7927747,533684,13418,10,16,1
2025-07-14T14:01:31-04:00,2bc1cf91bbf6c1f3837b8247d080af607727491c,7927747,533684,13418,10,16,1
2025-07-14T14:15:29-04:00,03508b426f505386618740b6bef7d93d0b8b075a,7927673,533670,13417,10,16,2
2025-07-14T14:36:19-04:00,999fc842b35d5bdaadab8b218a75a724db004aa1,7927624,533661,13416,10,16,3
2025-07-14T15:05:29-04:00,38b31388fe67c2b6c0c17f35103022953f26a7f3,7927479,533638,13415,10,16,4
2025-07-14T16:00:10-04:00,21625baddc4365e919f54653dc1fa8c6a6e54a8a,7927479,533638,13415,10,16,4
2025-07-14T16:49:20-04:00,aa5c7c74e274b999ec0eeccbdedd8bee62f28366,7927479,533638,13415,10,16,4
2025-07-15T11:54:24-04:00,efc4699c6d71a09d34f019f09000ef7b55a4408c,7927479,533638,13415,10,16,4
2025-07-15T12:53:25-04:00,b4374f6a142c8d25db6346bbbcade429106f01e1,7927479,533638,13415,10,16,4
2025-07-15T13:52:15-04:00,41a4b274b18270b6c5827945f8eb43bfb5d616b4,7927479,533638,13415,10,16,4
2025-07-15T16:29:00-04:00,03dcbfd54391225c6f1568b6d73ad6e013c8dc31,7927479,533638,13415,10,16,4
2025-07-15T16:39:47-04:00,37494d11d38f774a6ea7a3e1e2e0ca827e4c84c6,7927479,533638,13415,10,16,4
2025-07-15T16:47:09-04:00,6823f82e9c82f3ffe73f6871a24c3b47fb63fe9c,7927479,533638,13415,10,16,4
2025-07-16T10:08:55-04:00,0aa1784f187b28abf1b0c9b1402a8238c5fc3b04,7927479,533638,13415,10,16,4
2025-07-16T10:20:10-04:00,1615d1c05ab1549ad5b690ae33b4adaaa6b4b98d,7927479,533638,13415,10,16,4
2025-07-16T10:23:22-04:00,c252a1fbf130503025d252b54c04d2f9bcfda51d,7927479,533638,13415,10,16,4
2025-07-16T13:59:43-04:00,b02ed0019fe29fb7e8dceac00bcd6176e2f1ced7,7927479,533638,13415,10,16,4
2025-07-16T16:24:41-04:00,f0a54cea1353ac02118e8c4063aa96b767faf7c7,7927479,533638,13415,10,16,4
2025-07-17T12:28:23-04:00,085768cb7dbffd0d96fa3062f19adb16cd228b1c,7927479,533638,13415,10,16,4
2025-07-21T11:46:19-04:00,91f24636a62e8583bd7ae775c06bca46e5b62033,7927479,533638,13415,10,16,4
2025-07-21T11:55:01-04:00,d276859593cc0f175a57a43f358f3bea2da69beb,7927479,533638,13415,10,16,4
2025-07-22T22:07:25-04:00,4380b28e0f29241180adeac3aba955365332b516,7927976,533728,13419,10,16,0
2025-07-25T14:19:28-04:00,eacff48533f40a100b62d4c9359bcd0830a912bb,7927976,533728,13419,10,16,0
2025-08-04T10:31:51-04:00,112224a2edbaee4b725fd000409f20195aa8cb56,7927976,533728,13419,10,16,0
2025-11-24T11:27:37-05:00,3c2c3a162d570cc1dade3f1781b9ed238910e7d4,7927976,533728,13419,10,16,0
2025-11-24T11:29:56-05:00,9daa03ada4b7efb46bb88e5bd9aa1dbb7e1ef650,7927976,533728,13419,10,16,0
2025-11-24T11:45:08-05:00,ad98da477c19fa5b4fdda514c3dfe5babad614e2,7927976,533728,13419,10,16,0
2025-11-24T11:48:47-05:00,868cd69adcd2a3066134a3935a574eb0f26d4dd8,7927976,533728,13419,10,16,0
2025-11-24T12:17:21-05:00,bb519903ee71c1f2532a73506e9e567c16c2af01,7927976,533728,13419,10,16,0
2025-11-24T12:25:22-05:00,6816e65d0f1133e18698d9322940ac5d21635399,7927976,533728,13419,10,16,0
2025-11-24T12:41:39-05:00,b0b0b0396bd81a8bba2f7f47ac489daa2a0febe7,7927976,533728,13419,10,16,0
2025-11-25T11:15:30-05:00,c2583be562433139886a34212c261cd96a631bac,7952445,536643,13519,11,16,0
2026-03-03T22:27:22-05:00,2b666c067dc83eb3d1ef4d04d3b2ae0263fc7e98,7952445,536643,13519,11,16,0
2026-03-04T11:29:43-05:00,b0c8c3523d1e000dac7216638783a0585343b51e,7952445,536643,13519,11,16,0
2026-03-04T21:56:52-05:00,a02c306c59380ef70e994b74f363a3dff05e3fc7,7952445,536643,13519,11,16,0
2026-03-14T11:15:10-04:00,7d9aaa908ff7b730769cdf27b10199c61968dc4c,7061461,405058,13309,11,16,0
