language,dialect,segmented_words,glossed_words,transcribed_audio_count,transcribed_audio_seconds,untranscribed_audio_count,untranscribed_audio_seconds,eng_transl_count,zho_transl_count,word_count,file_count,sentences,word_elements,morpheme_elements,translation_elements,audio_elements,parse_errors
ami,Coastal,0,0,10391,0.0,0,0.0,9727,58810,58810,11,7520,2879,0,12556,10391,0
ami,Hengchun,0,0,9344,0.0,0,0.0,9425,36726,36726,10,6325,3041,0,11521,9344,0
ami,Malan,0,0,9355,0.0,0,0.0,9306,35979,35979,10,6276,3110,0,11530,9355,0
ami,Southern,0,0,9008,0.0,0,0.0,10323,35984,36318,10,6092,3175,0,11425,9008,0
ami,Xiuguluan,0,0,9256,0.0,0,0.0,9283,36681,37022,10,6388,2952,0,11496,9256,0
bnn,Junqun,0,0,9913,0.0,0,0.0,8075,52965,52965,11,7195,2733,0,12087,9913,0
bnn,Kaqun,0,0,8542,0.0,0,0.0,8106,29637,29637,10,6109,2610,0,10873,8542,0
bnn,Luanqun,0,0,8856,0.0,0,0.0,8611,30240,30240,10,6142,2779,0,11084,8856,0
bnn,Tanqun,0,0,8822,0.0,0,0.0,8121,29700,29700,10,5932,2919,0,11005,8822,0
bnn,Zhuoqun,0,0,8433,0.0,0,0.0,8537,28807,28829,10,5948,2573,0,10677,8433,0
ckv,Kavalan,0,0,10656,0.0,0,0.0,8866,55416,55429,11,7992,2821,0,12942,10656,0
dru,Dawu,0,0,8865,0.0,0,0.0,7576,29959,29959,10,6283,2621,0,11055,8865,0
dru,Dona,0,0,9125,0.0,0,0.0,7940,28278,28596,10,6214,2918,0,11286,9125,0
dru,Eastern,0,0,8649,0.0,0,0.0,8183,30093,30129,10,6035,2656,0,10840,8649,0
dru,Maolin,0,0,8584,0.0,0,0.0,7272,27501,27665,10,6157,2442,0,10757,8584,0
dru,Wanshan,0,0,8315,0.0,0,0.0,6537,24383,24434,10,6299,2021,0,10470,8315,0
dru,Wutai,0,0,10287,0.0,0,0.0,7545,54244,54258,11,7505,2812,0,12474,10287,0
pwn,Central,0,0,9778,0.0,0,0.0,10154,34340,34340,10,6467,3323,0,11974,9778,0
pwn,Eastern,0,0,9161,0.0,0,0.0,9303,35819,35996,10,6253,3001,0,11395,9161,0
pwn,Northern,0,0,11482,0.0,0,0.0,10006,59437,59648,11,8104,3403,0,13709,11482,0
pwn,Southern,0,0,10023,0.0,0,0.0,9830,37943,37996,10,6643,3427,0,12224,10023,0
pyu,Jianhe,0,0,9686,0.0,0,0.0,9218,35198,35216,10,6504,3193,0,11850,9686,0
pyu,Nanwang,0,0,11771,0.0,0,0.0,9445,65112,65186,11,8541,3238,0,13929,11771,0
pyu,Xiqun,0,0,9768,0.0,0,0.0,9887,37009,37017,10,6582,3194,0,12005,9768,0
pyu,Zhiben,0,0,9968,0.0,0,0.0,10139,39555,39555,10,6648,3321,0,12124,9968,0
ssf,Thao,0,0,10126,0.0,0,0.0,9302,55072,55072,11,7443,2847,0,12412,10126,0
sxr,Saaroa,0,0,9757,0.0,0,0.0,7646,42787,42787,11,7750,2206,0,12106,9757,0
szy,Sakizaya,0,0,10198,0.0,0,0.0,9160,53457,53657,11,7391,2836,0,12376,10198,0
tao,Yami,0,0,10838,0.0,0,0.0,9657,63684,63684,11,7439,3412,0,12916,10838,0
tay,FourSeasons,0,0,9467,0.0,0,0.0,9456,38089,38123,10,6717,3080,0,11956,9467,0
tay,Sekolik,0,0,10775,0.0,0,0.0,10220,58856,59188,11,7794,2992,0,13095,10775,0
tay,Wanda,0,0,8893,0.0,0,0.0,9145,30929,30977,10,5898,3016,0,11068,8893,0
tay,Wenshui,0,0,9528,0.0,0,0.0,10605,36910,36910,10,6035,3514,0,11705,9528,0
tay,YilanZeaol,0,0,9457,0.0,0,0.0,9497,40168,40168,10,6276,3250,0,11686,9457,0
tay,Zeaol,0,0,9491,0.0,0,0.0,9716,39189,39189,10,6369,3142,0,11660,9491,0
trv,DeluValley,0,0,9660,0.0,0,0.0,9356,39444,39565,10,6372,3314,0,11845,9660,0
trv,Duda,0,0,10688,0.0,0,0.0,10044,41101,41166,10,6269,4488,0,12915,10688,0
trv,Tegudaya,0,0,10205,0.0,0,0.0,8937,57792,57792,11,7384,2839,0,12381,10205,0
trv,Truku,0,0,10557,0.0,0,0.0,9401,56323,56323,11,7273,3404,0,12831,10557,0
tsu,Tsou,0,0,10627,0.0,0,0.0,9137,56551,56555,11,7653,2989,0,12792,10627,0
xnb,Kanakanavu,0,0,10430,0.0,0,0.0,7706,49005,49011,11,7772,2675,0,12595,10430,0
xsy,Saisiyat,0,0,10343,0.0,0,0.0,8897,50613,50629,11,7357,3073,0,12585,10343,0
